Original Name,Translated Name,Translated Description,Version
Battle Scars,Kampfnarben,"Immer wenn diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden, wähle 1 der folgenden Effekte, +1 Effekt für jede vernichtete Schlachtreihe in dieser Einheit:
• **Grausam**
• Diese Einheit darf beliebig viele Angriffswürfel neu werfen.
• Diese Einheit verwendet ihren höchsten Angriffswürfelwert.",S04
Bear Cavalry,Bärenkavallerie,"• Jede Figur dieser Einheit kann 4 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.",2021
Berserker Axes,Bersärkeräxte,Diese Einheit erhält +1 auf den Trefferwurf für jede ihrer vernichteten Schlachtreihen.,2021
Berserker's Fervor,Inbrunst der Berserker,Diese Einheit erhält für jede ihrer vernichteten Schlachtreihen +1 auf das Ergebnis ihrer Verteidigungswürfe und auf das Ergebnis von Moralproben.,S04
Black Fire,Schwarzes Feuer,"• **Grausam**
• Treffer dieses Angriffs können nicht abgewehrt werden. Falls dieser Angriff Treffer erzeugt, erleidet der Verteidiger, statt Verteidigungswürfel zu werfen, 1W3 **Wunden**, +1 **Wunde** für jede seiner verbleibenden Schlachtreihen und 1 Feind innerhalb **Kurzer Reichweite** zum Verteidiger wird **Panisch**.",2021-S01
Blade and Fang,Zähne und Klinge,• **Grausam**,2021
Bloodrider,Blutreiter,Diese Einheit kann nicht **Geschwächt** werden.,2021
Bloodriders' Arakh,Arakh der Blutreiter,"• **Spaltschlag**
• **Grausam**",S04
Boisterous Charisma,Wilde Ausstrahlung,Diese Einheit darf nie von feindlichen Befehlen oder Taktikkarten zum Ziel bestimmt werden und feindliche zivile Einheiten dürfen keinen Einfluss auf sie ausüben.,2021
Boldness and Courage,Mut und Kühnheit,"Immer wenn diese Einheit angreift, falls sie noch alle Schlachtreihen hat, erhält sie +1 Angriffswürfel. Falls nicht, wird sie so behandelt, als hätte sie +1 Schlachtreihe für die Anzahl der Angriffswürfel.",2021
Bolt Thrower,Bolzenwerfer,"• **Grausam**
• Reichweite und Sichtlinie dürfen von einem beliebigen Punkt des Bewegungstableau dieser Einheit gemessen werden.
• Diese Einheit darf –3 auf den Trefferwurf erleiden, um die Sichtlinie zu ignorieren und **Unbegrenzte Reichweite** zu erhalten.
• Verteidiger werfen keine Verteidigungswürfel.
• Falls der Verteidiger eine Kavallerie-, Monster- oder Kriegsmaschinen-Einheit ist, fügt dieser Angriff 2 Treffer für jeden Erfolg zu.",2021-S03
Bonded Bear,Gebundener Bär,"• Diese Einheit kann 1 **Wunde** erleiden und gewährt keine Siegpunkte.
• Falls diese Einheit vernichtet wird, kann sie nicht erneut von ihrem Leibwechsler ausgewählt werden.
• Falls diese Einheit ausgewählt worden ist, sobald ihr Leibwechsler aktiviert wird, stelle sie so auf, dass sie mit 1 Feind an der Front oder Flanke im Nahkampf ist, der mit ihrem Leibwechsler im Nahkampf ist. Dann führt sie 1 Nahkampfangriffsaktion durch. Entferne diese Einheit am Ende der Runde.",2021
Bonded Boar,Gebundener Eber,"• Diese Einheit kann 3 **Wunden** erleiden und gewährt keine Siegpunkte.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.
• Falls diese Einheit zu Beginn einer Runde nicht innerhalb **Langer Reichweite** zu Borroqs Einheit ist, wird sie vernichtet.
• Diese Einheit wird nicht wie gewohnt aktiviert. Stattdessen wird diese Einheit, sobald Borroqs Einheit aktiviert wird, sofort danach aktiviert.",2021
Bonded Eagle,Gebundener Adler,"Immer wenn diese Einheit ausgewählt wird, bestimme 1 Feind zum Ziel. Lege diese Karte bis zum Ende der Runde an jenen Feind an. Platziere diese Figur in die Nähe des Bewegungstableaus, um es zu kennzeichnen. Diese Figur wird für alle anderen Belange ignoriert.",2021
Bonded Skinchanger,Gebundener Leibwechsler,"Wähle zu Beginn jeder Runde den Bär, Adler oder Wolf aus. Auf den Karten jener Einheiten stehen ihre zusätzlichen Effekte.",2021
Bonded Wolf,Gebundener Wolf,"Immer wenn diese Einheit ausgewählt wird, bestimme 1 Feind innerhalb **Langer Reichweite** zu ihrer Leichwechsler-Einheit zum Ziel. Lege diese Karte bis zum Ende der Runde an jenen Feind an. Platziere diese Figur in die Nähe des Bewegungstableaus, um es zu kennzeichnen. Diese Figur wird für alle anderen Belange ignoriert.",2021
Bookkeeping (Cortnay Penrose),Buchführung,"Solange Cortnay auf dem Schlachtfeld ist, hältst du +1 Taktikkarte auf der Hand. Du beginnst die Partie mit 4 Karten und darfst immer auf 4 Karten aufziehen, sobald du deine Hand auffüllst.",2021
Bookkeeping (Samwell Tarly),Buchführung,"Solange sich Samwell Tarly auf dem Schlachtfeld befindet, hältst du +1 Taktikkarte auf der Hand. Du beginnst das Spiel mit 4 Karten und darfst immer auf 4 Karten aufziehen, sobald du deine Hand auffüllst.",2021
Bran’s Protector,Brans Beschützer,"Nachdem Bran Starks Einheit angegriffen worden ist, darf diese Einheit 1 Angriffs- oder Ansturmaktion auf den Angreifer durchführen.",2021
Brutal Armaments,Brutale Bewaffnung,"• **Grausam**
• Der Verteidiger erleidet durch diesen Angriff +1 **Wunde** für jede seiner vernichteten Schlachtreihen, wenn er an einer Panikprobe scheitert.",2021
Brutal Sadism,Brutaler Sadismus,"Bevor die Angriffswürfel geworfen werden, wähle 1 der folgenden Effekte:
• Dieser Angriff erhält **Kritischer Treffer**.
• Dieser Angriff erhält **Spaltschlag**.
• Der Verteidiger wird **Panisch**.
Nachdem der Angriff abgeschlossen worden ist, falls keine feindliche Schlachtreihe vernichtet wurde, erleidet der Angreifer 2 **Wunden**.",2021
Bulwark Formation,Bollwerkformation,"Falls diese Einheit in dieser Runde keine Aktion durchgeführt hat, erhält sie +2 auf das Ergebnis von Verteidigungswürfen.",2021
Cavalry,Kavallerie,"• Jede Figur dieser Einheit kann 3 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.",2021
Champion’s Wrath,Zorn der Streiter,"• **Kritischer Treffer**
• Feinde, gegen die ein erfolgreicher Ansturm durchgeführt worden ist, werden **Geschwächt**.
• Falls diese Einheit den Zug im Nahkampf mit dem Verteidiger begonnen hat, bevor die Angriffswürfel geworfen werden, wird der Verteidiger **Verwundbar**.",2021-S01
Chariot,Streitwagen,"• Diese Einheit kann 6 **Wunden** erleiden.
• Zu Beginn der Aktivierung dieser Einheit darf sie 1 Manöveraktion durchführen.",2021
Chieftain's Fury,Zorn des Häuptlings,"• **Grausam**
• Verteidiger werfen keine Verteidigungswürfel.
• Sobald Mag vernichtet wird, bevor er entfernt wird, führt er 1 Angriff „Zorn des Häuptlings“ durch.",2021
Claims to The Kingdom,Ansprüche auf das Königreich,"Immer wenn diese Einheit von befreun­deten Fähigkeiten oder Taktikkarten zum Ziel bestimmt wird, zählst du, als würdest du für jenen Effekt [CROWN] und [LETTER] kontrollieren.",2021
Claw & Blade,Pranke & Klinge,• **Grausam**,2021
Cleaving Blows,Spalthiebe,"• Sobald diese Einheit einen Ansturm durchführt, erhält sie **Kritischer Treffer**.
• Verteidiger werfen keine Verteidigungswürfel.",2021
Commander's Vassal,Vasall des Kommandanten,Diese Figur zählt für alle Fähigkeiten und Effekte als dein Heerführer.,2021-S02
Coordinated Assault,Koordinierter Angriff,"Sobald diese Einheit einen Ansturm durchführt, fügt sie +1 Treffer für jede ihrer verbleibenden Schlachtreihen zu.",2021
Counterstrike,Gegenschlag,"Immer wenn diese Einheit mit einem Nahkampfangriff angegriffen wird, erleidet der Angreifer 1 Treffer für jeden Fehlschlag.",2021
Crossbow,Armbrust,"• **Spaltschlag**
• Diese Einheit darf Angriffswürfel neu werfen, sobald sie Feinde innerhalb **Kurzer Reichweite** angreift.",2021
Dauntless,Verwegenheit,"Immer wenn diese Einheit eine Moralprobe besteht, heilt sie 1 **Wunde**.",2021
Davos' Vassal,Davos’ Vasall,Diese Figur zählt für alle Fähigkeiten und Effekte als Davos Seewert.,2021-S02
Deadly Bloom,Tödliche Dornen,"Immer wenn diese Einheit **Wunden** heilt, bestimme 1 Feind, mit dem sie im Nahkampf ist, zum Ziel. Er erleidet 1 **Wunde**.",2021
Deadly Impact,Tödlicher Zusammenstoß,"Sobald diese Einheit einen Ansturm durchführt, erhält sie **Spaltschlag**, **Grausam** und fügt für jede verbleibende Schlachtreihe des Verteidigers +1 Treffer zu.",2021
Dervish Blades,Klingen der Derwische,"• **Präzision**
• Sobald diese Einheit Feinde angreift, die in dieser Runde noch nicht aktiviert worden sind, erhält dieser Angriff **Kritischer Treffer**.",2021
Direwolf,Schattenwolf,"• Diese Einheit kann 4 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.",2021
Disorganized,Chaotisch,"Diese Einheit erleidet +1 **Wunde**, wenn sie an einer Panikprobe scheitert.",2021
Disrupt,Unterbrechen,"Feinde, die mit dieser Einheit im Nahkampf sind, erleiden –1 auf den Trefferwurf.",2021
Distract,Ablenkung,"Während deines Zuges verlieren Feinde, mit denen diese Einheit an der Flanke oder am Rücken im Nahkampf ist, alle Fähigkeiten und können nicht zum Ziel von befreundeten Taktikkarten bestimmt werden.",2021
Divide The Spoils,Die Beute aufteilen,"Nachdem diese Einheit einen Angriff abgeschlossen hat, erhält für jede Schlachtreihe des Feindes, die vernichtet worden ist, 1 befreundete Einheit mit der Fähigkeit Plündern innerhalb **Langer Reichweite** zu jenem Feind 1 Plündermarker.",2021
Divine Sacrifices,Opfer für den Gott,"Immer wenn diese Einheit angreift, bevor die Angriffswürfel geworfen werden, darf sie bis zu 2 **Wunden** erleiden. Falls sie das tut, wird der Verteidiger für jede erlittene **Wunde** **Panisch** oder **Verwundbar**.",2021-S01
Dominance Of The Crown,Vorherrschaft der Krone,"Falls du [CROWN] kontrollierst, sobald diese Einheit einen Nahkampfangriff durchführt, erhält dieser Angriff +1 auf den Trefferwurf und **Spaltschlag**.",2021
Domineering Pride,Tyrannischer Stolz,"Solange diese Einheit mit einem Feind, der weniger verbleibende Schlachtreihen hat, im Nahkampf ist, besteht sie automatisch alle Panikproben.",2021
Dornish Conviction,Dornische Überzeugung,"Solange du [CROWN] kontrollierst, wird bei Angriffen dieser Einheit der höchste Angriffswürfelwert verwendet.",2021
Dornish Vengeance,Dornische Vergeltung,"Nachdem diese Einheit mit einem Nahkampfangriff angegriffen worden ist, falls du [SWORDS] kontrollierst, erleidet der Angreifer 2 **Wunden**, +1 **Wunde** für jede vernichtete Schlachtreihe dieser Einheit.",2021
Double Hammers,Doppelhämmer,• **Spaltschlag**,2021
Drogo's Bloodriders,Drogos Blutreiter,"• Diese Einheit kann nicht **Geschwächt** werden.
• Jede Figur dieser Einheit kann 3 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.",S04
Drowned God's Fanatics,Fanatische Anhänger des Ertrunkenen Gottes,"• Diese Einheit kann 3 **Wunden** erleiden.
• Diese Einheit kann maximal 1 **Wunde** erleiden, wenn sie an einer Panikprobe scheitert.
• Diese Einheit erleidet nur 1 **Wunde** für je 2 nicht abgewehrte Treffer jedes Angriffs oder Effekts.",S04
Dual Weapons,Beidhändig,• **Präzision**,2021-S03
Dutiful Commander,Pflichtbewusster Kommandant,"Falls dies eine Nachtwache-Einheit ist, darfst du nach der Aufstellung dein Taktikdeck nach 1 Taktikkarte **Gemäß den Pflichten** durchsuchen und an diese Einheit anlegen. Mische danach dein Taktikdeck.",2021
Duty to The Crown,Der Krone verpflichtet,"Immer wenn diese Einheit eine Moralprobe besteht, heilt sie 1 **Wunde**. Falls du [CROWN] kontrollierst, heilt sie +1 **Wunde**.",2021
Elusive Escape,Trügerische Flucht,"Diese Einheit darf alle Würfel für die Bewegungsweite des Rückzugs neu werfen. Feinde, aus deren Nahkampf sie sich löst, dürfen sich nicht drehen und werden **Geschwächt**.",2021
Embolden,Ermutigen,Befreundete Einheiten innerhalb **Kurzer Reichweite** erhalten +1 auf das Ergebnis von Moralproben.,2021
Enhanced Mobility,Verbesserte Mobilität,Diese Einheit erhält +1 [MOVEMENT] und darf sich vor jedem Marsch drehen.,2021
Executioner's Fury,Zorn des Henkers,"• **Grausam**
• Nur Verteidigungswürfe von 6 können Treffer dieses Angriffs abwehren.
• Falls diese Einheit nur noch 1 verbleibende Schlachtreihe hat, nachdem dieser Angriff abgeschlossen worden ist, wird der Verteidiger **Geschwächt**.",S04
Executioner’s Axe,Axt des Henkers,"• **Spaltschlag**
• Falls diese Einheit weniger verbleibende Schlachtreihen als der Verteidiger hat, erhält dieser Angriff **Grausam** und der Verteidiger wird **Panisch**.",2021
Experiment Enhancements,Experimentelle Verstärkung,"Die Nahkampfangriffe dieser Einheit erhalten +1 auf den Trefferwurf und **Grausam**. Gegner können keine **Geschwächt**-Marker von dieser Einheit ausgeben, solange sie angreift.",2021
Expert Duelist,Meisterhafter Duellant,"Immer wenn diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden, wähle 1 der folgenden Effekte:
• Dieser Angriff fügt +1 **Wunde** zu.
• Bestimme 1 Infanterie-Verstärkung in der Einheit des Verteidigers zum Ziel und wirf einen Würfel. Bei 5+ vernichte jene Verstärkung.",2021-S02
Eye Of The Crow,Auge der Krähe,"• Diese Einheit kann 4 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöver- oder Rückzugsaktion durchführen.
• Wenn diese Einheit zum ersten Mal vernichtet wird, darfst du sie zu Beginn der nächsten Runde vollständig innerhalb **Kurzer Reichweite** zu einem beliebigen Seitenrand wieder aufstellen.",S04
Fanatical Zeal,Fanatischer Eifer,"Bei Spielbeginn wird 1 **Glaubensmarker** auf diese Einheit gelegt. Immer wenn diese Einheit eine Moralprobe besteht, erhält sie 1 Glaubensmarker. Immer wenn diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden, darf sie 1 Glaubensmarker ausgeben. Falls sie das tut, erhält dieser Angriff **Präzision** und sie darf beliebig viele Angriffswürfel neu werfen.",2021
Fearless Avarice,Skrupellose Gier,"Solange du [MONEY] kontrollierst, erleidet diese Einheit –1 **Wunde**, wenn sie an einer Panikprobe scheitert.",2021
Ferocious Assault,Unnachgiebiger Angriff,"Feinde, gegen die diese Einheit einen erfolgreichen Ansturm durchgeführt hat, werden **Panisch**.",S04
Fighter's Armaments,Rüstung für die Arena,• **Präzision**,2021
Fire Arrows,Feuerpfeile,"• **Grausam**
• Falls der Verteidiger an der Panikprobe scheitert, bestimme 1 anderen Feind innerhalb **Kurzer Reichweite** zu jener Einheit zum Ziel. Er muss 1 Panikprobe ablegen und erhält –2 auf das Ergebnis.",2021
First Claim,Erster Anspruch,"Immer wenn eine befreundete zivile Einheit die [MONEY]-Zone beansprucht, erhält 1 „Auserkorene von Haus Schwarzfluth“-Einheit 1 **Plündermarker**.
Solange 2 Plündermarker auf dieser Einheit liegen, erhalten alle befreundete Einheiten innerhalb **Kurzer Reichweite** +1 auf das Ergebnis von Moralproben und erleiden –1 **Wunde**, wenn sie an einer Panikprobe scheitern.",S04
First of The King's Men,Der Erste der Männer des Königs,"Für Taktikkarten, die diese Einheit zum Ziel bestimmt haben, zählst du, als würdest du [CROWN] und [LETTER] kontrollieren.",2021
Flail,Flegel,• Grausam,S04
Frenzied Swings,Rasender Schwinger,"• **Spaltschlag**
• Diese Einheit erhält +1 auf den Trefferwurf für jede ihrer vernichteten Schlachtreihen.",2021-S02
Fueled By Slaughter,Durch das Gemetzel befeuert,"Nachdem diese Einheit einen Nahkampfangriff abgeschlossen hat, falls der Verteidiger mindestens 1 **Wunde** erlitten hat, heilt diese Einheit 1 **Wunde** und +1 zusätzliche **Wunde** für jede vernichtete Schlachtreihe des Verteidigers.",2021
Furious Charge,Wütender Ansturm,"Feinde, gegen die diese Einheit einen erfolgreichen Ansturm durchgeführt hat, werden **Verwundbar**.",2021
Furious Swing,Wütender Schwinger,"• **Grausam**
• Treffer dieses Angriffs können nicht abgewehrt werden. Falls dieser Angriff Treffer erzeugt, erleidet der Verteidiger, statt Verteidigungswürfel zu werfen, 1W3 **Wunden**, +1 **Wunde** für jede **Wunde**, die diese Einheit erlitten hat.",2021-S01
Gallows Humor,Galgenhumor,"Solange diese Einheit mindestens 1 vernichtete Schlachtreihe hat, darf sie nie von feindlichen Befehlen oder Taktikkarten zum Ziel bestimmt werden und feindliche zivile Einheiten dürfen keinen Einfluss auf sie ausüben. Solange sie nur noch 1 verbleibende Schlachtreihe hat, erhalten ihre Nahkampfangriffe +1 auf den Trefferwurf.",2021
Gang-Up,Zusammenrotten,"Alle Nahkampfangriffe befreundeter Einheiten erhalten +1 auf den Trefferwurf und +1 Angriffswürfel auf Feinde, die mit dieser Einheit und mindestens 1 anderen befreundeten Einheit im Nahkampf sind.",2021
Giant,Riese,"• Diese Einheit kann 6 **Wunden** erleiden.
• Diese Einheit erleidet nur 1 **Wunde** für je 2 nicht abgewehrte Treffer jedes Angriffs oder Effekts.
• Diese Einheit kann maximal 2 **Wunden** erleiden, wenn sie an einer Panikprobe scheitert.",2021
Giant's Spear,Speer des Riesen,"• **Grausam**
• **Spaltschlag**
• Falls der Verteidiger eine Kavallerie-, Monster- oder Kriegsmaschinen-Einheit ist, fügt dieser Angriff 2 Treffer für jeden Erfolg zu.
• **Nur bei Fernkampfangriffen:** Verteidiger werfen keine Verteidigungswürfel. Diese Einheit darf –3 auf den Trefferwurf erleiden, um die Sichtlinie zu ignorieren und **Unbegrenzte Reichweite** zu erhalten.",S04
Gifts of Silver and Bronze,Silberne und bronzene Geschenke,"Immer wenn eine befreundete zivile Einheit die [MONEY]-Zone beansprucht, falls es sich um eine Haus-Graufreud-Einheit handelt, erhält diese Einheit 1 Plündermarker.",2021-S03
Go Down Fighting,Kämpfend untergehen,"Immer wenn eine Schlachtreihe in dieser Einheit vernichtet wird, erleidet 1 Feind, der mit dieser Einheit im Nahkampf ist, 1 **Wunde**.",2021
Golden Fire,Goldenes Feuer,"• **Grausam**
• Treffer dieses Angriffs können nicht abgewehrt werden. Falls dieser Angriff Treffer erzeugt, erleidet der Verteidiger, statt Verteidigungswürfel zu werfen, 1W3 **Wunden**, +1 **Wunde** für jede seiner verbleibenden Schlachtreihen und 1 Feind innerhalb **Kurzer Reichweite** zum Verteidiger wird **Verwundbar**.",2021-S01
Gore and Feed,Aufspießen und Fressen,"• **Spaltschlag**
• Nachdem dieser Angriff abgeschlossen worden ist, falls er mindestens 1 **Wunde** zugefügt hat, heilt diese Einheit 1 **Wunde**.",2021
Great Axe,Grossaxt,"• **Spaltschlag**
• Falls auf dieser Einheit 2 Plündermarker liegen, erleiden Feinde zusätzlich –1 auf das Ergebnis ihrer Verteidigungswürfe.",2021-S03
Great Hammer,Großhammer,"• **Kritischer Treffer**
• Falls der Verteidiger mit einem beliebigen Verteidigungswürfel eine 1 würfelt, nachdem dieser Angriff abgeschlossen worden ist, wird er **Geschwächt**.",2021
Greatsword,Großschwert,• **Spaltschlag**,2021
Halberd,Hellebarde,• **Spaltschlag**,2021
Hardened,Abgehärtet,"Immer wenn ein Feind einen Angriff auf diese Einheit durchführt, nachdem die Verteidigungswürfel geworfen worden sind, wehrt sie 1 Treffer ab für jede ihrer vernichteten Schlachtreihen.",2021-S02
Harma's Vassal,Harmas Vasall,Diese Figur zählt für alle Fähigkeiten und Effekte als Harma.,2021-S02
Harpoon,Harpune,"• Nachdem dieser Angriff abgeschlossen worden ist, wird der Verteidiger **Geschwächt**.
• Falls der Verteidiger durch diesen Angriff mindestens 1 **Wunde** erlitten hat, erleidet er bis zum Ende der Runde –1 [MOVEMENT] und, falls er einen Ansturm durchführt, einen ungeordneten Ansturm.",S04
Heart of Fire,Herz aus Feuer,"Bei Spielbeginn wird 1 **Glaubensmarker** auf diese Einheit gelegt. Immer wenn sie eine Moralprobe besteht, erhält sie 1 Glaubensmarker. Glaubensmarker können für die folgenden Effekte ausgegeben werden:
• **Sobald diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:** 
Dieser Angriff erhält +1 auf den Trefferwurf und **Grausam**.
• **Nachdem diese Einheit einen Nahkampfangriff abgeschlossen hat:** 
Diese Einheit heilt 1 **Wunde**, +1 **Wunde** für jede vernichtete Schlachtreihe des Verteidigers.
• **Sobald diese Einheit eine Ansturmaktion durchführt, bevor jene Aktion abgehandelt wird:** 
Diese Einheit darf alle Würfel für die Bewegungsweite des Ansturms neu werfen und Feinde, gegen die diese Einheit einen erfolgreichen Ansturm durchgeführt hat, werden **Panisch**.",S04
Heir of House Targaryen,Erbe von Haus Targaryen,"Sobald Daenerys vernichtet wird, erhält dein Gegner 2 Siegpunkte.",2021
Hodor!,Hodor!,Die Nahkampfangriffe dieser Einheit fügen +1 **Wunde** zu.,2021
Hodor!!!,Hodor!!!,"Sobald diese Einheit eine Rückzugsaktion durchführt, nachdem die Würfel für die Bewegungsweite des Rückzugs geworfen worden sind, darfst du alle Würfel zählen, als hättest du eine 6 geworfen, und jeder Feind, aus dessen Nahkampf sie sich löst, wird **Verwundbar**. Falls du das tust, verliert diese Verstärkung bis zum Ende der Partie alle Fähigkeiten.",2021-S01
Horrific Visage,Schrecklicher Anblick,"Immer wenn ein Feind einen Nahkampfangriff auf diese Einheit durchführt, bevor jener Angriff abgehandelt wird, bestimme den Angreifer zum Ziel. Er muss 1 Panikprobe ablegen und erhält –1 auf das Ergebnis für jede verbleibende Schlachtreihe dieser Einheit.",2021
Hrakkars & Tamers,Hrakkars & Bändiger,"• Diese Einheit kann 6 **Wunden** erleiden.
• Zu Beginn ihrer Aktivierung darf diese Einheit 1 Manöveraktion durchführen.",2021
Impaling Spear,Spitzer Speer,"Nachdem dieser Angriff abgeschlossen worden ist, falls eine feindliche Schlachtreihe vernichtet worden ist, werden alle Feinde innerhalb **Kurzer Reichweite** zum Angreifer **Panisch**.",2021
Improved Armaments,Verbesserte Bewaffnung,"Solange du [MONEY] kontrollierst, erhalten die Nahkampfangriffe dieser Einheit **Spaltschlag** und es wird der höchste Angriffswürfelwert verwendet.",2021
Improved Defenses,Verbesserte Verteidigung,"Solange du [MONEY] kontrollierst, erhält diese Einheit +1 auf das Ergebnis ihrer Verteidigungswürfe.",2021
Indomitable,Unbezwingbar,Diese Einheit kann nicht **Geschwächt** werden.,2021-S03
Insignificant,Unbedeutend,Diese Einheit gewährt keine Siegpunkte durch Sieg durch Kampf.,2021
Inspiring Presence,Inspirerende Erscheinung,Der Moralwert dieser Einheit ist 5+.,2021
Interrogate,Verhören,"Immer wenn diese Einheit einen Feind mit einem Nahkampfangriff vernichtet, darfst du dir die Taktikkarten auf der Hand deines Gegners anschauen und 1 davon ablegen.",2021
Intimidating Presence,Bedrohliche Erscheinung,"Feinde, die mit dieser Einheit im Nahkampf sind, erleiden –1 auf das Ergebnis von Moralproben und +1 **Wunde**, wenn sie an einer Panikprobe scheitern.",2021
Intimidation Of The Crown,Einschüchterung durch die Krone,"Falls du [CROWN] kontrollierst, sobald diese Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden, wird der Verteidiger **Panisch** und **Verwundbar**.",2021
