Faction,Name,Character,Cost,Type,Spd,Attack 1,,,Attack 2,,,Def,Moral,Abilities,Requirements,Boxes,Id,Version,Requirement Text,Quote,Lore
Lannister,Red Cloaks,,6,Infantry,5,[M]Long Sword,4+,7.5.4,,,,4+,6+,"Fearless Avarice / 
Lannister Justice",,SIF211,10111,2021-S01,,,"Lannister Red Cloaks are elite guardsmen who serve as the enforcement arm of House Lannister in King’s Landing and Casterly Rock. Their job is to keep the population in check through intimidation, fear, and sharp blades. They’re notable not just for their crimson cloaks, but also their half-plate armor, itself as well-made as mass-produced armor can be. They’re solid medium infantry, and among the best-paid troops in the Lannister roster."
Lannister,House Clegane Brigands,,6,Cavalry,6,[M]Brutal Armaments,3+,7.5,,,,5+,7+,"Cavalry /
Brutal Armaments",,SIF214/SIF001B,10112,2021-S02,,,"While most cavalry assaults are savage enough, Gregor Clegane’s bands of mounted brigands take brutality beyond all norms. It’s not enough for them to simply shred enemy ranks from the flanks or rear. For the type of man drawn to Clegane’s ranks, a weapon that leaves an enemy crippled and shattered is as good as one that kills swiftly and efficiently. Yet, for all their fearsome reputation, Brigands have little thirst for fair fights."
Lannister,Lannisport City Watch,,6,Infantry,5,[M]Spear,4+,7.6.4,,,,4+,6+,"Order: Adaptive Style /
Domineering Pride",,SIF212,10113,S06,,,"As watchmen for House Lannister’s seat of power, the Lannisport City Watch is armed and armored as well (if not better) than many front-line troops in the War of the Five Kings. That said, they’re not regular soldiers, and should not be relied upon to hold the vanguard or stand against a furious cavalry charge. That said, when in large numbers and properly supported, they remain effective and dangerous, a truly excellent support unit."
Lannister,Casterly Rock Honor Guard,,7,Infantry,5,[M]Lannister Oppression,3+,7.6.5,,,,3+,5+,Lannister Oppression,,SIF213,10114,S05,,,"The vast castle at Casterly Rock serves as both a symbol of Lannister supremacy and an unbreakable fortress overlooking Lannisport. As such its guardians, the renowned Casterly Rock Honor Guard also serve as symbols of unbreakable Lannister might. Outfitted in the finest plate armor money can buy, and trained as a heavy response force to local threats, the Honor Guard can stand the line and exploit enemy vulnerabilities as they reveal themselves."
Lannister,Gold Cloaks,,5,Infantry,5,[M]Bludgeon,4+,7.5.4,,,,4+,7+,"Order: Laws of the Realm /
Oppressive Peacekeeping",,SIF217,10115,2021,,,"King’s Landing is generally considered a safe place to live, given that the aptly named Gold Cloaks can be seen patrolling avenues and alleyways from afar. They’re always ready to ensure that justice is served. As to whose justice that might be, however, the Lannisters rule King’s Landing, and the Gold Cloaks bend their knees to the Iron Throne. Speak ill of the king at your peril."
Lannister,Stone Crows,,5,Infantry,5,[M]Scavenged Weapons,4+,6.5.4,,,,4+,7+,"Order: Incite /
Disorganized /
Recruiting From The Hills",Requires: 'Tyrion Lannister',SIF521,10116,2021,Character: *Can only be fielded in an army containing Tyrion Lannister. He may be attached to this unit at no cost.*,,"As mountain tribes and raiders go, Tyrion Lannister’s Stone Crows are quite ordinary, save their unexpected loyalty. While pledged more to Tyrion’s coin than his person, they proved true to their word, even when betrayal might have been a more lucrative option. As mercenaries, these troops are worth their coin, if properly employed as scouts and flankers. Their light arms and armor make them unsuited to the front line in  a protracted engagement."
Stark,Stark Sworn Swords,,5,Infantry,5,[M]Winter's Bite,4+,7.5.4,,,,4+,6+,"Winter's Bite /
Go Down Fighting",,SIF001/SIF001/SIF001A/SIF001A/SIF101,10201,S06,,,"Sworn Swords are the bedrock upon which House Stark commanders base their strategies. Brave, capable, and overwhelmingly loyal to the Direwolf banner, Sworn Swords would rather perish to a man than abandon their brothers in battle. While perhaps not as well found in arms and armor as wealthier houses, these men know that gold alone does not a warrior make."
Stark,Stark Outriders,,6,Cavalry,6,[M]Outrider’s Blade,4+,7.4,,,,4+,6+,"Order: Tactical Reposition /
Cavalry /
Ambush",,SIF001/SIF102,10202,S06,,,"While not built for a sustained melee engagement, House Stark’s Outriders rarely find themselves so encumbered. Unfettered mobility is their hallmark, with lightly armored troops and unarmored mounts chosen and trained for speed and calm temperament. While they suffer the usual vulnerability to arrows shared by light troops, Outriders consider archers as natural prey. Outriders can close with and shatter an unprotected archery line with ease."
Stark,House Umber Berserkers,,6,Infantry,6,[M]Berserker Axes,3+,7.8.9,,,,5+,5+,Berserker's Fervor,,SIF001/SIF001A/SIF103,10203,S04,,,"Berserkers excel in flanking maneuvers, shattering charges, and general pursuit of routed enemies. A wise commander must take care not to allow them such free rein to find themselves overwhelmed. However, as veteran troops, Berserkers might indulge in bloodlust, but rarely find themselves consumed by it. Let their enemies taste the cold steel and fury that only the Northmen can bring!"
Stark,Grey Wind,Grey Wind,3,Monster,6,[M]Tooth & Claw,3+,4,,,,4+,2+,"Direwolf /
Tooth & Claw /
Disrupt",Pet: 'Robb Stark',SIF001/SIF001A,10204,2021,Character: *May only be fielded in an army including Robb Stark.*,,"Where ordinary wolves might be considered frightening, the direwolf known as Grey Wind is absolutely terrifying. Faster than any man on foot, and nearly as swift as any steed, Grey Wind uses instinct alone to guide him where he’s most needed on the battlefield. While his individual combat prowess is impressive, the outright panic he sows provides tremendous tactical value."
Stark,Stark Bowmen,,6,Infantry,5,[RL]Arrow Volley,3+,7.7.5,[M]Short Sword,5+,5.4.3,6+,6+,Arrow Volley,,SIF106,10205,S06,,,"Hunters, woodsmen, and survivalists from the rugged north often serve their lords in one military capacity or another, but when the Direwolf marches to war, it brings more skilled bowmen than most. While marginally effective at short range, and very vulnerable in a pitched melee or a cavalry assault, House Stark’s bowmen will pin down or even outright eradicate enemy opposition at long range."
Stark,House Tully Sworn Shield,,6,Infantry,5,[M]Longsword,4+,7.5.4,,,,3+,6+,"Order: Shield Wall /
Stubborn Tenacity",,SIF105,10206,S05,,,"House Tully’s Sworn Shields bring superior armor and defensive power to the battlefield under the greater banner of House Stark. With their ability to absorb nearly any determined assault, many battles turn on their impressive holding power. While not as fast as other offensive elements, Sworn Shields often define the line behind which assault units can safely retreat after a swift dash at the enemy."
Stark,Summer,Summer,3,Monster,6,[M]Tooth & Claw,3+,4,,,,4+,2+,"Direwolf /
Tooth & Claw /
Bran’s Protector",Pet: 'Bran Stark',SIF109,10207,2021,Character: *May only be fielded in an army including Bran Stark.*,,"It began when Bran Stark was paralyzed in a fall from a tower in Winterfell. During his convalescence, Summer defended him from a would-be assassin, confirming the bond between the Stark children and their direwolves. Hodor, a massive man of immense strength, but limited intellect, served as Bran’s legs once young Stark could leave his bed. In a way, the trio function as one individual, a being of loyalty, honor, and intelligence."
Stark,House Umber Greataxes,,7,Infantry,5,[M]Executioner's Fury,3+,6.5.4,,,,4+,5+,"Executioner's Fury /
Ferocious Assault",,SIF104,10208,S04,,,"Umber Greataxes combine mobility, defense, and fearsome weaponry to field a unit with superior flexibility. Greataxes will chase down heavier foes, stand firm against charges, and deliver a devastating assault with their signature weapons. While not specialized in any particular combat doctrine, an experienced commander can deploy them as needed, to shore up exposed weaknesses in their own defenses or exploit an enemy’s poor judgment."
Stark,Crannogman Trackers,,5,Infantry,6,[RS]Crannog Bow,4+,7.6.4,[M]Tracker's Blade,4+,6.4.3,6+,7+,"Order: Hidden Traps /
Order: Mark Target",,SIF107,10209,S05,,,"The Crannogman Trackers are never what one would call a front-line unit. Lightly armed and lightly armored, Trackers stand little chance in formal engagments. What Trackers lack in direct damage, however, they more than make up for in their speed and ability to disrupt and confuse enemy formations, all the while combining their speed and mobility with deadly hit-and-run tactics to avoid direct engagments."
Stark,Shaggydog,Shaggydog,3,Monster,6,[M]Vicious Mauling,3+,4,,,,4+,2+,"Direwolf /
Vicious Mauling",Pet: 'Rickon Stark',SIF110,10210,2021-S03,Character: *May only be fielded in an army containing Rickon Stark.*,,"Of the Stark direwolves, Shaggydog proved to be the most feral, prone to lashing out against anyone that upset his master, young Rickon Stark. Rickon’s childlike tantrums and fits of rage translated themselves to Shaggydog, a dangerous situation as even young direwolves can be deadly. In armed conflicts, however, Shaggydog’s fearsome protectiveness and savagery were right at home. None could threaten Rickon without facing fangs and fury."
Stark,Eddard's Honor Guard,Eddard's Honor Guard,6,Infantry,5,[M]Winter's Bite,3+,7.6.5,,,,3+,6+,"Winter's Bite /
Go Down Fighting/
Must be attached to 'Eddard Stark, Lord of Winterfell'",,SIF109,10212,2021-S03,"Character: *May only be fielded in an army containing Eddard Stark, Lord of Winterfell. He must be attached to this unit.*",,"Chosen men from House Stark’s own ranks, Lord Eddard Stark’s honor guard have proven themselves as warriors of the highest integrity. They can be relied upon to hold the field against long odds, and dish out punishment as well as they can take it. Every man would willingly lay down his life for their lord, all the more so as Lord Eddard Stark would do the same. One can rely on the Honor Guard as a more-than-capable vanguard to any Stark force."
Stark,House Tully Cavaliers,,8,Cavalry,5,[M]Lance,3+,5.4,,,,3+,5+,"Cavalry /
Lance /
Rally Banner",,SIF108,10213,S05,,,"Heavily armed, heavily armored, and with all the speed that cavalry commands, House Tully’s Cavaliers are renowned for their devastating charges that can shatter even the hardest enemy line. The mere threat of an imminent charge forces enemy commanders to respond, allowing the Cavalier commander to project force against an enemy line without even engaging. A wise commander will have troops standing ready to exploit the chaos Cavaliers leave in their wake."
Stark,House Mormont She-Bears,,6,Infantry,5,[M]Resolute Strikes,4+,7.6.5,,,,4+,6+,"Order: War Cry /
Resolute Strikes",,SIF111,10214,S04,,,"The She-Bears of House Mormont style their kit and tactics after the Lady Alysane Mormont. They’re powerful women, known for their strength, outfitted in thick leather and plate. Their weapons are two-handed maces, capable of crushing a heavy helm or caving in a chest plate in a single blow. The She-Bears are fanatically devoted to the Mormont cause, and their strong armor and resolve allow them to stand and fight where other units fall."
Stark,House Karstark Spearmen,,5,Infantry,5,[M]Spear,4+,7.7.4,,,,4+,6+,"Order: Hold The Line! /
Stand Your Ground!",,SIF114/SIF001A,10215,S04,,,"Few things are more terrifying for charging cavalry than a line of hardened spearmen with shields locked and spears leveled, particularly true when those soldiers march under the white sun banner. Karstark’s Spearmen are perfect cover for a battle line’s vulnerable flanks where cavalry do their most devastating work. Kitted with chain and leather, they can absorb their share of hits, but are not suited as a dedicated vanguard on their own."
Stark,House Mormont Bruisers,,6,Infantry,5,[M]Mace & Spike,3+,7.6.5,,,,5+,6+,"Mace & Spike /
Disrupt",,SIF112,10216,S04,,,"As befitting the house sigil of a great bear, the troops known colloquially as House Mormont Bruisers hit hard and go down fighting. Their light armor consists mostly of padded leather and light chain, giving them decent mobility. The last thing an opponent wants to face are these troops on a flank. When suffering losses, Bruisers only become more dangerous, vowing blood for blood and often taking their enemies with them."
Stark,House Karstark Loyalists,,5,Infantry,5,[M]Flail,4+,7.5.4,,,,4+,6+,"Ferocious Assault /
Flail /
Unleashed Ferocity",,SIF113,10217,S04,,,"House Karstark of Karhold is one of House Stark’s most faithful bannermen. When House Stark calls for aid, loyalist forces are quickly marshalled and sent into the field. While armed primarily with flails and shields, their main weapon is a truly steadfast belief in their cause. Wounds that might seem to put a man down will not bother them. They will simply refuse to break and run against a foe that they have a numerical advantage against."
Stark,Crannogman Bog Devils,,7,Infantry,6,[M]Poisoned Tridents,3+,7.5.4,,,,5+,5+,"Order: Scout Openings /
Order: Swift Retreat /
Poisoned Tridents",Rules: 50201,SIF117,10218,2021,,,"The Crannogman Bog Devils are some of the most feared ambush soldiers in all of Westeros. Vassals of the Reed family, they are adept at blending in with swampy terrain. Their light armor keeps them from being bogged down in their chosen terrain, while their poisoned tridents deal an agonizing death to their foes. After an attack, the Bog Devils simply melt away back into the undergrowth, leaving nothing but the dead and dying."
Stark,House Umber Ravagers,,7,Cavalry,6,[M]Executioner’s Axe,3+,6.8,,,,5+,5+,"Cavalry /
Executioner’s Axe",,SIF118,10219,S05,,,"House Umber is not renowned for its cavalry, yet what they possess is as deadly as any in Westeros. Ravagers aren’t as heavily armored as some cavalry, but they strike with unbridled fury. Allowing a line of Ravagers to charge an enemy from the flank or rear is to invite a swift and terrible death. They’re fast, efficient, and resilient. Perfect troops for the North where survival depends on swift and merciless killing strokes."
Stark,Winterfell Guard,,7,Infantry,5,[M]Longsword,3+,7.6.4,,,,4+,5+,"Winterfell Supplies /
Improved Defenses (Stark) /
Adaptive",,SIF119,10220,S05,Adaptive: *Reduce the cost of 1 Attachment in this unit by 1.*,,"Having loyally served in the military for several decades, the Winterfell Guards are formed of veterans in their prime. They have served as protectors of Winterfell for a time but have chosen to continue their service from within the city’s walls in their advanced years. However, in these days of War, they have been called upon yet again, to march on to the frontlines once more."
Free Folk,Savage Giant,,7,Monster,5,[M]Furious Swing,3+,4,,,,4+,5+,"Giant /
Furious Swing",,SIF003/SIF003/SIF406/SIF406,10301,S05,,,"Although considered a myth by most southern Westerosi lords, the Savage Giants beyond the Wall are all too real, as the Night’s Watch will attest. These huge creatures wear no armor, and wield little more than crude mammoth bones or tree trunks. Yet, this is all they really need. A single giant can lay waste to the heaviest infantry, and virtually ignore a line of charging knights. Only raw numbers or mighty siege weapons can bring a Giant down."
Free Folk,Free Folk Trappers,,4,Infantry,6,[RS]Windling Bow,4+,6.5.4,[M]Crude Weapons,5+,5.4.3,6+,8+,Order: Hidden Traps,,SIF003/SIF403,10302,S05,,,"What the Free Folk lack in sophisticated gear, they more than make up for in cunning. Free Folk Trappers prep the battlefield with hindering snares and artful traps. Such tactics rarely produce more than temporary casualties, though their intent is not to kill. Cavalry units must tread carefully, lest their mounts suffer, and infantry advance slowly for fear of the same. All the while trappers rain arrows down upon these beleaguered formations."
Free Folk,Free Folk Raiders,,4,Infantry,5,[M]Crude Weapons,4+,6.5.4,,,,5+,7+,"Disorganized /
Adaptive",,SIF003/SIF003/SIF401,10303,2021-S03,Adaptive: *Reduce the cost of 1 Attachment in this unit by 1.*,,"With little training and crude weapons of bone and scavenged iron or steel, the Free Folk Raiders offer only one thing to counter advanced Westerosi arms and armor: multitudes. Encounters with Raider warbands in the south have left most Westerosi commanders with little notion of Free Folk numbers north of the Wall. It’s true that in small units, they’re little more than armed peasants. However, under the Free Folk banner, they’re an army."
Free Folk,Spearwives,,5,Infantry,6,[RS]Spear Toss,4+,4.4.4,[M]Spear,4+,7.7.4,5+,7+,"Order: Charging Volley /
Furious Charge",,SIF405,10304,S04,,,"While warfare is largely the province of men in the south, the Free Folk women are more than capable of standing beside the men in a line-of-battle. While not suited as a vanguard, the Spearwives make for superior flankers, both on assault and for protection against charges. Their weapons may be crude, but they’re plentiful, cheap, and the Spearwives hurl them with deadly accuracy. Intelligent commanders can make full use of this capability."
Free Folk,Cave Dweller Savages,,5,Infantry,6,[M]Frenzied Swings,4+,6.7.8,,,,6+,4+,Frenzied Swings,,SIF408,10305,2021-S02,,,"While they are indeed armed with little more than primitive weapons and armored with furs and loincloths, underestimating the sheer bloodthirst of Cave Dweller Savages has brought a quick end to more than one unwary patrol. Savages may not survive long as a vanguard unit, but for opening a hole in enemy lines or as flankers intent on unprotected archers, the Savages excel. When blood has been spilled, their ruthless brutality knows no equal."
Free Folk,Wun Wun,Wun Wun,8,Monster,5,[M]Pummeling Fists,3+,6,,,,3+,4+,"Order: War Cry /
Pummeling Fists /
Giant",,SIF410,10306,2021-S02,,,"If anything, Wun Wun is larger even than his chief, Mag the Mighty. Wun Wun shares the vast strength and thick hide common to all giants, coupled with a personal sense of invulnerability and uncommon fighting spirit. Wun Wun can break even the heaviest enemy line with ease, although Free Folk commanders should take care to support his crushing advances, lest he be surrounded and stung to death by a thousand cuts."
Free Folk,Followers of Bone,,5,Infantry,5,[M]Jagged Weapons,4+,7.6.4,,,,5+,6+,"Jagged Weapons /
Horrific Visage",,SIF407,10307,2021-S03,,,"While not part of any particular Free Folk faction, the Followers of Bone have devoted themselves to serving the Lord of Bones in all his warlike ambitions. In battle, one might not think bone weapons and armor would be terribly effective against steel, yet an auroch’s jawbone on a thick wooden haft can deliver a surprising blow, even to a man in plate armor. The disquiet these savages cause among enemy troops is of great value to a canny commander."
Free Folk,Thenn Warriors,,5,Infantry,5,[M]Bronze Weapons,4+,7.5.4,,,,4+,6+,"Order: Hold The Line! /
Order: Taunt",,SIF404,10308,2021-S03,,,"The Thenn Warriors are the heaviest regular troops fielded by the Free Folk. Their bronze arms and armor were forged by their own hands, not stolen from the Night’s Watch or looted from battlefields. These relatively advanced northerners’ weapons cannot match against tempered steel from the south, and Free Folk Commanders must keep this in mind. However, Thenn Warriors excel as flankers or as a rearguard in a giant’s wake."
Free Folk,Frozen Shore Chariots,,5,Siege Engine,6,[M]Deadly Impact,4+,4,,,,5+,5+,"Order: Swift Retreat /
Chariot /
Deadly Impact",,SIF411/SIF411,10309,2021-S02,,,"One does not normally connect the Wildlings with war machines, but Frozen Shore Chariots are surprisingly effective. Made of wood and bone, and hauled by massive wolf/hound hybrids bred for strength and ferocity, Chariots pull two men and an assortment of weaponry, not only towards the enemy, but often crashing straight through even hardened ranks. That said, use them with caution, for a chariot’s primary weakness lies in becoming bogged down."
Free Folk,Bear,,0,Monster,4,[M]Savage Mauling,3+,3,,,,3+,3+,"Bonded Bear /
Savage Mauling /
Fielded by Skinchanger",,SIF402,10310,S05,*This model is only utilized by the Bonded Skinchanger Ability.*,,"Skinchangers are men and women capable of entering the minds of beasts and manipulating their actions, either subtly or overtly. In war, the Skinchanger’s presence on the battlefield is not marked by the human, but by the beasts they control, such as huge northern bears, direwolves, shadowcats, owls, and eagles. While their animals can be slain, such a person is rarely defeated for long, as the north is not lacking in fierce, powerful creatures."
Free Folk,The Bonelord's Chosen,Bonelord's Chosen,6,Infantry,5,[M]Jagged Weapons,3+,7.6.4,,,,5+,6+,"Jagged Weapons / 
Horrific Visage / 
Prey On Fear / 
Must be attached to 'Rattleshirt'",,SIF409,10311,2021-S03,Character: *May only be fielded in an army containing Rattleshirt. He must be attached to this unit.*,,"The Bonelord’s Chosen represent the strongest, most savage among the Followers of Bone. Each Chosen takes his place by killing his predecessor through ritual combat. The new Chosen’s armor uses bones from their predecessor, though augmented with animal bones for greater protection. The Chosen may appear as mere savages, but Night’s Watch veterans warn their brothers to beware of their exceptional cunning and surprising skill at arms."
Free Folk,War Mammoth,,6,Monster,6,[M]Rampage,4+,7,,,,3+,6+,"Mammoth /
Rampage",Limited:2,SIF412/SIF412,10312,S06,Limited: *Your army may only include up to 2 Mammoths.*,,"On the battlefield the War Mammoth is a fearsome sight bearing down on an enemy position. Its incredible strength and thick hide make it difficult to neutralize. Giants have been known to ride Mammoths into battle, though not enough Mammoths still exist in the world to form a true cavalry corps. But, those that battle on behalf of their masters are well-trained. It’s a rare event, but a panicked Mammoth is no one’s ally on the battlefield."
Free Folk,Mag the Mighty,Mag The Mighty,5,Monster,5,[M]Chieftain's Fury,3+,7,,,,4+,4+,"Giant /
Chieftain's Fury/
Commander",Rules: 50301,SIF410,10313,2021,,,"Mag the Mighty has, if anything, an understated title. As chieftain of the giants, his fearsome strength has led his people to victory time and again. Even the most heavily armored troops are no match for his vast strength, and his leadership skills (such as giants possess) inspire his own kind in the heat of battle. Mag can easily wade directly into a fray, although he should beware. While difficult to bring down, giants are not immune to steel."
Free Folk,Mag the Mighty,Mag The Mighty,9,Monster,5,[M]Chieftain's Fury,3+,7,,,,4+,4+,"Giant /
Chieftain's Fury",,SIF410,10314,2021,,,"Mag the Mighty has, if anything, an understated title. As chieftain of the giants, his fearsome strength has led his people to victory time and again. Even the most heavily armored troops are no match for his vast strength, and his leadership skills (such as giants possess) inspire his own kind in the heat of battle. Mag can easily wade directly into a fray, although he should beware. While difficult to bring down, giants are not immune to steel."
Free Folk,Frozen Shore Bear Riders,,8,Cavalry,4,[RS]Spear Toss,4+,4.4,[M]Spear and Maul,3+,6.4,4+,5+,"Order: Charging Volley /
Bear Cavalry /
Spear and Maul",Solo,SIF414,10315,S04,,,"The white bears of the hinterlands beyond the Wall are massive even among bear kind, often standing as tall as two men and capable of rending rock and steel. Only the Wildlings would think to tame such beasts and ride them into battle. As ‘cavalry’ go, Frozen Shore Bear Riders are slow and lumbering, but where an ordinary horse can but trample an enemy, Snow Bears can bite, rend, and maul. Even a man in full plate armor is no match for a bear."
Free Folk,Borroq’s Boar,Borroq’s Boar,0,Monster,5,[M]Gore and Feed,3+,3,,,,4+,2+,"Bonded Boar /
Gore and Feed",Pet: 'Borroq',SIF415,10316,S04,Character: *May only be fielded in an army including Borroq.*,,"Wherever Borroq goes, his companion boar stays at his side. This porcine monster has truly massive proportions, standing as high as a full-grown bull and sporting tusks as long as a man’s arm. Its thick hide provides adequate defense against even the sharpest blade. In battle, it swings its massive head back and forth, impaling foes before tucking in for a grisly feast. However, should Borroq quit the battlefield, the boar is certain to follow."
Free Folk,"Varamyr Sixskins, Master Skinchanger",Varamyr Sixskins,3,Monster,4,[M]Vicious Mauling,3+,3,,,,3+,4+,"Master Skinchanger /
Vicious Mauling","Controls: 20330
Add: 10319
Add: 10320",SIF417,10317,2021-S03,,"“I can soar above the Wall, and see with eagle eyes.”","Among the most powerful Skinchangers beyond the Wall, Varamyr Sixskins commands a huge snow bear, three wolves, a shadowcat, and an eagle simultaneously. In battle he rides astride his great snowbear, commanding his various beasts in coordinated attacks. Nothing escapes his eagle’s gaze, nor his shadowcat’s patient stalking. Any that approach his person face a savage mauling. One may defeat the individual creatures, but Varamyr will find more."
Free Folk,"Varamyr Sixskins, Master Skinchanger",Varamyr Sixskins,2C,Monster,4,[M]Vicious Mauling,3+,3,,,,3+,4+,"Master Skinchanger /
Vicious Mauling","Requires: 'Shadowcat'
Requires: 'Wolf Pack'
Rules: 50302
Controls: 20330",SIF417,10318,S04,,"“I can soar above the Wall, and see with eagle eyes.”","Among the most powerful Skinchangers beyond the Wall, Varamyr Sixskins commands a huge snow bear, three wolves, a shadowcat, and an eagle simultaneously. In battle he rides astride his great snowbear, commanding his various beasts in coordinated attacks. Nothing escapes his eagle’s gaze, nor his shadowcat’s patient stalking. Any that approach his person face a savage mauling. One may defeat the individual creatures, but Varamyr will find more."
Free Folk,Shadowcat,Shadowcat,2,Monster,6,[M]Claw Slash,3+,2,,,,4+,2+,"Varamyr’s Shadowcat /
Disrupt",Pet: 'Varamyr Sixskins',SIF417,10319,2021,*May only be fielded in an army including Varamyr Sixskins.*,,"While a single Shadowcat alone may not pose much danger to a unit of armored men, this Shadowcat comes bearing the cunning of Varamyr Sixskins. Working in tandem with Varamyr’s other beasts and in support of Free Folk forces, his Shadowcat serves as a powerful and elusive threat. Even without Sixskins commanding its mind, his Shadowcat is a graceful feline predator half-again the size of a man. With Sixskins though, it becomes a lethal weapon."
