Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10111,Manteaux Rouges,Épée Longue,,,,"Les Manteaux Rouges forment une unité d’élite et représentent le bras armé de la Maison Lannister à Port-Réal. Leur rôle est de maintenir la population sous contrôle par l’intimidation, la peur et l’épée. Ils se distinguent non seulement par leurs manteaux pourpres, mais également par leurs armures de demi-plates, aussi finement ouvragées que leur production de masse le permet. Les Manteaux Rouges constituent une infanterie moyenne solide et font partie des troupes Lannister les mieux payées.",2021-S01
10112,Brigands de la Maison Clegane,Armes Brutales,,,,"Alors que la plupart des assauts de cavalerie sont déjà bien assez violents, les bandes de brigands montés de Gregor Clegane poussent la brutalité au-delà de toutes limites. Écraser les rangs ennemis de flanc ou de dos ne leur suffit pas. Pour ceux qui rejoignent les rangs de Clegane, une arme qui mutile ou brise est toute aussi bonne qu’une arme qui tue rapidement et efficacement. Pourtant, malgré leur redoutable réputation, les Brigands ne recherchent pas le combat équitable.",2021-S02
10113,Guet de Port-Lannis,Lance,,,,"Défenseurs du siège du pouvoir de la Maison Lannister, Les hommes du Guet de Port-Lannis sont aussi bien armés et protégés (si ce n’est mieux) que la plupart des unités de première ligne engagées dans la Guerre des Cinq Rois. Ils ne bénéficient toutefois pas de l’expérience des troupes régulières, et ne sont pas adaptés pour tenir l’avant-garde ou encaisser une charge de cavalerie trop violente. Malgré tout, lorsqu’ils sont en nombre suffisant et correctement soutenus, ils constituent une unité auxiliaire de qualité, qui se révèle à la fois efficace et dangereuse.",S04
10114,Garde d'Honneur de Castral Roc,Oppression Lannister,,,,"L’immense château de Castral Roc qui domine Port-Lannis constitue le symbole de la suprématie des Lannister. Son gardien, la célèbre Garde d’Honneur de Castral Roc, représente tout autant la puissance inébranlable de la Maison Lannister. Équipés d’armures de plates luxueuses, les hommes de la Garde d’Honneur sont des fantassins lourds entraînés à faire face à toute menace locale. Ils sont aptes à tenir leur position et à exploiter les faiblesses de l’ennemi au fur et à mesure qu’elles se révèlent.",2021-S03
10115,Manteaux d'Or,Gourdin,,,,"Port-Réal est généralement considéré comme un endroit sûr, notamment grâce aux célèbres Manteaux d’Or, qui patrouillent les avenues et ruelles avec zèle en faisant régner la justice d’une main de fer. Toutefois, la justice en question est celle des Lannister, maîtres incontestés de Port-Réal, et les Manteaux d’Or ont prêté allégeance au Trône de Fer. Diffamez le Roi à vos risques et périls.",2021
10116,Freux,Armes de Récupération,,Personnage : *Ne peut être recruté que dans une armée qui comprend Tyrion Lannister. Celui-ci peut être attaché gratuitement à cette unité.*,,"Si l’on excepte leur étonnante loyauté, les Freux de Tyrion Lannister ne sont guère différents des autres tribus montagnardes et des pillards ordinaires. Bien qu’ils soient plus attachés à la fortune de Tyrion qu’à sa propre personne, ils ont su rester fidèles, même lorsque la trahison aurait constitué une option plus lucrative. En tant que mercenaires, ces troupes se révèlent tout à fait rentables si elles sont employées en tant qu’éclaireurs ou pour harceler les flancs ennemis. Leur équipement léger ne leur permet pas de soutenir un engagement prolongé en première ligne.",2021
10201,Épées Liges Stark,Morsure de l'Hiver,,,,"Les Épées Liges forment les fondations sur lesquelles les généraux de la Maison Stark bâtissent leur stratégie. Courageux, compétents et d’une loyauté sans faille envers la bannière du Loup-Garou, les Épées Liges préfèrent périr jusqu’au dernier plutôt que d’abandonner leurs frères au combat. Leurs armes et leurs armures ne rivalisent peut-être pas avec celles des Maisons plus fortunées, mais ces hommes savent qu’un guerrier ne se juge pas qu’à la qualité de son équipement.",2021-S01
10202,Cavaliers Stark,Lame de Cavalerie,,,,"Bien qu’ils ne soient pas équipés pour de longs corps à corps, les Cavaliers de la Maison Stark se retrouvent rarement en mauvaise position. Ils se caractérisent par une mobilité sans pareille, grâce à leurs armures légères et leurs chevaux non bardés, entraînés à conserver leur calme et à galoper. À l’instar de la plupart des troupes légères, les Cavaliers sont vulnérables aux flèches, ce qui fait des archers leur proie naturelle. Ils peuvent fondre sur eux et balayer leurs rangs en un éclair.",S04
10203,Berserkers de la Maison Omble,Haches de Berserkers,,,,"Les Berserkers sont spécialisés dans les manœuvres de flanc, les charges dévastatrices et la poursuite des ennemis en déroute. Un général avisé saura ne pas trop leur lâcher la bride afin qu’ils ne se retrouvent pas submergés. Les Berserkers sont cependant des guerriers chevronnés qui s’abandonnent rarement à leur soif de sang. Que l’ennemi craigne l’acier froid 6 et la fureur des hommes du Nord !",S04
10204,Vent Gris,Griffes et Crocs,,*Ne peut être recruté que dans une armée qui comprend Robb Stark.*,,"Là où les loups ordinaires peuvent être effrayants, le Loup-Garou connu sous le nom de Vent Gris est absolument terrifiant ! Plus rapide qu’un fantassin et presque autant qu’une monture, Vent Gris utilise son instinct pour se rendre là où on a besoin de lui sur le champ de bataille. Bien qu’il soit redoutable au combat, c’est le vent de panique qu’il répand dans son sillage qui procure un indéniable avantage tactique.",2021
10205,Archers Stark,Volée de Flèches,Épée Courte,,,"Les chasseurs, bûcherons et hommes des bois des rudes terres du Nord servent souvent sous la bannière de leurs seigneurs, mais quand le Loup-Garou est en marche, il est soutenu par de nombreux archers d’une dextérité incomparable. D’une efficacité réduite à courte portée et extrêmement vulnérables en corps à corps ou face à une charge de cavalerie, les archers de la Maison Stark peuvent immobiliser, voire complètement éradiquer les forces ennemies situées à longue portée.",2021-S03
10206,Boucliers Liges de la Maison Tully,Épée Longue,,,,"Lourdement protégés, les Boucliers Liges de la Maison Tully apportent leur puissance défensive à la grande Maison Stark. Ils sont capables d’encaisser l’assaut le plus virulent et nombre de batailles ont été gagnées grâce à leur incroyable ténacité. Ils ne sont certes pas aussi rapides que la plupart des unités offensives, mais ils représentent souvent la ligne derrière laquelle les troupes d’assaut peuvent se replier en toute sécurité après une charge rapide sur l’ennemi.",2021
10207,Été,Griffes et Crocs,,*Ne peut être recruté que dans une armée qui comprend Bran Stark.*,,"Tout commença quand Bran se retrouva paralysé après sa chute de l’une des tours de Winterfell. Pendant sa convalescence, Été le sauva d’une tentative d’assassinat, prouvant ainsi le lien qui existait entre les enfants Stark et leurs loups-garous. Hodor, un géant à l’intelligence limitée, servit de jambes à Bran lorsque le jeune Stark fut à même quitter son lit. D’une certaine façon, le trio fonctionne comme un seul et même individu, un être de loyauté, d’honneur et d’intelligence.",2021
10208,Grandes Haches de la Maison Omble,Fureur du Bourreau,,,,"Alliant mobilité, défense et force de frappe, les Grandes Haches de la Maison Omble s’adaptent rapidement à toutes les situations. Ces guerriers peuvent poursuivre des ennemis plus lourds, mais aussi soutenir une charge ou lancer des assauts dévastateurs à l’aide de leurs armes de prédilection. Comme ils ne sont pas restreints à un type unique de combat, un commandant avisé pourra les déployer selon ses besoins, afin de combler une éventuelle faiblesse dans sa défense ou d’exploiter les erreurs de jugement de l’ennemi.",S04
10209,Pisteurs Paludiers,Arc des Paluds,Lame du Pisteur,,,"Les Pisteurs Paludiers sont tout sauf une unité de première ligne. Légèrement équipés et peu armés, ils n’ont aucune chance lors d’un affrontement direct. Les pisteurs compensent leur manque de force de frappe par leur vitesse et par leur capacité à semer la confusion dans les rangs adverses. Ils combinent rapidité et mobilité avec des tactiques de harcèlement particulièrement efficaces afin d’éviter les confrontations directes.",2021-S03
10210,Broussaille,Mutilation Sauvage,,*Ne peut être recruté que dans une armée qui comprend Rickon Stark.*,,"De tous les loups-garous des Stark, Broussaille s’est révélé être le plus sauvage, prompt à sauter à la gorge de quiconque menaçant son maître, le jeune Rickon Stark. Broussaille a hérité du tempérament capricieux et colérique de Rickon, ce qui le rend particulièrement imprévisible. Même jeunes, les loups-garous sont dangereux. Sur le champ de bataille, par contre, Broussaille peut laisser libre cours à sa sauvagerie et à son instinct protecteur. Personne ne peut menacer Rickon sans avoir à affronter sa fureur bestiale.",2021-S03
10212,Garde d'Honneur d'Eddard,Morsure de l'Hiver,,"Ne peut être recruté que dans une armée qui comprend Eddard Stark, Seigneur de Winterfell. Eddard doit être attaché à cette unité.",,"Triés sur le volet dans les rangs des troupes de la Maison Stark, les hommes de la Garde d’Honneur de Lord Eddard ont maintes fois prouvé leur valeur et leur intégrité. Sur le champ de bataille, ils se révèlent capables de tenir leur position face à un adversaire supérieur en nombre et savent rendre coup pour coup. Chacun de ses hommes est prêt à sacrifier sa vie pour Lord Eddard, d’autant plus que ce dernier n’hésiterait pas à faire de même pour eux. Ces troupes d’élite constituent l’avant-garde idéale de toute armée Stark.",2021-S03
10213,Cavaliers de la Maison Tully,Lance,,,,"Lourdement armés et harnachés, mais bénéficiant malgré tout de la mobilité propre à la cavalerie, les Cavaliers de la Maison Tully sont réputés pour leurs charges dévastatrices, capables de briser les lignes ennemies les plus solides. La simple menace d’une charge imminente oblige les généraux ennemis à réagir, permettant ainsi au commandant des Cavaliers de mettre la pression sur l’adversaire sans avoir à engager d’unité. Un général avisé positionnera des troupes dans le sillage de ces Cavaliers, prêtes à exploiter le chaos qu’ils laissent derrière eux.",2021-S03
10214,Ourses de la Maison Mormont,Frappe Résolue,,,,"Les Ourses de la Maison Mormont basent leurs tactiques et leur équipement sur ceux de Lady Alysane Mormont. Ces femmes redoutables, réputées pour leur force, portent des armures de cuir épais et de plates. Elles manient des masses à deux mains capables de broyer un casque lourd ou de défoncer un plastron en un seul coup. Farouchement dévouées à la cause des Mormont, les Ourses font preuve d’une détermination sans faille qui, associée à leur lourde armure, leur permet de résister là où d’autres unités tomberaient.",S04
10215,Lanciers de la Maison Karstark,Lance,,,,"Rien n’est plus terrifiant pour une cavalerie qui charge que de se retrouver face à une ligne de lanciers protégés derrière un mur de boucliers ne laissant dépasser que leurs lances. C’est particulièrement vrai pour les formations qui marchent sous la bannière du soleil blanc. Les Lanciers de la Maison Karstark forment une couverture parfaite pour protéger les flancs vulnérables d’une ligne de bataille, où la cavalerie est la plus dévastatrice. Équipés de mailles et de cuir, ils peuvent encaisser des coups, mais ne sont pas adaptés pour être lancés seuls en avant-garde.",S04
10216,Cogneurs de la Maison Mormont,Masse & Pointe,,,,"Arborant dignement le blason du grand ours, les hommes communément connus sous le nom de Cogneurs de la Maison Mormont frappent fort et combattent jusqu’au dernier. Leur armure légère se compose essentiellement de cuir rembourré et de maille légère, ce qui leur confère une bonne mobilité. Pour l’adversaire, subir un assaut de flanc de ces troupes constitue un véritable cauchemar. Lorsqu’ils subissent des pertes, les Cogneurs deviennent encore plus dangereux, rendant coup pour coup, et entraînant s’il le faut leurs ennemis avec eux dans la mort.",S04
10217,Loyalistes de la Maison Karstark,Fléau,,,,"Parmi toutes les Maisons vassales des Stark, la Maison Karstark de Karhold est l’une des plus fidèles. Lorsque la Maison Stark fait appel aux bannerets du Nord, les Loyalistes sont rapidement rassemblés et envoyés sur le champ de bataille. Armés de fléaux et de boucliers, leur véritable force réside dans la foi inébranlable qu’ils ont dans leur cause. Des blessures qui d’ordinaire mettraient un homme à terre les font à peine vaciller. Ils sont capables de tenir une position sans faillir, notamment face à un ennemi inférieur en nombre.",S04
10218,Paludiers Démons des Marais,Tridents Empoisonnés,,,,"Les Paludiers Démons des Marais font partie des unités d’embuscade les plus redoutées de tout Westeros. Ces vassaux de la famille Reed n’ont pas leur pareil pour se fondre dans les terrains marécageux. Leurs armures sont suffisamment légères pour ne pas s’y enliser et leurs tridents empoisonnés infligent une mort atroce à leurs adversaires. Après leur attaque, les Démons des Marais disparaissent dans le sous-bois, ne laissant derrière eux que des cadavres ou des mourants.",2021
10219,Ravageurs de la Maison Omble,Hache de Bourreau,,,,"La Maison Omble n’est pas réputée pour sa cavalerie, pourtant ses cavaliers sont aussi redoutables que les autres unités montées de Westeros. S’ils ne sont pas aussi lourdement protégés que la plupart des troupes de cavalerie, les Ravageurs attaquent avec une fureur impitoyable. Tout ennemi qui commet l’erreur de se laisser charger de flanc ou de dos est voué à une mort certaine et expéditive. Ils sont rapides, efficaces et résistants : des troupes parfaites pour le Nord, un lieu où la survie dépend de la capacité à frapper vite et fort.",2021
10301,Géant Sauvage,Balayage Enragé,,,,"Considérés comme une légende par la plupart des Seigneurs Sudiens de Westeros, les Géants Sauvages qui vivent au-delà du Mur sont bel et bien réels, comme la Garde de Nuit peut le confirmer. Ces gigantesques créatures ne portent aucune armure et manient des armes rudimentaires, comme des os de mammouth ou des troncs d’arbre. En vérité, ils n’ont besoin de rien d’autre. Un seul Géant peut causer des ravages dans les rangs de l’infanterie la plus lourde et ne pas être le moins du monde dérangé par une charge de chevaliers. Il n’existe que deux solutions pour abattre un Géant : le noyer sous le nombre ou avoir recours à une puissante arme de siège.",2021-S01
10302,Trappeurs du Peuple Libre,Arc de Sauvageon,Armes Rudimentaires,,,"Le Peuple Libre compense largement son manque de matériel sophistiqué par la ruse. Les Trappeurs du Peuple Libre n’ont pas leurs pareils pour truffer le champ de bataille de pièges aussi inventifs que vicieux. Le but n’est pas de causer de lourdes pertes aux unités ennemies, mais de les ralentir. Les cavaliers sont contraints d’avancer au pas sous peine de perdre leurs montures et l’infanterie doit faire preuve de prudence afin de ne pas déclencher les pièges. Pendant ce temps, les Trappeurs s’en donnent à cœur joie pour cribler de flèches les unités ainsi empêtrées.",2021-S01
10303,Pillards du Peuple Libre,Armes Rudimentaires,,Réactivité : *Réduisez le coût de 1 Attachement de cette unité de 1.*,,"Manquant d’entraînement et sommairement équipés d’armes en os ou de lames de récupération, les Pillards du Peuple Libre n’ont qu’une seule chose à offrir pour contrer l’avancée des lourdes armées de Westeros : leur multitude. Les échauffourées au sud du Mur ont donné aux généraux de Westeros une fausse idée du nombre des Sauvageons au-delà du Mur. S’il est vrai qu’en petit nombre, ils ne valent guère mieux qu’une bande de paysans, sous la bannière du Peuple Libre, ils forment une véritable armée.",2021-S03
10304,Piqueuses,Lancer de Pique,Pique,,,"Si dans le sud, la guerre est surtout une affaire d’hommes, les femmes du Peuple Libre ont largement prouvé leur valeur au combat. Les Piqueuses ne sont pas adaptées à l’affrontement direct sur la ligne de front et se montrent bien plus utiles sur les flancs, tant pour lancer leurs assauts que pour protéger des charges ennemies. Leurs armes sont peut-être rudimentaires, mais elles en ont à profusion et sont capables de les lancer avec une précision mortelle. Un général avisé saura exploiter au mieux ce talent.",S04
10305,Sauvages Troglodytes,Assaut Frénétique,,,,"Les Troglodytes ne portent que des pagnes ou de simples fourrures et leur équipement se limite à des armes primitives. Pourtant, sous-estimer leur soif de sang serait une grave erreur, comme l’ont appris à leurs dépens plusieurs patrouilles imprudentes. Ces sauvages ne tiendront pas longtemps en première ligne, mais pour effectuer une percée dans les rangs adverses ou attaquer de flanc des archers mal protégés, ils sont parfaits. Dès qu’ils ont senti le sang, leur férocité est sans égale.",2021-S02
10306,Wun Wun,Dérouillée,,,,"Wun Wun est encore plus imposant que son chef, Mag le Puissant. Comme tous les géants, Wun Wun est doté d’une force titanesque et d’un cuir épais, mais il est également convaincu d’être invulnérable et possède une combativité hors du commun. Si Wun Wun est capable d’enfoncer les lignes ennemies les plus solides avec une effarante facilité, les généraux du Peuple Libre devront veiller à soutenir les attaques de ce béhémoth, de peur qu’il ne se retrouve encerclé et submergé par la masse de ses minuscules adversaires.",2021-S02
10307,Disciples des Os,Armes en Os,,,,"Bien qu’ils n’appartiennent à aucune faction particulière du Peuple Libre, les Disciples des Os ont consacré leur vie à servir les ambitions belliqueuses du Seigneur des Os. Au combat, on pourrait penser que leurs armes en os ne font pas le poids face à l’acier, pourtant une mâchoire d’auroch montée sur un épais manche de bois peut se révéler terriblement efficace, y compris contre un adversaire en armures de plaques. Le trouble causé par ces sauvages au sein des troupes ennemies constitue un avantage qu’un général avisé saura exploiter.",2021-S03
10308,Guerriers Thenn,Armes en Bronze,,,,"Les Guerriers Thenns constituent les troupes régulières les plus lourdes alignées par le Peuple Libre. Leurs armes et armures de bronze ont été forgées de leurs propres mains, et non pas volées à la Garde de Nuit ou pillées sur le champ de bataille. Cependant, les généraux du Peuple Libre doivent tenir compte du fait que ces armes Nordiennes, bien que relativement avancées, ne font pas le poids face à l’acier trempé du sud. C’est généralement sur les flancs ou en tant qu’arrière-garde dans le sillage d’un géant que les Guerriers Thenns se montrent les plus efficaces.",2021-S03
10309,Chars de la Grève Glacée,Impact Mortel,,,,"Les Sauvageons sont rarement associés aux machines de guerre, mais les Chars de la Grève Glacée sont étonnamment efficaces. Ces chars, faits de bois et d’os, tirés par d’énormes bâtards de loups et de molosses croisés pour leur force et leur férocité, abritent deux hommes et toute une panoplie d’armes permettant non seulement de charger l’adversaire, mais également d’enfoncer les rangs les plus solides. Ils sont toutefois à utiliser avec prudence, car les chars deviennent extrêmement vulnérables une fois immobilisés.",2021-S02
10310,Ours,Mutilation Sauvage,,*Cette figurine n’est utilisée qu’avec la Capacité Lien du Change-peau.*,,"Les Change-peaux sont des hommes et des femmes capables de pénétrer dans l’esprit des animaux et de manipuler leurs actions, que ce soit de façon subtile ou ostentatoire. En temps de guerre, ce n’est pas le Change-peau lui-même que l’on remarque sur le champ de bataille, mais les bêtes qu’il contrôle, tels que les énormes ours Nordiens, les loups, les lynx-de-fumée, les hiboux et les aigles. Si ses animaux peuvent être tués, il est rare qu’un Change-peau soit vaincu longtemps, car le Nord ne manque pas de créatures féroces et redoutables.",2021
10311,Élu du Seigneur des Os,Armes en Os,,*Ne peut être recruté que dans une armée qui comprend Clinquefrac. Il doit être attaché à cette unité.*,,"Seuls les plus forts et les plus sauvages parmi les disciples des Os peuvent devenir un Élu du Seigneur des Os. Chaque Élu prend la place de son prédécesseur en le tuant au cours d’un combat rituel. L’armure du nouvel Élu est assemblée à partir des ossements du vaincu et complétée avec des os d’animaux afin d’offrir une meilleure protection. De prime abord, les Élus peuvent sembler n’être que de vulgaires sauvages, mais les vétérans de la Garde de Nuit enseignent aux frères novices de ne sous-estimer ni leur incroyable ruse, ni leurs extraordinaires talents martiaux.",2021-S03
10312,Mammouth de Guerre,Saccage,,Limité : *Votre armée peut inclure un maximum de 2 Mammouths de Guerre.*,,"Sur le champ de bataille, voir un Mammouth de Guerre foncer sur les positions ennemies constitue un spectacle impressionnant. Sa force incroyable et sa peau épaisse le rendent difficile à neutraliser. Il arrive que des géants chevauchent ces pachydermes, mais il ne reste plus assez de Mammouths dans le monde pour former de véritables corps de cavalerie. Ceux qui combattent aux ordres de leur maîtres sont cependant bien entraînés. Même si cela reste un événement rare, un Mammouth paniqué peut s’en prendre aussi bien à ses alliés qu’à ses ennemis.",2021-S01
10313,Mag Le Puissant,Fureur du Chef,,,,"Le Titre de Mag le Puissant reste, somme toute, relativement modeste. En tant que chef des géants, il a mené maintes fois son peuple à la victoire grâce à sa force redoutable. Même les troupes les plus lourdement protégées ne font pas le poids face à sa puissance, et ses qualités de chef (pour autant que les géants en possèdent) inspirent les siens au coeur de la bataille. Mag a largement les moyens de se jeter dans la mêlée, mais il doit toutefois rester prudent. Bien que difficiles à abattre, les géants ne sont pas immortels.",2021-S02
10314,Mag Le Puissant,Fureur du Chef,,,,"Le Titre de Mag le Puissant reste, somme toute, relativement modeste. En tant que chef des géants, il a mené maintes fois son peuple à la victoire grâce à sa force redoutable. Même les troupes les plus lourdement protégées ne font pas le poids face à sa puissance, et ses qualités de chef (pour autant que les géants en possèdent) inspirent les siens au coeur de la bataille. Mag a largement les moyens de se jeter dans la mêlée, mais il doit toutefois rester prudent. Bien que difficiles à abattre, les géants ne sont pas immortels.",2021
10315,Oursières de la Grève Glacée,Lancer de Pique,Piques et Lacérations,,,"Dans les terres lointaines qui s’étendent au-delà du Mur vivent les ours blancs les plus imposants de leur espèce, aussi grands que deux hommes quand ils se redressent, et capables de déchiqueter la roche comme l’acier. Seuls les sauvageons oseraient dompter de telles bêtes et les monter au combat. Les Oursières de la Grève Glacée sont peut-être plus lentes et plus lourdes que la cavalerie traditionnelle, mais là où un cheval ne peut que piétiner un ennemi, les Ours des Neiges peuvent mordre, déchiqueter et lacérer. Même en armure de plate complète, un homme ne fait pas le poids face à un ours.",S04
10316,Le Sanglier de Borroq,Festin Macabre,,*Ne peut être recruté que dans une armée qui comprend Borroq.*,,"Le fidèle sanglier de Borroq se tient toujours aux côtés de son maître. Cet animal porcin, aussi massif qu’un taureau adulte, est doté de défenses aussi longues que le bras d’un homme. Sa peau épaisse lui fournit une armure naturelle qui le protège des lames les plus tranchantes. Au combat, il empale ses adversaires et les envoie valdinguer d’un puissant coup de tête, pour ensuite se livrer à un macabre festin. Cependant, si Borroq quitte le champ de bataille, le sanglier fera de même.",S04
10317,"Varamyr Sixpeaux, Maître Change-Peau",Mutilation Sauvage,,,"« Et moi, je peux survoler le Mur et voir avec des yeux d’aigle. »","Comptant parmi les plus puissants Changes- Peaux au-delà du Mur, Varamyr Sixpeaux peut se lier simultanément à un énorme ours des neiges, trois loups, un lynx-de-fumée et un aigle. Au combat, il chevauche son grand ours des neiges depuis lequel il commande et coordonne les attaques de ses différents animaux. Rien n’échappe au regard de son aigle, ni à la traque implacable de son lynx-de-fumée. Quiconque tente de s’approcher de lui s’expose à être sauvagement agressé. Même s’il est possible de terrasser chacune de ses créatures individuellement, rien n’empêchera Varamyr d’en invoquer d’autres.",2021-S03
10318,"Varamyr Sixpeaux, Maître Change-Peau",Mutilation Sauvage,,,"« Et moi, je peux survoler le Mur et voir avec des yeux d’aigle. »","Comptant parmi les plus puissants Changes- Peaux au-delà du Mur, Varamyr Sixpeaux peut se lier simultanément à un énorme ours des neiges, trois loups, un lynx-de-fumée et un aigle. Au combat, il chevauche son grand ours des neiges depuis lequel il commande et coordonne les attaques de ses différents animaux. Rien n’échappe au regard de son aigle, ni à la traque implacable de son lynx-de-fumée. Quiconque tente de s’approcher de lui s’expose à être sauvagement agressé. Même s’il est possible de terrasser chacune de ses créatures individuellement, rien n’empêchera Varamyr d’en invoquer d’autres.",S04
10319,Lynx-de-Fumée,Coup de Griffes,,*Ne peut être recruté que dans une armée qui comprend Varamyr Sixpeaux.*,,"Même si un lynx-de-fumée seul ne représente pas un grand danger pour une unité d’hommes en armure, celui-ci est animé de la ruse de Varamyr Sixpeaux. En soutien des forces du Peuple Libre et oeuvrant en bande avec les autres animaux, le Lynx-de-Fumée de Varamyr constitue une menace aussi redoutable qu’insaisissable. Même lorsque Sixpeaux ne contrôle plus son gracieux félin, son Lynx-de-Fumée demeure un prédateur redoutable presqu’aussi gros homme. Investi de l’esprit de Sixpeaux, il devient une arme mortelle.",2021
10320,Meute de Loups,Tactiques de Meute,,*Ne peut être recruté que dans une armée qui comprend Varamyr Sixpeaux.*,,"Bien qu’inadaptés à tenir le front d’une bataille rangée, les loups contrôlés par Varamyr Sixpeaux sont excellents pour harceler les flancs et semer la panique parmi les archers et les machines de guerre à l’écart de la ligne de front. Ils ne semblent être que de simples loups, mais lorsqu’ils sont animés par l’esprit de leur maître, ils ne forment plus qu’un, une véritable meute capable de coordonner ses tactiques avec celles des combattants humains du Peuple Libre. Faut-il encore se demander pourquoi les change-peaux sont craints à ce point ?",2021
