Id,Translated Name,,Requirement,Quote,,Version
30206,"Arya Stark, Das Wolfsmädchen",,,"„Junge, Mädchen. Du hältst ein Schwert in der Hand, das ist entscheidend.“ – Syrio Forel",,2021-S01
30207,"Holand Reet, Beschützer der Eng",,,„Er konnte mit Bäumen sprechen und Worte weben und Burgen verschwinden und wieder auftauchen lassen.“ – Meera Reet,,S04
30208,"Eddard Stark, Hand des Königs",,,"„Ich bin so wenigen davon in meinem Leben begegnet.Wenn ich sehe, was Ehrlichkeit und Ehre Euchgebracht haben, verstehe ich, wieso.“ – Varys",,2021-S03
30209,"Lyanna Mormont, Jüngste Bärin",,,"„Die Bäreninsel anerkennt keinen anderenKönig außer dem König des Nordens,und dessen Name lautet STARK.“",,2021
30210,"Robb Stark, König des Nordens",,*Deine Armee darf nicht Eddard Stark enthalten.*,"„Ich dachte immer, die Kämpfe wärendas Schwierigste, aber ...“",,2021-S03
30301,"Lady Val, Die Wildlingsprinzessin",,,„Deshalb kenne ich den Wald besser als all Eure Grenzer in ihren schwarzen Mänteln. Für mich gibt es dort keine Geister.“,,2021-S03
30302,"Manke Rayder, Geschickter Taktiker",,,"„Manke Rayder ist schlau. Er wurde als Krähe aufgezogen, und die Krähe ist ein listiger Vogel.“ – Tormund Riesentod",,S04
30303,"Craster, Verbündeter zum eigenen Vorteil",,,"„Trotzdem hat er noch keinen Grenzer von seinem Herd gewiesen, und Manke Rayder mag er auch nicht.“ – Thoren Kleinwald",,S04
30304,"Styr, Tyrann mit eiserner Faust",,,„Das sind Wildlinge … mehr Tier als Mensch.“ – Bowen Marsch,,2021-S03
30305,"Ygritte, Vom Feuer geküsst",,,"„Eins weiß ich sehr wohl. Ich weiß, dass du bis ins Mark ein Wildling bist.“ – Jon Schnee",,2021
30306,"Lady Dalla, Ehefrau und Beraterin",,,"„Wir vom freien Volk wissen Dinge, die ihr Knienden längst vergessen habt. Manchmal ist der kürzeste Weg nicht der sicherste, Jon Schnee.“",,S04
30307,"Manke Rayder, Betrügerischer Barde",,,"„Die Mauer kann ein Heer aufhalten, aber nicht einen einzelnen Mann.“",,2021-S03
30308,"Jon Schnee, Verräter-Krähe",,,„Manke Rayder hat ebenfalls einen Eid abgelegt.“ – Bowen Marsch,,S04
30402,"Petyr Baelish, Kleinfinger",,,„In Königsmund gibt es nur zwei Arten von Leuten. Die Spieler und die Spielsteine.“,,S04
30403,"Lord Varys, Die Spinne",,,"„Nur besitzt Varys wie kein anderer Möglichkeiten, Dinge in Erfahrung zu bringen.“ – Catelyn Stark",,S04
30404,Der Hohe Seneschall,,,„Er ist der Hüter der Geheimnisse dieser Welt.“,,2021
30405,"Jaqen H’Ghar, Anhänger des Roten Gottes",,,"„Der Rote Gott will seinen Anteil, süßes Mädchen, und nur mit dem Tod kann man für das Leben zahlen.“",,2021-S03
30406,"Tycho Nestoris, Von der Eisernen Bank",,,"„Wir, die wir der Eisernen Bank dienen, sehen dem Tod so oft ins Gesicht wie Ihr, die Ihr dem Eisernen Thron dient.“",,2021-S01
30407,"Walder Frey, Lord vom Kreuzweg",,,"„Er ist vorsichtig wie ein alter Mann und ehrgeizig wie ein junger, und nie hat es ihm an List gemangelt.“ – Catelyn Stark",,S04
30408,"Roose Bolton, Kalkulierend und Grausam",,,"Man brauchte Bolton nur anzusehen, um zu wissen, dass in seinem kleinen Zeh mehr Grausamkeit steckte, als in allen Freys zusammen.",,2021
30409,"Shae, Heimlich am Hofe",,,„Meine Mutter hat mich Shae genannt. Mann ruft mich … oft.“,,2021
30501,"Bowen Marsch, Erster Kämmerer",,,„Für die Wache.“,,2021
30502,"Aemon, Maester der Schwarzen Festung",,,"„Wissen ist eine Waffe, Jon. Wappnet Euch gut, ehe Ihr in die Schlacht zieht.“",,2021
30503,"Jeor Mormont, Der alte Bär",,,"„Die Mauer wurde gebaut, um die Reiche der Menschen zu schützen, und zwar nicht gegen andere Menschen ...“",,2021-S03
30506,"Qhorin Halbhand, Unerschütterlicher Grenzer",,,"„Unsere Ehre bedeutet uns nicht mehr als das Leben, solange es um die Sicherheit des Reiches geht.“",,S04
30507,"Donal Noye, Meisterschmied",,,"„Die Wache ist nicht mehr das, was sie einmal war. Zu wenige ehrliche Männer, um die Schurken unter Kontrolle zu halten.“",,2021-S02
30508,"Othell Yarwyck, Kriegsmaschinen-Spezialist",,,"„Das wird ihnen zeigen, wie wir mit solchen Wesen umgehen.“",,2021-S03
30509,"Samwell Tarly, Feiger Gelehrter",,,"„Ich kann dir nicht befehlen, mutig zu sein, aber ich kann dir sehr wohl befehlen, deine Angst zu verbergen.“ – Jon Schnee",,S04
30510,"Goldy, Das Wildlingsmädchen",,"*Darf nur in einer Armee aufgestellt werden, die **Samwell Tarly, Feiger Gelehrter** enthält.*",„Du bist ganz schön mutig.“ – Samwell Tarly,,S04
30511,"Craster, Verbündeter der Wache",,,"„Der Mann ist halb verrückt, das will ich nicht bestreiten, doch würde es Euch kaum anders ergehen, hättet Ihr Euer Leben im Verfluchten Wald verbracht.“ – Thoren Kleinwald",,S04
30512,"Yoren, Wanderkrähe",,,"„Ich bin hier, um neue Männerfür die Mauer aufzutreiben ...“",,S04
30513,"Ser Denys Mallister, Ehrenhafter Bruder",,,"„Die Männer der Nachtwache kleiden sich inSchwarz, erinnerte mich Ser Denys Mallister streng,als hätte ich das vergessen.“ – Manke Rayder",,2021-S03
30601,"Alester Florent, Lord von Klarwasser",,,"„Als Mann, der Könige und Götter wechselt, wie ich meine Stiefel.“ – Cortnay Fünfrosen",,2021
30602,"Shyra Errol, Lady von Erntehall",,,"„Dem Hause Baratheon verschworen ... erst Renly, dann Stannis.“",,2021
30603,"Melisandre, Die Rote Frau",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","Lady Melisandre trug keine Krone, doch jeder Mann wusste, dass sie Stannis’ eigentliche Königin war.",,2021-S03
30604,"Davos Seewert, Die Hand des einzig wahren Königs",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",Könige und Leichen ziehen immer Aasgeier an.,,2021
30605,"Selyse & Sharin, Königin und Prinzessin",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","Die Rote Frau hatte sie für sich eingenommen, ihr Herz und ihre Seele. Sie hatte sie zur Abkehr sowohl von den alten als auch den neuen Göttern der Sieben Königslande bewogen.",,S04
30606,"Axell Florent, Die Hand der Königin",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Wenn Ihr tatsächlich die Hand der Königin seid, muss ich Ihre Gnaden bemitleiden.“ – Jon Schnee",,S04
30608,"Margaery Tyrell, Kleine Rose",,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Das Mädchen ist eine Jungfer von vierzehn Jahren, süß und hübsch und fügsam.“ – Varys",,2021
30609,"Olenna Tyrell, Dornenkönigin",,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Alle Männer sind Narren, das ist wohl wahr, aber die im Narrenkleid sind lustiger als die mit den Kronen.“",,2021
30610,"Eldon Estermont, Ehrwürdiger Ritter",,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","Ein alter Ritter, fast siebzig, er ist der Lord von Grünstein.",,2021
30612,"Cortnay Fünfrosen, Verlässlicher Kastellan",,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Ist es die Gerechtigkeit Eurer Sache, die Ihr anzweifelt, Mylord, oder die Stärke Eures Arms?“",,2021
30613,"Cressen, Maester von Drachenstein",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Auf Drachenstein hatte ich einst einen Maester, der wie ein Vater für mich war.“ – Stannis Baratheon",,2021
30614,"Flickenfratz, Flicken",,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Hier essen wir Fisch. Unter dem Meer frisst der Fisch uns. Ich weiß es, ich weiß es, oh, oh, oh.“",,2021
30701,"Daenerys Targaryen, Khaleesi",,,"„Meine Sonne, meine Sterne hat eine Königin aus mir gemacht, aber wäre er ein anderer Mann gewesen, hätte alles ganz anders kommen können.“",,2021
30702,"Illyrio Mopatis, Magister aus Pentos",,,"„Ihr Westerosi seid doch alle gleich. Ihr näht Euch irgendein Tier auf einen Fetzen Seide, und plötzlich seid Ihr Löwen oder Drachen oder Adler.“",,S04
30703,"Pyat Pree, Hexenmeister von Qarth",,,"„Begleitet mich zum Haus der Unsterblichen, und Ihr werdet Wahrheit und Weisheit trinken.“",,2021-S03
30704,"Barristan Selmy, Berater des Drachen",,,"„Männer können immer kämpfen, Euer Gnaden. Fragt lieber, ob wir gewinnen können.“",,2021
30705,"Xaro Xhoan Daxos, Handelsherr von Qarth",,,„Mir steht der Sinn nicht länger nach Drachen. Ich habe ihr Werk in Astapor gesehen.“,,S04
30707,"Daenerys Targaryen, Die Unverbrannte",,"*Senke die Kosten von 1 Drogon-, Rhaegal- oder Viserion-Einheit in deiner Armee um 1.*","„Ich bin Daenerys Sturmtochter, Prinzessin von Drachenstein, vom Blut und Samen Aegons des Eroberers.“",,2021
30708,"Mirri Maz Duur, Götterweib",,,"„Werft einen Blick auf Euren Khal und
seht, was dem Leben als Wert bleibt,
wenn alles andere verloren ist.“",,S04
30709,"Quaithe, Vom Schatten",,,"„Was wollt Ihr, Quaithe?“
„Euch den Weg zeigen.“ 
– Daenerys und Quaithe",,2021
30710,"Hizdahr Zo Loraq, Vierzehnter dieses edlen Namens",,,"„Eines Tages müssen alle Menschensterben, aber es nutzt nichts, sich über den Tod Gedanken zu machen.“",,S04
30711,"Missandei, Schreiberin",,,"„Missandei ist elf Jahre alt und trotzdem schon klüger
als die Hälfte der Männer an diesem Tisch, und an
Weisheit übertrifft sie alle.“ – Ser Barristan Selmy",,2021
30801,"Rodrik Harlau, Der Leser",,,"„Ich mag Geschichte lieber tot. Tote Geschichte wird in Tinte geschrieben, die lebendige hingegen in Blut.“",,2021
30802,"Aeron Graufreud, Feuchthaar",,,"„Was tot ist, kann niemals sterben, doch erhebt es sich von neuem, härter und stärker.“",,S04
30803,"Balon Graufreud, König von Salz und Stein",,,"„Es hat noch keinen umgebracht, das Knie zu beugen. Wer kniet, kann sich wieder erheben, mit der Klinge in der Hand.“",,2021-S03
30804,"Wendamyr, Maester von Haus Graufreud",,,"„Hat man keine Maester, so heißt das, man hat wenig Bedeutung.“ – Lady Barbra Staublin",,2021-S03
30805,"Erik Eisenmacher, Der Gerechte",,,"„Wenn Alter Weisheit bedeutet, ist niemand so weise wie ich. Wenn Größe Stärke bedeutet, bin ich der Stärkste.“",,2021-S03
30806,"Tristifer Botlin, Lord von Herrenhort",,,"„Süße Augen, in der Tat. Das war das Problem mit dem armen Tristifer; er war zu süß für die Eiseninseln.“ – Asha Graufreud",,S04
30807,"Moqorro, Schwarze Flamme",,,"„Warum sagt Ihr, dass dieser Mann ein Zauberer ist?“ – Victarion Graufreud",,2021-S03
30808,"Ben Schwarzfluth, Blinder Ben",,,„ASHA! ASHA KÖNIGIN!“,,S04
30809,"Asha Graufreud, Möchtegern-Königin",,,"„Eure Wahl ist leicht. Krönt mich, dann folgen Frieden und Sieg. Oder krönt meinen Onkel, dann gibt es noch mehr Krieg und noch mehr Niederlagen.“",,S04
30901,"Doran Martell, Lord von Sonnspeer",,,„Ich bin weder blind noch taub.“,,S04
30902,"Doran Martell, Fürst von Dorne",,,"„Wer hat schon Angst, über das Gras zu laufen?“",,2021-S03
30903,"Ellaria Sand, Mätresse der Viper",,,„Wo endet es?“,,S04
30904,"Oberyn Martell, Die Rote Viper",,,„Oberyn dagegen war schon immer halb verrückt.“ – Tywin Lennister,,2021-S03
30905,"Tyene Sand, Tochter einer Septa",,,„Weiß steht mir gut. Ich sehe darin so … rein aus.“,,2021-S03
30906,"Nymeria Sand, Lady Nym",,,„Nur königliches Blut kann den Mord an meinem Vater sühnen.“,,2021
30907,"Arianne Martell, Erbin von Dorne",,,"„Ich war ein dummes, eigensinniges Mädchen, das das Spiel der Throne wie ein Würfel werfender Betrunkener spielt.“",,2021
30908,"Arys Eichenherz, Gesandter der Krone",,,"„Es gab stets Männer, denen es leichter gefallen ist, ein Gelübde abzulegen, als es einzuhalten.“",,2021
31001,"Walda Frey, Fette Walda",,,"„Ich habe meine kleine fette Gemahlin
seltsam lieb gewonnen.“ – Roose Bolton",,2021
31002,"Jeyne Pool, Arya Stark, Braut von Bolton",,,"„Ich bete darum, Euch eine gute Gemahlin zu sein und Euch starke Söhne zu schenken, die einst Eure Nachfolge antreten.“",,2021
31003,"Roose Bolton, Kalkulierend und grausam",,,"Man brauchte Bolton nur anzusehen, um zu wissen, dass in seinem kleinen Zeh mehr Grausamkeit steckte, als in allen Freys zusammen.",,2021
31004,"Ramsay Schnee, Der Rote Helm",,,"„Macht schmeckt besser, wann man sie mit ein wenig Höflichkeit süßt. Du solltest das lernen, wenn du jemals selbst herrschen willst.“ – Roose Bolton",,2021
31005,"Tybald, Maester von Grauenstein",,,"„Und ist es nicht schlau, dass die Maester nur einen Namen haben, selbst wenn sie bei ihrer Ankunft in der Zitadelle noch zwei trugen?“ – Barbra Staublin",,S04
