Id,Translated Name,,,Requirement,Quote,,Version
20115,"Jaime Lannister, Le Régicide",,,,"« De face, on l’appelait le Lion des Lannister, quitte à l’affubler, dans son dos, du sobriquet de Régicide. »",,2021-S03
20116,"Gregor Clegane, La Montagne",,,,« Aucun autre chevalier du royaume n’inspire autant de terreur à nos ennemis. »,,S04
20117,"Jaime Lannister, Le Jeune Lion",,,,« Il n’y a pas d’êtres de mon espèce. Je suis unique. »,,2021
20118,"Gregor Clegane, Mastodonte Monté",,,,"« Quel noble cadeau ce serait, ma foi, pour tout le royaume que la tête de ce fauve-là... ! » – Brynden Tully",,2021
20120,"Tyrion Lannister, Le Géant Lannister",,,,"« Un géant, je pense, venu se mêler à nous, ici, au bout du monde. » – Mestre Aemon",,2021-S03
20121,"Joffrey Baratheon, Premier du Nom",,,,"« Mon fils. Comment diable ai-je pu engendrer pareil rejeton, Ned ? » – Robert Baratheon",,2021-S02
20123,Exécuteur Sentinelle,,,,,,2021-S03
20124,Boucher Clegane,,,,,,2021-S02
20125,"Le Grand Moineau, Sa Sainteté Suprême",,,,"« Que sommes-nous devenus, pour que rois et grands seigneurs doivent danser au gazouillis de moineaux ? »",,2021
20126,"Qyburn, Connaissances Interdites",,,,"« La Citadelle m’a confisqué mes chaînes, mais elle ne m’a pas ôté mon savoir. »",,2021
20127,"Addam Marpheux, Banneret de Confiance",,,,« Je frotterais volontiers mon acier contre celui du petit Stark. »,,S04
20128,"Ser Robert Fort, Le Géant Silencieux",,,"*Ne peut pas être recruté dans une armée qui comprend Gregor Clegane. Ne peut être recruté que dans une armée qui comprend Qyburn ou Tommen Baratheon, Suivant de la Lignée.*",« Nous ne savons même pas s’il est vivant. » – Kevan Lannister,,2021
20129,"Addam Marpheux, Commandant du Guet",,,,"« Il était comme Jaime, un entraîneur d’hommes. » – Tyrion Lannister",,2021-S02
20130,"Kevan Lannister, Protecteur du Royaume",,,,"Il y en a beaucoup des comme vous, de braves hommes au service de mauvaises causes... » – Varys",,S04
20131,Gardien des Portes,,,,,,2021
20201,"Robb Stark, Le Seigneur Loup",,,,"« Tout homme se devrait de tenir sa parole, et les rois plus que quiconque. »",,2021-S03
20202,"Lard-Jon Omble, Seigneur d'Âtre-Lès-Confins",,,,"« Vent Gris lui a dévoré deux doigts, et ça l’a fait rire ! »",,S04
20203,Champion Omble,,,,,,2021
20204,Capitaine Épée Lige,,,,,,2021
20205,"Lard-Jon Omble, Banneret Intrépide",,,,« Ton père m’a dit un jour n’avoir jamais connu d’homme plus intrépide. »,,2021-S01
20206,"Robb Stark, Le Jeune Loup",,,,"« Avant la trempe, il n’est pas d’épée redoutable. »",,2021
20207,"Bran and Hodor, Protecteur et Pupille",,,,"« Hodor. Hodor Hodor. »
« Tu as raison. Ça a l’air dangereux. »",,2021-S01
20208,"Brynden Tully, Le Silure",,,,"« Mon premier principe de guerre, Cat – ne jamais exaucer les voeux de l’ennemi. »",,2021-S02
20209,"Brynden Tully, Irréductible Chevalier",,,,"« Levez les yeux, et vous verrez que le loup-garou continue de flotter au-dessus de nos murs ! »",,2021
20210,"Eddard Stark, Seigneur de Winterfell",,,,« Connais ceux qui te suivent et fais-toi connaître d’eux. Ne leur demande pas de mourir pour un étranger. »,,2021
20211,"Rodrik Cassel, Maître d'Armes",,,,« Il ne faut jamais jurer de demain. »,,2021
20212,Gardien Paludier,,,,,,2021
20213,"Maege Mormont, L'Ourse",,,,"« Maege est un vieux snark rance, tenace, emporté, buté. »",,2021
20214,"Brynden Tully, Infiltrateur de l'Avant-Garde",,,,« Personne ne connaît mieux les terres du Nord que Brynden. »,,2021-S02
20215,"Brynden Tully, Commandant de la Cavalerie",,,,"« Il est bien joli de faire fondre en soc son épée, mais s’il faut la reforger dès le lendemain... »",,2021
20216,"Meera Reed, Trappeuse Rusée",,,,"« Des pleutres, ces bourbeux, qui n’acceptent pas de se battre comme les gens honnêtes. » – Petit Walder Frey",,2021-S01
20217,"Jojen Reed, Vervoyant",,,,"« À Winterfell, nous engageons la foi de Griseaux. Foyers, récoltes et coeurs, nous vous remettons tout. »",,2021
20218,"Syrio Forel, Première Lame de Braavos",,,"*Ne peut être recruté que dans une armée qui comprend Arya Stark, La Petite Louve.*","« Ma langue a menti. Mais mon bras, mes yeux criaient la vérité. Seulement, tu n’y voyais goutte. »",,2021
20219,"Rickon Stark, Prince de Winterfell",,,,"« On va où il est, Broussaille ? »",,2021
20220,"Osha, Gardienne Piqueuse",,,*Ne peut être recrutée que dans une armée qui comprend Rickon Stark et doit être attachée à son unité (en ignorant les restrictions d’Attachement normales).*,"« Les géants, je les ai vus, les enfants, j’en ai entendu parler, quant aux marcheurs blancs... »",,2021
20222,Vétérane Mormont,,,,,,2021-S02
20223,Survivaliste Paludier,,,,,,2021
20224,Gardien de Winterfell,,,,,,2021
20225,"Howland Reed, Seigneur des Paluds",,,,"« Vous ne les voyez jamais, mais ils vous voient, eux. Ceux qui les poursuivent dans les marais s’égarent et ne reparaissent jamais. »",,2021
20226,Capitaine Loyaliste,,,,,,2021
20227,"Rickard Karstark, Banneret Vengeur",,,,"« Ne t’y méprends pas, Robb, ils sont tes bannerets, pas tes amis. » – Catelyn Stark",,2021
20228,"Rickard Karstark, Seigneur de Karhold",,,,"« En guerre, on tue ses ennemis. Votre père ne vous a pas appris ça, p’tit gars ? »",,2021
20229,"Maege Mormont, Dame de l'ïle-aux-Ours",,,,"« Selon toute probabilité, ma soeur fait partie de l’armée de ton frère, ma soeur et les espèces de filles qu’elle a, vêtues de maille comme des hommes. » – Jeor Mormont à Jon Snow.",,S04
20301,"Tormund Fléau-d'Ogres, Poing-la-Foudre",,,,« Il m’a paru le genre d’homme à faire un excellent ami et un exécrable ennemi. »,,S04
20302,"Tormund Fléau-d'Ogres, Haut-Disert, Cor-Souffleur et Brise-Glace",,,,"« Et maintenant, qu’on serve l’hydromel ! »",,2021-S02
20303,"Mance Rayder, Roi d'Au-Délà du Mur",,,,"« Je suis mon propre champion, mon propre bouffon, mon propre harpiste. »",,S04
20304,Chef de Raid,,,,,,2021
20305,Alpha Troglodyte,,,,,,2021
20306,Matriarche Piqueuse,,,,,,2021
20307,Change-Peau,,,,,,S04
20308,Aigle,,,*Cette figurine n’est utilisée qu’avec la Capacité Lien du Change-peau.*,,,2021
20309,Loup,,,*Cette figurine n’est utilisée qu’avec la Capacité Lien du Change-peau.*,,,2021
20310,Élu de Styr,,,,,,2021-S01
20313,"Styr, Magnar de Thenn",,,,"« Pour les Thenns, le Magnar est plus un dieu vivant qu’un homme. »",,2021
20314,Champion des Os,,,,,,2021
20315,"Clinquefrac, Le Seigneur des Os",,,,"« Clinquefrac pourrait cent fois se laver les mains, il aurait toujours du sang sous les ongles. »",,2021-S03
20316,"Clinquefrac, Massacreur Impitoyable",,,,"« Un homme petit, malveillant et Sournois, aussi borné que cruel. »",,2021
20317,"Harma, Commandante de l'Avant-Garde",,,,"« Je me garderai sa tête pour mon étendard. Un tourne-casaque, c’est plus dégueulasse qu’un chien. »",,2021
20318,"Harma, La Truffe",,,,"« Tous les quinze jours, un nouveau chien, une nouvelle bannière. »",,2021
20319,Porte-Bannière d'Harma,,,*Ne peut être recruté que dans une armée qui comprend Harma. Cette figurine ignore les restrictions d’attachement normales.*,« Elle déteste les chiens presque autant que les corbeaux. »,,2021-S03
20320,"Le Chassieux, Horrible Boucher",,,,"« Arracher les yeux, c’est l’oeuvre du Chassieux. Les meilleurs corbacs sont les corbacs aveugles, aime-t-il répéter. »",,2021-S03
20321,Le Chassieux Tyran Cruel,,,,« Jamais le Chassieux dira les voeux. Il prendra pas le noir. Même les autres razzieurs ont pas confiance en lui. »,,2021-S01
20322,"Ygrid, Archère Piqueuse",,,,"« Et les gens peuvent pas avoir la terre, pas plus qu’ils peuvent avoir le ciel ou la mer. »",,2021
20323,"Jarl, Grand Chef de Raid",,,,« Le Mur se défend lui-même. »,,2021-S02
20324,Chef du Clan du Morse,,,,,,2021-S01
20325,"Le Grand Morse, Trempé à la Glace et la Neige",,,,« Hrmph »,,S04
20326,"Jon Snow, Le Corbac Retourné",,,,"« Les hommes sont des hommes, et les femmes, des femmes, quel que soit le côté du Mur où nous sommes nés. » – Lady Val",,2021
20328,"Borroq, Change-Peau Sanglier",,,,"« Et tu s’ras où, l’corbac ? Caché ici, à Châteaunoir avec ton chien blanc ? »",,2021-S01
20329,"Le Grand Morse, Seigneur de la Grève Glacée",,,,« Un peuple de sauvages. Les hommes sont mauvais et les femmes sont pires. » – Tormund Fléau d’Ogre.,,2021-S02
20401,Capitaine de Fort-Terreur,,,,,,2021
20402,"Ramsay Snow, Le Bâtard de Bolton",,,,"« Snow, m’appelait ma femme avant de se ronger les doigts, mais je dis Bolton. »",,2021
20403,"Ramsay Snow, Le Sadique",,,,"« Lord Bolton, y disait qu’un type à poil ç’a peu d’ secrets, mais qu’sans peau c’en a pus du tout. »",,2021
20404,"Theon Greyjoy, Shlingue",,,"*Ne peut être recruté que dans une armée qui comprend Ramsay Snow et doit être rattaché à l’unité de ce dernier, en ignorant toutes les restrictions normales d’Attachement.*","« Je ne suis pas lui, je ne suis pas le tourne-casaque, il a péri à Winterfell. Mon nom est Schlingue. »",,2021-S01
20406,"Brienne, Pucelle de Torth",,,,"« Un authentique chevalier est tenu par serment de protéger les plus faibles que lui, quitte à périr dans l’entreprise. »",,2021-S02
20407,"Bronn, Épée-Louée",,,,"« Mon épée, je la vends, je ne la donne pas. »",,2021
20408,Écorcheur Bolton,,,,,,2021
20409,"Vashé Hèvre, La Chèvre d'Harrenhal",,,,"« La chèvre est sire d’Harrenhal, et le sire d’Harrenhal ne chipote point. »",,2021-S03
20410,"Vashé Hèvre, L'Estropieur",,,,"« Mais combien lord Tywin en possède-t-il, de monstres ? »",,2021
20411,"Daario Naharis, Capitaine Corbeau Tornade",,,,"« Il a une conscience d’épée-louée, c’est-à-dire aucune. »",,2021
20412,"Daario Naharis, Mercenaire Audacieux",,,,"« Je compte comme non vécu tout jour où je n’ai aimé une femme, tué un adversaire et fait un repas fin. »",,2021
20413,"Jaqen H'ghar, Sans Nom",,,,« Valar Morghulis. »,,2021
20414,Lieutenant Corbeau Tornade,,,,,,2021
20415,"Roose Bolton, Le Seigneur Sangsues",,,,« C’est la peur qui garde l’homme en vie dans ce monde de traîtrise et de cautèle. »,,2021
20416,Quêteur de Fortune,,,,,,2021
20417,Quêteur de Gloire,,,,,,2021-S02
20418,Officier de la Compagnie Dorée,,,,,,2021-S03
20419,Bosco Lysien,,,,,,2021
20420,"Arya Stark, Princesse Fugitive",,,"*Ne peut être recrutée que dans une armée qui comprend Sandor Clegane, Garde du Corps Fugitif*","« Et, cette nuit-là, il y eut un nom de moins à haïr. »",,2021
20421,"Sandor Clegane, Garde du Corps Fugitif",,,,"« Lorsqu’un chien devient agressif, la faute en incombe à son maître » 
– Kevan Lannister",,2021
20422,"Rorge, Le Chien Fou des Salins",,,,"« Te tente, un pif comme moi ? Résiste, et tu l’as. »",,2021
20423,"Mordeur, Chien Fou de Rorge",,,*Ne peut être recruté que dans une armée qui contient Rorge.*,"« Sa langue a été tranchée et il ne parle jamais, si ce n’est pour siffler. »",,2021
20424,"Jokin, Capitaine Corbeau Tornade",,,,"« Les Corbeaux Tornade ne tiennent pas le terrain tout seuls » 
– Prendahl",,2021
20425,"Le Veuf, Capitaine Corbeau Tornade",,,"*Ne peut être recruté que dans
une armée qui contient Jokin, Capitaine Corbeau Tornade.*","« Les Corbeaux Tornade ne tiennent rien du tout. » 
– Daenerys Targaryen",,2021
20426,"Jokin, Capitaine des Archers",,,,"« Cinq cents mercenaires de loyauté pour
le moins douteuse » 
– Jorah Mormont",,2021
20427,"Le Veuf, Commandant en Second",,,"*Ne peut être recruté que dans
une armée qui contient Jokin, Capitaine des Archers*","« J’ai confiance en tous mes hommes. Je leur lâche la bride aussi loin que fusent mes crachats. » 
– Daario Nahariss",,2021
20501,"Jeor Mormont, 997ᴱ Lord Commandant",,,,"« Quand les morts se mettent à chasser, la nuit, le titulaire du Trône de Fer, ça te paraît vital ? »",,2021-S03
20502,"Jon Snow, 998ᴱ Lord Commandant",,,,"« La peur n’a rien de honteux, me disait mon père, seule compte la manière de l’affronter. »",,2021-S02
20503,"Jon Snow, « Lord Snow »",,,,« Les seuls dieux qu’il vénérait réellement étaient l’honneur et le devoir. »,,2021-S02
20504,Capitaine de la Garde de Nuit,,,,,,2021-S02
20505,Recruteur de la Garde,,,,,,2021
20509,"Alliser Thorne, Maître d'Armes",,,,"« Vous crèverez comme des mouches, l’hiver venu. »",,2021-S03
20510,"Alliser Thorne, Intendant Vindicatif",,,,« J’ai vu des cadavres plus spirituels que votre ser Alliser. »,,2021
20511,"Donal Noye, Défenseur de Châteaunoir",,,,"« Un forgeron manchot qu’a zigouillé Mag le Puissant ? Har ! Dû valoir le coup d’oeil, le combat. »",,2021
20512,"Grenn, Auroch",,,,« Grenn l’affreux. » – Pypar,,2021-S03
20513,"Pypar, Singe",,,*Pypar peut être ajouté à une unité qui comprend Grenn en ignorant les limites d’Attachement normales.*,« Moins affreux que toi ! Avec tes oreilles de pipistrelle... » – Grenn,,2021
20514,"Qhorin Mimain, Patrouilleur Vétéran",,,,« N’est-ce pas pour la défense du royaume que nous avons endossé nos manteaux noirs ? »,,S04
20516,"Othell Yarwyck, Guetteur",,,,"« Enfin, prenez qui vous voulez, puisqu’y a que c’est pas moi. »",,2021
20517,Modifications du Scorpion (Othell Yarwyck),,,*Cette carte ne peut être recrutée que dans une armée qui comprend Othell Yarwyck. Attachez-la à une unité de Scorpion et Équipe de Constructeurs alliée. Vous pouvez ignorer l’effet Limité du Scorpion et Équipe de Constructeurs.*,,,2021
20518,Constructeur Chevronné,,,,,,2021
20519,Patrouilleur Endurci,,,,,,2021
20520,Maréchal de la Garde,,,Limité : *Votre armée ne peut pas contenir plus de 2 Maréchaux de la Garde.*,,,2021
20521,Modifications du Scorpion (Constructeur),,,*Cette carte ne peut être recrutée que dans une armée qui comprend au moins 1 Constructeur Chevronné. Attachez-la à une unité de Scorpion et Équipe de Constructeurs alliée.*,,,2021
20522,"Othell Yarwyck, Premier Constructeur",,,,« Peu d’hommes possèdent le savoir du Premier Constructeur. »,,2021-S02
20523,"Benjen Stark, Le Loup sur le Mur",,,,« La Garde de Nuit se compose de frères assermentés. Nous n’avons pas de famille. »,,2021
20524,"Mains-Froides, Guide Énigmatique",,,*Ne peut pas être recruté dans une armée qui contient Benjen Stark.*,« Ils l’ont tué il y a longtemps. »,,2021-S02
20525,"Samwell Tarley, L'Égorgeur",,,,« Je suis allé au-delà du Mur et j’y ai livré des batailles. On me surnomme Sam l’Égorgeur. »,,2021
20526,"Mains-Froides, Ancien Corbeau",,,*Ne peut pas être recruté dans une armée qui contient Benjen Stark.*,"« Viande morte, sang séché, un vague relent de pourri. Et le froid. Par-dessus tout, le froid. »",,2021
20527,"Benjen Stark, Premier Patrouilleur",,,,"« Y a personne, au Mur, qui connaît mieux que Benjen Stark la forêt hantée. »",,2021-S03
20528,"Cotter Pyke, Frère Fer-Né",,,,"« Tu nous salopes le boulot, lord Snow, et moi, je t’arrache le foie et je me le bouffe tout cru avec des oignons. »",,2021
20529,"Yoren, Recruteur Sévère",,,,"« J’en ramène trente, c’coup-ci, des mioches et des adultes. Tout ça pou’l’Mur. »",,2021
20530,"Satin, Aide-de-Camp du Lord Commandant",,,*Satin ignore toutes les restrictions normales d’Attachement.*,"« Quoi que Satin ait pu faire à Villevieille, il est désormais notre frère... » – Jon Snow",,2021-S02
20531,"Satin, Brave Recrue",,,*Satin ignore toutes les restrictions normales d’Attachement.*,"« Une demi-année de Châteaunoir lui avait durci néanmoins les menottes... Mais quant à savoir de quel coeur il affronterait ce qui leur venait dessus, ça… »",,2021
20532,"Eddison Tallett, Edd-la-Douleur",,,,"« Une fois qu’on aura trouvé le moyen d’utiliser les chevaux morts, ça sera notre tour après. Moi le premier, je vois ça d’ici. »",,2021-S03
20533,"Benjen Stark, Au-Delà du Mur",,,,"Ça fait trois ans que je n’ai pas vu Benjen Stark, et, pour parler franc, sans l’ombre d’un regret. » – Craster",,S04
20534,"Cotter Pyke, Commandant de Fort-Levant",,,,« Cotter Pyke a toujours eu plus de tripes que de sens commun. » – Mance Rayder,,2021
20535,"Ser Denys Mallister, Commandant de Tour-Ombreuse",,,,« Ne me faites pas mourir le coeur lourd de regrets. »,,2021-S02
20601,"Renly Baratheon, L'Héritier Charismatique",,,,"« En quoi il ressemblait, comme à tant d’autres égards, à Robert et différait absolument de Stannis. »",,2021
20602,"Stannis Baratheon, L'Héritier Légitime",,,,"« Les rois n’ont pas d’amis, seulement des sujets et des ennemis. »",,2021
20603,Noble Chevalier du Cerf,,,,,,2021-S03
20604,Maître Gardien,,,,,,2021-S01
20605,"Stannis Baratheon, Le Roi Légitime",,,,« Il est l’unique prétendant légitime… et nul ne l’ignore inaccessible à la pitié. » – Varys,,2021
20606,"Devan Mervault, Écuyer du Roi",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Tu as pour père un homme d’une intelligence hors pair, Devan. » – Stannis Baratheon",,2021
20607,"Davos Mervault, Héros de la Néra",,,,"« À l’écouter, je me dis : que n’ai-je davantage de contrebandiers à mon service. Et moins de lords. » – Stannis Baratheon",,2021-S02
20608,"Davos Mervault, Chevalier Oignon",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",« Un contrebandier doit se connaître en hommes. » – Stannis Baratheon,,2021
20609,"Andrew Estremont, Fidèle Loyaliste",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Même après la Néra, sa loyauté envers le Roi Légitime n’a jamais failli. »",,2021
20610,"Andrew Estremont, Premier des Hommes du Roi",,,,« La loyauté des Estremont envers Stannis est indiscutable. »,,2021
20611,"Renly Baratheon, Seigneur Suzerain des Terres de l'Orage",,,,"« En quoi il ressemblait, comme à tant d’autres égards, à Robert et différait absolument de Stannis. »",,2021-S03
20612,"Loras Tyrell, Le Chevalier des Fleurs",,,,"« Je ne trahirai jamais Renly, ni en paroles, ni en actes. »",,2021-S02
20613,"Loras Tyrell, Écuyer du Roi",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Ser Loras est tellement Tyrell qu’il pissede l’eau de rose. » 
– Cersei Lannister",,2021-S02
20614,"Brienne, La Bleue",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",« … alors que Brienne voulait uniquement mourir pour lui. » – Loras Tyrell,,2021
20615,"Eldon Estremont, Seigneur de Vertepierre",,,,« Atteindre un âge aussi avancé demande de la ruse. »,,2021-S02
20617,Prêtresse Rouge,,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,,2021-S01
20618,Capitaine Piquier,,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,,2021
20619,Sentinelle de la Garde des Épines,,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,,2021
20620,Dragonstone Noble,,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*
*Votre armée peut inclure un maximum de 2 Nobles de Peyredragon.*",,,2021
20621,"Axell Florent, Dévot Fanatique",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Une terre, un dieu, un roi ! »",,2021
20622,"Axell Florent, Premier des Hommes de la Reine",,,,« Stannis Baratheon va monter sur le trône de Fer. Je l’ai vu. Et je sais ce qui doit être fait. »,,2021
20623,"Cortnay Penrose, Tacticien Loyal",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",« Puissent les Autres enculer ton Maître de la Lumière ! »,,S04
20624,"Cortnay Penrose, Gouverneur d'Accalmie",,,,« Un obstiné. » – Davos Mervault,,S04
20625,"Stannis Baratheon, Roi au Mur",,,,"« C’est froid, l’or, et c’est lourd à porter sur la tête, mais dans la mesure où je me trouve être le roi, des devoirs m’incombent... »",,2021
20626,"Bryen Farring, Écuyer du Roi",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Les écuyers, ça apporte les capes, les épées et les secrets. »",,2021
20627,"Justin Massey, Serviteur Rusé",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Pour ma part, je préférerais vivre pour connaître un autre printemps. »""",,2021-S03
20628,"Justin Massey, Le Charmeur",,,,« Je ne vous demande pas de comprendre. Uniquement de m’obéir. » – Stannis Baratheon,,2021
20629,"Dale Mervault, Capitaine du Spectre",,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",« Je me suis efforcé de me conduire en père avec mes fils et de les aider à se faire une place en ce monde. » – Davos,,2021-S02
20630,"Renly Baratheon, Roi du Sud",,,,"« Rien d’étonnant, se dit-elle, qu’une telle ferveur s’agglutine autour de sa personne, c’est Robert, Robert ressuscité. » – Pensées de Catelyn Stark",,2021
20631,"Loras Tyrell, Lord Commandant de la Garde Arc-en-Ciel",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*","« Sous toutes ses fleurs et toute sa joaillerie, Ser Loras est aussi soupe au lait que Jaime Lannister. » – Petyr Baelish",,2021
20632,"Bryce Caron, Bryce l'Orangé",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.* /
*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Arc-en-Ciel.*","« Pourquoi boudent-ils votre compagnie, eux qui chérissaient le mieux Renly ? » – Cortnay Penrose",,2021-S03
20633,"Brienne, Garde Arc-en-Ciel",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",« Combattre vaut mieux qu’attendre. On n’éprouve pas pareil dénuement pendant qu’on se bat. »,,S04
20634,"Parment Crane, Parment le Violet",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.* /
*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Arc-en-Ciel.*",Ne le sous-estimez pas. Vous vous fourvoierez si vous ne prêtez attention qu’aux prunes violettes sur son surcot.,,2021
20635,"Emmon Cuy, Emmon Le Jaune",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.* /
*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Arc-en-Ciel.*","« Bas les pattes, vile créature ! »",,2021
20636,"Robar Royce, Robar The Rouge",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.* /
*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Arc-en-Ciel.*","« Force est à un cadet de chercher la gloire où il peut. On finit par se lasser des tournois, quand on est un homme. »",,2021
20637,"Guyard Morrigen, Guyard Le Vert",,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.* /
*Ne peut pas être recruté dans une armée qui comprend l’unité Garde Arc-en-Ciel.*",Son seul souhait était de commander l’avant-garde.,,2021
20701,"Khal Drogo, Le Grand Khal",,,,« Les Dothraki ne suivent que la force. »,,2021-S02
20702,"Jorah Mormont, Tacticien de Westeros",,,,"« Je jure de vous servir, de vous obéir et de mourir, s’il le faut, pour vous. Quoi qu’il advienne. »",,2021
20703,"Jorah Mormont, Chevalier en Exil",,,,« Je recourus à des expédients que je rougirais d’avouer… et je finis par tout y perdre. »,,2021-S03
20704,Ko Hurleur,,,*Ne peut être attaché qu’à des unités Targaryennes.*,,,2021
20705,Ko Cavalier,,,*Ne peut être attaché qu’à des unités Targaryennes.*,,,2021
20706,Officier Immaculé,,,,,,2021-S02
20707,"Barristan Selmy, La Hardi",,,,« Je suis chevalier. Je mourrai chevalier. »,,2021-S02
20708,"Belwas, Gladiateur Aguerri",,,,"« Mauvais combat, belle mort. Belwas le Fort pas aimer quand ils crient. »",,S04
20709,"Jorah Mormont, Traître Repentant",,,"*Ne peut être recruté **que** dans une armée
qui comprend Daenerys Targaryen et
doit être attaché à son unité, en ignorant
les limites normales d’Attachement.*","« Il m’a menti, il informait mes ennemis, mais il m’aimait également, et m’a toujours bien conseillée. »",,2021-S03
20710,"Jorah Mormont, L'Andal",,,,"« Un fauve féroce somnole au fond de chaque homme et, pour peu qu’avant de le jeter dans la guerre vous armiez cet homme-là d’une pique ou d’une épée, sur-le-champ s’agite le fauve. »",,2021-S03
20711,"Belwas, Le Fort",,,,"« Je laisse chacun de mes adversaires me faire une estafilade avant d’en finir. Comptez-les toutes, et vous connaîtrez combien d’hommes a tués Belwas le Fort. »",,2021-S03
