Id,Translated Name,,,Requirement,Quote,,Version
20524,"Kalthand, Mysteriöses Reisegeleit",,,"*Darf nicht in einer Armee aufgestellt werden, die Benjen Stark enthält.*",„Sie haben ihn schon vor langer Zeit getötet.“,,2021-S02
20525,"Samwell Tarly, Sam der Töter",,,,„Ich habe mich auf die andere Seite der Mauer gewagt und mich im Kampf bewährt. Man nennt mich Sam den Töter.“,,2021
20526,"Kalthand, Einstige Krähe",,,"*Darf nicht in einer Armee aufgestellt werden, die Benjen Stark enthält.*","Totes Fleisch, trockenes Blut und ein leichter Hauch von Verwesung. Und nach Kälte. Überall nach Kälte.",,2021
20527,"Benjen Stark, Erster Grenzer",,,,"„Es gibt niemanden auf der Mauer, der den Verfluchten Wald besser kennt als Benjen Stark.“",,2021-S03
20528,"Cotter Peik, Bruder von den Eiseninseln",,,,"„... wenn Ihr das hier verpfuscht, werde ichEuch eigenhändig die Leber herausreißenund sie roh mit Zwiebeln essen.“",,2021
20529,"Yoren, Schroffer Rekrutierer",,,,"„Diesmal habe ich dreißig Männerund Knaben, die für die Mauerbestimmt sind ...“",,2021
20530,"Satin, Verwalter des Kommandaten",,,*Ignoriere die üblichenVerstärkungsbeschränkungen.*,"„Was immer Satin in Altsass getan habenmag, jetzt ist er unser Bruder ...“– Jon Snow",,2021-S02
20531,"Satin, Mutiger Rekrut",,,*Ignoriere die üblichenVerstärkungsbeschränkungen.*,"Nach einem halben Jahr in der Schwarzen Festungjedoch hatten seine Hände Schwielen ...Ob er allerdings den Mut hatte, sich demzu stellen, was auf sie zukam …",,2021
20532,"Eddison Tollett, Schwermütiger Edd",,,,"„Nachdem sie erst einmal herausgefunden haben,wie man ein totes Pferd lenkt, sind wirvermutlich als Nächste an der Reihe.Und ich gehöre bestimmt zu den Ersten.“",,2021-S03
20533,"Benjen Stark, Hinter der Mauer",,,,"„Benjen Stark habe ich seit drei Jahren nicht mehrgesehen. Und um bei der Wahrheit zu bleiben,habe ich ihn auch nicht vermisst.“ – Craster",,S04
20534,"Cotter Peik, Kommandant von Ostwacht",,,,„Cotter Peik hatte immer schon mehrMut als Verstand.“ – Manke Rayder,,2021
20535,"Ser Denys Mallister, Kommandant vom Schattenturm",,,,"„Lasst nicht zu, dass ich das beimeinem Tod bedauern muss.“",,2021-S02
20601,"Renly Baratheon, Der charismatische Erbe",,,,In dieser und auch in vielerlei anderer Hinsicht ähnelte Renly seinem Bruder Robert und unterschied sich gänzlich von Stannis.,,2021
20602,"Stannis Baratheon, Der rechtmäßige Erbe",,,,"„Könige haben keine Freunde, nur Untertanen und Feinde.“",,2021
20603,Adliger Hirschritter,,,,,,2021-S03
20604,Wachhauptmann,,,,,,2021-S01
20605,"Stannis Baratheon, Der einzig wahre König",,,,„Sein Anspruch ist der wahre … und er ist zutiefst gnadenlos.“ – Varys,,2021
20606,"Devan Seewert, Knappe des Königs",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Du hast einen überaus klugen Vater, Devan.“ – Stannis Baratheon",,2021
20607,"Davos Seewert, Der Held vom Schwarzwasser",,,,"„Da kommt in mir der Wunsch auf, mehr Schmuggler in meinen Diensten zu haben. Und weniger Lords.“ – Stannis Baratheon",,2021-S02
20608,"Davos Seewert, Zwiebelritter",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",„Ein Schmuggler muss die Menschen gut einschätzen können.“ – Stannis Baratheon,,2021
20609,"Andru Estermont, Wahrer Loyalist",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",Selbst nach Schwarzwasser ist er dem einzig wahren König treu ergeben.,,2021
20610,"Andru Estermont, Der Erste der Männer des Königs",,,,„Die Loyalität der Estermonts gegenüber Stannis steht außer Frage.“,,2021
20611,"Renly Baratheon, Oberster Lehnsherr der Sturmlande",,,,In dieser und auch in vielerlei anderer Hinsicht ähnelte Renly seinem Bruder Robert und unterschied sich gänzlich von Stannis.,,2021-S03
20612,"Loras Tyrell, Der Ritter der Blumen",,,,"„Aber niemals werde ich Renly verraten, nicht durch Wort oder Tat.“",,2021-S02
20613,"Loras Tyrell, Knappe des Königs",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Ser Loras ist so sehr ein Tyrell, dass er Rosenwasser pisst.“ – Cersei Lennister",,2021-S02
20614,"Brienne, Die Blaue",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",„… Brienne wollte nur für ihn sterben.“ – Loras Tyrell,,2021
20615,"Eldon Estermont, Lord von Grünstein",,,,"Es braucht eine gewisse Gerissenheit, um sein Alter zu erreichen.",,2021-S02
20617,Rote Priesterin,,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",,,2021-S01
20618,Hauptmann der Pikeniere,,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",,,2021
20619,Wache der Dornen-Garde,,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",,,2021
20620,Adliger von Drachenstein,,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten. Deine Armee darf maximal 2 Adlige von Drachenstein enthalten.*",,,2021
20621,"Axell Florent, Fanatischer Anhänger",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Ein Land, ein Gott, ein König!“",,2021
20622,"Axell Florent, Der Erste der Männer der Königin",,,,„Stannis Baratheon wird auf dem Eisernen Thron sitzen. Ich habe es gesehen.“,,2021
20623,"Cortnay Fünfrosen, Loyaler Taktiker",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",„Mögen sich die Anderen mit Eurem Herrn des Lichts vergnügen.“,,S04
20624,"Cortnay Fünfrosen, Kastellan von Sturmkap",,,,„Ein starrköpfiger Mann.“ – Davos Seewert,,S04
20625,"Stannis Baratheon, König der Mauer",,,,"„Gold ist kalt und ruht schwer auf dem Kopf, aber solange ich der König bin, obliegt mir eine Pflicht …“",,2021
20626,"Bryn Farring, Knappe des Königs",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Knappen verwahren Mäntel, Schwerter und Geheimnisse.“",,2021
20627,"Justin Massie, Gerissener Gefolgsmann",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",„Ich persönlich würde lieber noch bis zum nächsten Frühling leben.“,,2021-S03
20628,"Justin Massie, Der Lächler",,,,„Du musst es nicht verstehen. Nur gehorchen.“ – Stannis Baratheon,,2021
20629,"Dael Seewert, Kapitän der Gespenst",,,"Loyalität: **STANNIS BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Ich habe versucht, als Vater für meine Söhne da zu sein, damit sie ihren Platz in dieser Welt finden.“ – Davos Seewert",,2021-S02
20630,"Renly Baratheon, König des Südens",,,,"„Wen wundert es, dass sich die Lords mit solcher Leidenschaft um ihn versammeln; er ist der wiedergeborene Robert.“ – Catelyn Stark",,2021
20631,"Loras Tyrell, Lord Kommandant der Regenbogengarde",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*",„Ser Loras ist unter all seinen Blumen und all seiner Pracht ebenso heißblütig wie Jaime Lennister.“ – Petyr Baelish,,2021
20632,"Bryk Caron, Bryk der Orange",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.* / *Darf nicht in einer Armee aufgestellt werden, die die Einheit Regenbogengarde enthält.*","„Warum sind sie nicht bei Euch, jene, die Renly am meisten liebten?“ – Ser Cortnay Fünfrosen",,2021-S03
20633,"Brienne, Regenbogengarde",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.*","„Man fühlt sich nicht so hilflos, wenn man kämpft.“",,S04
20634,"Parmen Kranich, Parmen der Purpurne",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.* / *Darf nicht in einer Armee aufgestellt werden, die die Einheit Regenbogengarde enthält.*","Unterschätzt nicht seine Zähheit, nur weilPurpurpflaumen auf seinem Mantel prangen.",,2021
20635,"Emmon Cuy, Emmon der Gelbe",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.* / *Darf nicht in einer Armee aufgestellt werden, die die Einheit Regenbogengarde enthält.*","„Fort von ihm, abscheuliches Geschöpf!“",,2021
20636,"Robar Rois, Robar der Rote",,,"Loyalität: **RENLY BARATHEON**
*Deine Armee darf nie Einheiten oder Verstärkungen mit anderen Loyalitäten enthalten.* / *Darf nicht in einer Armee aufgestellt werden, die die Einheit Regenbogengarde enthält.*","„Der zweitgeborene Sohn muss die Ehre suchen, wo er sie finden kann. Eines Tages ist man die Turniere leid.“",,2021
