Original Name,Translated Name,Translated Description,Version
Boldness and Courage,Audace et Bravoure,"Chaque fois que cette unité attaque, si elle possède tous ses rangs, elle gagne +1 dé d’Attaque. Sinon, elle est considérée comme possédant +1 rang pour ses dés d’Attaque.",2021
Bolt Thrower,Baliste,"• **Cruel**
• Mesurez la Portée et la Ligne de Vue depuis n’importe quelle partie du plateau de cette unité.
• Peut subir -3 pour Toucher afin d’ignorer la Ligne de Vue et de gagner **Portée Illimitée**.
• Les défenseurs ne lancent pas de dés de Défense.
• Pour chaque Touche non bloquée, les unités de Cavalerie, Monstrueuses et les Machines de Guerre subissent 2 Blessures.",2021
Bonded Bear,Ours Lié,"• Cette unité possède 1 Blessure et ne peut pas faire gagner de Points de Victoire.
• Si cette unité est détruite, son Change-peau ne peut plus la choisir.
• Si cette unité a été choisie, lorsque son Change-peau lié est activé, déployez-la engagée de Front ou de Flanc avec 1 ennemi engagé avec ce Change-peau. Elle effectue ensuite 1 action d’Attaque de Mêlée. Retirez cette unité à la fin du round",2021
Bonded Boar,Sanglier Lié,"• Cette unité possède 3 Blessures et ne peut pas octroyer de Points de Victoire.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.
• Au début du round, si cette unité n’est pas située à Longue Portée ou moins de l’unité de Borroq, elle est détruite.
• Cette unité n’est pas activée normalement. Elle est activée immédiatement après l’unité de Borroq.",2021
Bonded Eagle,Aigle Lié,"Chaque fois que cette unité est choisie, ciblez 1 ennemi. Attachez-lui cette carte jusqu’à la fin du round. Pour l’indiquer, placez la figurine à côté du plateau de l’unité. Cette figurine n’est affectée par aucun autre effet de jeu.",2021
Bonded Skinchanger,Lien du Change-Peau,"Au début de chaque round, choisissez Aigle, Loup ou Ours. Les effets de ces unités sont détaillés sur leurs cartes respectives.",2021
Bonded Wolf,Loup Lié,"Chaque fois que cette unité est choisie, ciblez 1 ennemi situé à Longue Portée ou moins de son unité de Change-peau. Attachez-lui cette carte jusqu’à la fin du
round. Pour l’indiquer, placez la figurine à côté du plateau de l’unité. Cette figurine n’est affectée par aucun autre effet de jeu.",2021
Bookkeeping (Cortnay Penrose),Comptabilité ,"Tant que Cortnay Penrose se trouve sur le champ de bataille, votre limite de cartes Tactique est augmentée de 1. Vous commencez la partie avec 4 cartes et pouvez piocher jusqu’à avoir 4 cartes quand vous refaites votre main.",2021
Bookkeeping (Samwell Tarly),Comptabilité ,"Tant que Samwell Tarly se trouve sur le champ de bataille, votre limite de cartes Tactique est augmentée de 1. Vous commencez la partie avec 4 cartes et pouvez piocher jusqu’à avoir 4 cartes quand vous refaites votre main.",2021
Bran’s Protector,Protecteur de Bran,"Après que l’unité de Bran a été attaquée, cette unité peut effectuer une action d’Attaque ou de Charge qui cible l’attaquant.",2021
Bravery in the Face of Death,Courage Face à la Mort,"Eddard commence la partie avec 4 pions Ordre sur sa carte.
Chaque fois qu’une unité alliée effectue un Test de Panique, après avoir lancé les dés, vous pouvez retirer 1 pion Ordre d’Eddard. Si vous le faites, cette unité peut relancer n’importe quels dés de ce test.
Chaque fois qu’une unité alliée réussit un Test de Panique, vous pouvez retirer 1 pion Ordre d’Eddard. Si vous le faites, cette unité se soigne de 2 Blessures, +1 pour chacun de ses rangs détruits.",2021
Brutal Armaments,Armes Brutales,"• **Cruel**
• Le défenseur subit +1 Blessure pour chacun de ses rangs détruits lorsqu’il échoue le Test de Panique causé par cette attaque.",2021
Brutal Sadism,Sadisme Brutal,"Avant de lancer les dés d’Attaque, choisissez 1 :
• Cette attaque gagne **Frappe Critique**.
• Cette attaque gagne **Fracasser**.
• Le défenseur devient **Paniqué**.
Après avoir résolu cette attaque, si elle n’a pas détruit au moins un rang ennemi, l’attaquant subit 2 Blessures.",2021
Bulwark Formation,Formation en Rempart,"Si cette unité n’a effectué aucune action pendant ce round, elle obtient +2 à ses lancers de dés de Défense.",2021
Castellan’s Duty,Devoir du Gouverneur,"Cortnay commence le jeu avec 3 pions Ordre sur sa carte.
Chaque fois qu’une UNC ennemie est activée, vous pouvez retirer 1 pion Ordre de Cortnay. Si vous le faites, choisissez 2 zones. Si cette UNC s’empare de l’une ou l’autre de ces zones ce tour-ci, avant de résoudre leur effet, ciblez n’importe quel nombre d’Unités Combattantes alliées. Soignez un total de D3+2 Blessures reparti entre ces unités.",2021
Cavalry,Cavalerie,"• Chaque figurine de cette unité possède 3 Blessures. 
• Au début de son activation, cette unité peut effectuer 1 action de Manœuvre.",2021
Champion’s Wrath,Colère du Champion,"• **Frappe Critique**
• Les ennemis Chargés avec succès par cette unité deviennent **Affaiblis**.
• Si cette unité a commencé le tour engagée avec le défenseur, avant de lancer les dés de Défense, le défenseur devient **Vulnérable**.",2021-S01
Chariot,Char,"• Cette unité possède has 6 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manœuvre.",2021
Chieftain's Fury,Fureur du Chef,"• **Cruel** 
• Les défenseurs ne lancent pas de dés de Défense.
• Quand Mag est détruit, avant d’être retiré, il effectue 1 attaque Fureur du Chef.",2021
Choosing a Name,Choisir un Nom,"Chaque fois que Jaqen est activé, il peut, jusqu’à la fin du round, remplacer sa Capacité d’Influence par celle de n’importe quelle UNC alliée ou ennemie. ",2021
Claims to The Kingdom,Prétentions au Royaume,"Chaque fois que cette unité est ciblée par une Capacité ou une carte Tactique, vous êtes considéré comme contrôlant [CROWN] et [LETTER] pour ses effets.",2021
Claw & Blade,Griffes et Lames,• **Cruel**,2021
Cleaving Blows,Équarrissage,"• Quand elle Charge, cette unité gagne **Frappe Critique**.
• Les défenseurs ne lancent pas de dés de Défense.",2021
Commander's Vassal,Vassal du Général,Cette figurine compte ayant le nom de votre Général pour tous les effets et Capacités.,2021-S02
Conflicting Reactions,Attitudes Conflictuelles,"**Influence** *(Quand cette unité s’empare d’une zone du Tableau Stratégique, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une Unité d’Infanterie alliée :
• Si votre adversaire ou vous contrôlez [CROWN], les Attaques de Mêlées de cette unité gagnent **Cruel**.
• Si votre adversaire ou vous contrôlez [SWORDS], les Attaques de Mêlées de cette unité gagnent **Frappe Critique**.
• Si votre adversaire ou vous contrôlez [OASIS], cette unité gagne +1 [MOVEMENT].",2021
Conviction of a True Khaleesi,Conviction d'une Véritable Khaleesi,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Chaque fois que Daenerys Influence une unité, retirez 1 pion État de celle-ci.
Tant que cette carte Influence une unité, les Attaques de Mêlée de celle-ci peuvent relancer n’importe quels dés d’Attaque.",2021
Coordinated Assault,Assaut Coordonné,"Lors d’une Charge, inflige +1 Touche pour chaque rang restant dans cette unité.",2021
Counterstrike,Riposte,"Chaque fois que cette unité est attaquée en Mêlée, l’attaquant subit 1 Touche pour chacun de ses Échecs.",2021
Counts and Measures,Compter et Mesurer,"Chaque fois que Bowen s’empare d’une zone, vous pouvez regarder les 2 premières cartes de votre paquet Tactique. Prenez 1 de ces cartes en main et placez l’autre au bas de votre paquet Tactique.",2021
Crossbow,Arbalète,"• **Fracasser**
• Peut relancer les dés d’Attaque quand elle attaque des ennemis situés à Courte Portée ou moins.",2021
Dauntless,Audacieux,"Chaque fois que cette unité réussit un Test de Moral, elle soigne 1 de ses Blessures.",2021
Davos' Vassal,Vassal de Davos,Cette figurine compte comme Davos Mervault quand cette unité est ciblée par des cartes Tactique.,2021-S02
Deadly Bloom,Floraison Mortelle,"Chaque fois que cette unité soigne ses Blessures, ciblez 1 ennemi engagé avec elle. Il subit 1 Blessure.",2021
Deadly Impact,Impact Mortel,"Lorsqu’elle Charge, cette unité gagne **Fracasser**, **Cruel** et inflige +1 Touche pour chaque rang restant du défenseur.",2021
Deceitful Envoy,Emissaire Trompeur,"Tybald commence la partie avec 2 pions Ordre sur sa carte.
Chaque fois qu’une UNC ennemie est activée, vous pouvez retirer 1 pion Ordre de Tybald. Si vous le faites, ciblez 1 zone.
Si cette UNC s’empare de cette zone, après en avoir résolu l’effet, 1 Unité Combattante ennemie devient **Vulnérable**.
Si cette UNC ne s’empare pas de cette zone ce tour-ci, à la fin du tour, Tybald s’empare de cette zone.",2021
Dervish Blades,Lames de Derviche,"• **Précision**
• **Frappe Critique** si le défenseur n’a pas été activé ce round-ci.",2021
Direwolf,Loup-Garou,"• Cette figurine possède 4 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.",2021
Disorganized,Désorganisé,Cette unité subit +2 Blessures lorsqu’elle échoue un test de Panique.,2021
Disrupt,Déstabilisation,Les ennemis engagés avec cette unité subissent −1 pour Toucher.,2021
Disrupt Communication,Distraire les Messagers,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une unité ennemie, votre adversaire ne peut pas la cibler avec les effets d’une zone Stratégique ou des capacités d’Influence.",2021
Distract,Diversion,"Pendant votre tour, les ennemis engagés de Flanc ou de Dos avec cette unité perdent toutes leurs Capacités et ne peuvent pas être ciblés par des cartes Tactiques alliées.",2021
Divide The Spoils,Partager le Butin,"Après avoir résolu une attaque, une unité alliée qui possède Pillage et située à Longue Portée ou moins gagne 1 pion Pillage par rang ennemi détruit lors de l’Attaque.",2021
Divine Sacrifices,Sacrifices Divins,"Chaque fois que cette unité attaque, avant de lancer les dés d’Attaque, elle peut subir 1 Blessure et 1 Test de Panique. Si elle le fait, le défenseur devient **Paniqué** et **Vulnérable**.",2021-S01
Dominance Of The Crown,Dominance de la Couronne,"Si vous contrôlez [CROWN] quand cette unité effectue une Attaque de Mêlée, cette attaque gagne +1 pour Toucher et **Fracasser**.",2021
Domineering Pride,Fierté Dominatrice,"Tant que cette unité est engagée avec un ennemi qui possède moins de rangs restants, cette unité réussit automatiquement tous Tests de Panique.",2021
Dornish Conviction,Conviction Dornienne,"Tant que vous contrôlez [CROWN], cette unité lance sa valeur de dés d’Attaque la plus élevée.",2021
Dornish Vengeance,Vengeance Dornienne,"Après qu’un ennemi a résolu une Attaque de Mêlée sur cette unité, si vous contrôlez [SWORDS], l’attaquant subit 2 Blessures, +1 pour chaque rang détruit de cette unité.",2021
Double Hammers,Doubles Marteaux,• **Fracasser**,2021
Dracarys!,Dracarys !,"Chaque fois que Daenerys s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*1 unité **Drogon**, **Rhaegal** ou **Viserion** alliée effectue 1 action d’Attaque.*",2021
Drowned God’s Fanatics,Fanatiques du Dieu Noyé,"• Cette unité possède 4 Blessures.
• Cette unité ne peut pas subir plus de 1 Blessure quand elle échoue un Test de Panique.
• Cette unité ne subit que 1 Blessure par tranche de 2 Touches non bloquées, peu importe l’attaque ou l’effet.",2021
Dutiful Commander,Commandant Dévoué,"Si cette unité est de la Garde de Nuit, après le déploiement, cherchez 1 carte **Tempéré par le Devoir** dans votre paquet Tactique et attachez-la à cette unité. Mélangez votre paquet Tactique.",2021
Duty To The Realms Of Men,Devoir Envers les Royaumes Humains,"Chaque fois que Jeor s’empare d’une zone, vous pouvez cibler 2 unités de la Garde de Nuit à Longue Portée ou moins l’une de l’autre. Déplacez 1 carte Tactique alliée attachée de l’une de ces unités à l’autre.
Une fois par partie, quand Jeor s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*Dans votre défausse Tactique, cherchez 1 carte pouvant être attachée à une unité et attachez-la à une unité de la Garde de Nuit alliée.*",2021
Duty to The Crown,Devoir Envers la Couronne,"Chaque fois que cette unité réussit un Test de Moral, elle soigne 1 de ses Blessures. Si vous contrôlez [CROWN], elle se soigne de 1 Blessure supplémentaire.",2021
Elderly Caution,Sagesse de L’Âge,"Chaque fois qu’Eldon s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*Piochez 3 cartes Tactique, puis mélangez 1 carte de votre main dans votre paquet Tactique.*",2021
Elusive Escape,Évasion Insaisissable,Cette unité peut relancer n’importe quels dés de Distance de Repli. Les ennemis dont cette unité se désengage ne peuvent pas pivoter et deviennent **Affaiblis**. ,2021
Embolden,Enhardir,Les unités alliées situées à Courte Portée ou moins gagnent +1 à leurs lancers de Tests de Moral.,2021
Enhanced Mobility,Mobilité Améliorée,Cette unité gagne +1 [MOVEMENT] et peut pivoter avant d’effectuer une Marche.,2021
Executioner's Fury,Fureur du Bourreau,"• **Fracasser**
• Quand ils échouent un Test de Panique causé par cette attaque, les ennemis subissent +1 Blessure pour chaque rang détruit de cette unité.",2021-S01
Experiment Enhancements,Améliorations Expérimentales,Les Attaques de Mêlée de cette unité gagnent +1 pour Toucher et **Cruel**. Les adversaires ne peuvent pas dépenser de pion **Affaibli** de cette unité quand elle attaque.,2021
Expert Duelist,Duelliste Chevronné,"Chaque fois que cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque, choisissez 1 option :
• Cette attaque inflige +1 Blessure.
• Ciblez 1 Attachement d’Infanterie dans l’unité du défenseur et lancez un dé. Sur un résultat de 5+, détruisez cet Attachement.",2021-S02
Expert Maintenance,Maintenance Experte,"Donal commence la partie avec 2 pions Ordre sur sa carte.
Chaque fois qu’une unité effectue une attaque, après avoir lancé les dés d’Attaque, vous pouvez retirer 1 pion Ordre de cette carte. Si vous le faites, choisissez 1 option :
• L’attaquant peut relancer n’importe quels dés d’Attaque et les adversaires ne peuvent pas dépenser ses pions **Affaibli**.
• Le défenseur gagne +1 à ses lancers de dés de Défense et les adversaires ne peuvent pas dépenser ses pions **Vulnérable**.",2021
Eye Of The Crow,Œil de la Corneille,"• Cette unité possède 4 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre ou de Repli.
• Si cette unité est détruite, au début du round suivant, vous pouvez la redéployer entièrement à Courte Portée ou moins
de n’importe quel flanc de table.",2021
"Family, Duty, Honor","Famille, Devoir, Honneur","**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Chaque fois que Catelyn Influence une unité, cette dernière retire 1 de ses pions États.
Tant qu'elle est Influencée par cette carte, l'unité attaque toujours en utilisant sa valeur de dés la plus élevée.",2021
Fanatical Zeal,Zèle Fanatique,"Cette unité commence la partie avec 1 **pion Foi**. Chaque fois qu’elle réussit un Test de Moral, elle gagne 1 pion Foi. Chaque fois que cette unité effcetue une Attaque de Mêlée, avant de lancer les dés d’attaque, elle peut dépenser 1 pion Foi. Si elle le fait, son attaque gagne **Précision** et peut relancer n’importe quels dés d’Attaque.",2021
Fealty to The Seven,Allégeance aux Sept,"Tant que cette carte Influence un ennemi, chaque fois que celui-ci subit des Blessures en ayant échoué un Test de Panique, ciblez 1 unité alliée située à Longue Portée ou moins. Elle se soigne du même nombre de Blessures, maximum 3.",2021
Fearless Avarice,Cupidité Intrépide,"Tant que vous contrôlez [MONEY], cette unité subit -1 Blessure lorsqu’elle échoue un Test de Panique.",2021
Fervent Conviction,Conviction Fervente,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une unité, celle-ci gagne +1 à ses lancers de Test de Moral et, chaque fois qu’elle réussit un Test de Moral, 1 ennemi engagé avec elle subit 1 Blessure.",2021
Fighter's Armaments,Arment d'Arènaire,• **Précision**,2021
Fire Arrows,Flèches Enflammées,"• **Cruel**
• Si le défenseur échoue son test de Panique, ciblez 1 autre ennemi situé à Courte Portée ou moins du défenseur. Il subit 1 Test de Panique avec −2 au lancer.",2021
First of The King's Men,Premier des Hommes du Roi,Vous êtes considéré comme contrôlant les zones [CROWN] et [LETTER] en ce qui concerne les cartes Tactiques qui ciblent cette unité.,2021
Flail,Fléau,• **Précision**,2021
Frenzied Swings,Assaut Frénétique,"• **Fracasser**
• Gagne +1 pour Toucher pour chaque rang détruit de cette unité.",2021-S02
Frey Ambition,L'Ambition de Frey,"Chaque fois que Walda s’empare de [CROWN], 1 unité Combattante
ennemie devient **Affaiblie**.
Chaque fois que Walda s’empare de [LETTER] , vous pouvez remplacer
l’effet de cette zone par :
*Cherchez 1 carte Tactique de **Général** dans votre paquet Tactique ou votre défausse et ajoutez-la à votre main. Mélangez votre paquet Tactique.*
Chaque fois que Walda s’empare de [MONEY], vous pouvez soigner +1 Blessure au lieu de retirer un pion État.",2021
Fueled By Slaughter,Soif de Massacre,"Après que cette unité a résolu une Attaque de Mêlée, si le défenseur a subi des Blessures, cette unité soigne 1 de ses Blessures, +1 supplémentaire pour chaque rang détruit du défenseur.  ",2021
Furious Charge,Charge Furieuse,Les ennemis Chargés avec succès par cette unité deviennent **Vulnérables**.,2021
Furious Swing,Balayage Enragé,"• **Cruel**
• Les Touches de cette attaque ne peuvent pas être bloquées. Si cette attaque génère une ou plusieurs Touches, au lieu de lancer les Dés de Défense, le défenseur subit D3 Blessures, +1 par Blessure subie par cette unité.",2021-S01
Fury of the Thenns,La Fureur des Thenns,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une unité alliée, les Attaques de Mêlée de celle-ci gagnent +1 dé d’Attaque et **Fracasser**.",2021
Gallows Humor,Pince-sans-Rire,"Tant que cette unité a perdu au moins 1 rang, elle ne peut jamais être ciblée par des cartes Tactiques et des Ordres ennemis, ou influencée par UNC ennemie. Tant qu’elle possède seulement 1 rang restant, ses Attaques de Mêlée gagnent +1 pour Toucher.",2021
Gang-Up,Attaque en Bande,Toutes les Attaques de Mêlée des unités alliées gagnent +1 pour Toucher et +1 dé d’Attaque contre les ennemis engagés avec cette unité et au moins une autre unité alliée.,2021
Giant,Géant,"• Cette unité possède 6 Blessures.
• Cette unité ne subit que 1 Blessure par tranche de 2 Touches non bloquées, quel que soit l’attaque ou l’effet.
• Cette unité ne peut pas subir plus de 2 Blessures quand elle échoue un Test de Panique.",2021
"Gifts of Iron, Gold, and Steel","Cadeaux de Fer, d'Or et d'Acier","Au début de la partie, placez 2 pions Pillage sur Erik.
Quand une UNC ennemie s’empare de [MONEY], placez 1 pion Pillage sur Erik.
Quand Erik s’empare d’une zone, vous pouvez retirer 1 pion Pillage de sa carte et le placer sur 1 unité alliée disposant de la capacité Pillage.",2021
Gifts of Silver and Bronze,Cadeaux d'Argent et de Bronze,"Au début de la partie, ciblez 1 unité alliée qui possède Pillage. Elle gagne 1 pion Pillage.",2021
Go Down Fighting,Tomber au Combat,"Chaque fois qu’un rang de cette unité est détruit, 1 ennemi engagé avec elle subit 1 Blessure.",2021
Golden Fire,Feu Doré,"• **Cruel**
• Les Touches de cette attaque ne peuvent pas être bloquées. Si cette attaque génère des Touches, au lieu de lancer les dés de Défense, le défenseur subit D3+3 Blessures et 1 ennemi situé à Courte Portée ou moins du défenseur devient **Vulnérable**.",2021-S01
Gore and Feed,Festin Macabre,"• **Fracasser**
• Une fois cette attaque résolue, si le défenseur a subi des Blessures, cette unité soigne 1 de ses Blessures.",2021
Great Axe,Grande Hache,• **Fracasser**,2021
Great Hammer,Grand Marteau,"• **Frappe Critique** 
• Si le défenseur obtient un résultat de 1 sur n'importe quels dés de Défense, il devient **Affaibli** après la résolution de cette attaque.",2021
Greatsword,Espadon,• **Fracasser**,2021
Halberd,Hallebarde,• **Fracasser**,2021
Halfhand's Guidance,Conseils de Mimain,"**Influence** *(Quand cette unité s’empare d’une zone du Tableau Stratégique, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* : 
Tant que cette carte influence une unité de Cavalerie ou d’Infanterie alliée, celle-ci gagne +1 [MOVEMENT] et lance +1 dé d’Attaque. ",2021
