Id,Deck,Name,Text,Version
40122,Der Hohe Spatz,Zorn des Kriegers,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:** 

Jene Einheit legt 1 Moralprobe ab. 

Bei Bestehen erhält dieser Angriff +1 auf den Trefferwurf und **Spaltschlag**. 

Bei einem Fehlschlag fügt dieser Angriff +1 Treffer zu.",2021
40123,Joffrey Baratheon,Ihr werdet mir gehorchen!,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**

Dieser Angriff erhält +2 Angriffswürfel und **Spaltschlag**.
Falls durch diesen Angriff nicht mindestens 1 Schlachtreihe des Verteidigers vernichtet wird, wird der Angreifer **Panisch** und **Verwundbar**.",2021-S03
40124,Joffrey Baratheon,Verräter! Ich werde sie enthaupten lassen!,"**Zu Beginn eines befreundeten Zuges:**

Bestimme 1 feindliche Kampfeinheit zum Ziel und lege diese Karte an sie an. 
Solange diese Karte an dieser Einheit anliegt, erhalten Nahkampfangriffe gegen diese Einheit **Grausam**.
Falls diese Einheit nicht vernichtet worden ist, wird diese Karte am Ende der Runde abgelegt und jede Einheit, die diese Einheit in dieser Runde angegriffen hat, wird **Panisch** und **Verwundbar**.",2021-S03
40125,Joffrey Baratheon,Ich bin der König!,"**Sobald ein Feind einen Nahkampfangriff durchführt, nachdem die Verteidigungswürfel geworfen worden sind:**

Bestimme den Verteidiger zum Ziel. Er wehrt +2 Treffer ab. Nachdem dieser Angriff abgeschlossen worden ist, wird der Verteidiger **Panisch** und **Geschwächt**.",2021
40126,"Addam Marbrand, Kommandant der Stadtwache",Charismatische Führung,"**Sobald eine befreundete Einheit zum Ziel eines feindlichen Befehls, einer feindlichen zivilen Einheit oder Taktikzone bestimmt wird, bevor jener Effekt abgehandelt wird:**

Jene Einheit legt 1 Moralprobe ab. Bei Bestehen hebe den Effekt jenes feindlichen Befehls, jener feindlichen zivilen Einheit oder Taktikzone auf.

Falls sie innerhalb **Kurzer Reichweite** zu Addam Marbrands Einheit ist, erhält diese Einheit +2 auf das Ergebnis von Moralproben.",2021
40127,"Addam Marbrand, Kommandant der Stadtwache",Peitschenhieb,"**Nachdem ein Feind einen Nahkampfangriff abgeschlossen hat:**

Falls der Verteidiger nicht vernichtet wurde, erleidet der Angreifer 2 **Wunden** für jede vernichtete Schlachtreihe des Verteidigers. Falls der Verteidiger Addam Marbrands Einheit ist, wird der Angreifer zudem **Panisch**.",2021
40128,"Addam Marbrand, Kommandant der Stadtwache",Heroisches Vorbild,"**Nachdem Addam Marbrands Einheit eine Moralprobe bestanden hat:**

Alle anderen befreundeten Einheiten innerhalb **Langer Reichweite** heilen 1 **Wunde**, +1 **Wunde** für jede vernichtete Schlachtreihe in Addams Einheit. Dann heilt Addams Einheit 2 **Wunden**. /
**Zu Beginn eines beliebigen Zuges:**

Ziehe 1 Taktikkarte.",2021
40129,"Kevan Lennister, Beschützer des Reiches",Vorhersehbare Manöver,"**Zu Beginn eines feindlichen Zuges:**

Bestimme 1 feindliche Kampfeinheit und 1 feindliche zivile Einheit zum Ziel.

Falls eine der beiden Einheiten in diesem Zug eine Aktion durchführt, bevor sie jene Aktion abhandelt, führt 1 befreundete Kampfeinheit 1 Angriffs-, Manöver- oder Rückzugsaktion durch.",2021
40130,"Kevan Lennister, Beschützer des Reiches",Schwächen erkennen,"**Nachdem eine feindliche Kampfeinheit eine Aktion abgeschlossen hat:**

Jener Feind wird **Verwundbar** und **Panisch**.

Lege diese Karte bis zum Ende der Runde an jenen Feind an. Solange diese Karte an diesem Feind anliegt, solange Kevan Lennisters Einheit ihn angreift, verliert er alle Fähigkeiten und kann nicht zum Ziel von befreundeten Taktikkarten bestimmt werden.",2021
40131,"Kevan Lennister, Beschützer des Reiches",Wohlstand des Steins,"**Sobald ein Feind einen Angriff durchführt, nachdem die Angriffswürfel geworfen worden sind:**

Bestimme den Verteidiger zum Ziel.
Falls du [CROWN] kontrollierst, erhält der Verteidiger +2 auf das Ergebnis seiner Panikprobe.
Falls du [MONEY] kontrollierst, erhält der Verteidiger +1 auf das Ergebnis von Verteidigungswürfen.
Falls diese Karte Kevan Lennisters Einheit zum Ziel hat, zählst du, als würdest du beide Zonen kontrollieren.",2021
40201,Stark Basisdeck,Macht des Winters,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**

Dieser Angriff erhält **Spaltschlag**.
Falls diese Einheit nur noch eine verbleibende Schlachtreihe hat, dürfen beliebig viele Angriffswürfel neu geworfen werden. 
Falls du [SWORDS] kontrollierst, wird bei diesem Angriff der höchste Angriffswürfelwert verwendet.",2021-S01
40202,Stark Basisdeck,Wildheit des Nordens,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**
 
Dieser Angriff erhält **Grausam**. 
Falls diese Einheit nur noch eine verbleibende Schlachtreihe hat und der Verteidiger an seiner Panikprobe scheitert, erleidet er +2 **Wunden**. 
Falls du [SWORDS] kontrollierst, wird der Verteidiger **Panisch**.",2021-S01
40203,Stark Basisdeck,Vernichtender Zusammenstoß,"**Sobald eine befreundete Einheit eine Ansturmaktion durchführt, nachdem die Würfel für die Bewegungsweite des Ansturms geworfen worden sind:**

Feinde, gegen die diese Einheit einen erfolgreichen Ansturm durchgeführt hat, werden **Panisch** und **Verwundbar**.
Falls du [HORSE] kontrollierst, darf diese Einheit alle Würfel für die Bewegungsweite des Ansturms neu werfen.",2021-S03
40204,Stark Basisdeck,Der Norden vergisst nicht,"**Zu Beginn eines beliebigen Zuges:**

Bestimme 1 befreundete Kampfeinheit zum Ziel und lege diese Karte bis zum Ende der Partie an sie an. Sobald eine befreundete Infanterie- oder Kavallerie-Einheit vernichtet wird, lege 1 Befehlsmarker auf diese Karte. 
Solange auf dieser Karte ein Befehlsmarker liegt, verwendet die angelegte Einheit immer ihren höchsten Angriffswürfelwert und erhält, solange du [SWORDS] kontrollierst, +1 auf den Trefferwurf.",2021-S03
40205,Stark Basisdeck,Der Winter naht,"**Sobald eine befreundete Einheit eine Ansturmaktion durchführt, bevor die Würfel für die Bewegungsweite des Ansturms geworfen werden:**

Wähle 1 der folgenden Effekte. Falls du [HORSE] kontrollierst, wähle stattdessen 2 Effekte:
• Feinde, gegen die diese Einheit einen erfolgreichen Ansturm durchgeführt hat, können in diesem Zug nicht zum Ziel von befreundeten Befehlen oder Taktikkarten bestimmt werden.
• Der Angreifer verwendet seinen höchsten Angriffswürfelwert.",2021-S03
40206,Stark Basisdeck,Rasche Neuaufstellung,"**Zu Beginn eines beliebigen Zuges:**

Bestimme 1 befreundete Kampfeinheit zum Ziel. Sie wird um 2 Zoll verschoben.

Falls du [HORSE] kontrollierst, führt jene Einheit stattdessen eine Manöveraktion durch, bei der sie sich 3 Zoll bewegen darf.",2021
40207,Stark Basisdeck,Angriffsbefehle,"**Sobald eine befreundete zivile Einheit eine Zone auf der Taktiktafel beansprucht:**

Ersetze den Effekt jener Zone durch: 

*1 befreundete Kampfeinheit führt 1 Nahkampfangriffsaktion durch.*
*Falls jene zivile Einheit die [SWORDS]-Zone beansprucht hat, darf jene Kampfeinheit stattdessen 1 Ansturmaktion durchführen.*",2021
40208,Robb Stark,Plötzlicher Rückzug,"**Nachdem ein Feind einen Nahkampfangriff abgeschlossen hat:**

Bestimme den Verteidiger zum Ziel. 
Er führt 1 Rückzugsaktion durch.

Falls diese Karte Robb Starks Einheit zum Ziel hat, darf sie alle Würfe für die Bewegungsweite des Rückzugs neu werfen.",2021
40209,Robb Stark,Überlegene Position,"**Sobald ein Feind eine Ansturmaktion durchführt, bevor jene Aktion abgehandelt wird:**

Falls jener Feind auf die Front einer Einheit einen Ansturm durchführt, erleidet er bei einem Wurf auf die Bewegungsweite des Ansturms von 3 oder weniger einen ungeordneten Ansturm. Falls er einen ungeordneten Ansturm erleidet, wird er **Verwundbar**.",2021
40210,Robb Stark,Überfalltaktik,"**Nachdem eine befreundete Einheit einen Nahkampfangriff abgeschlossen hat:**

Diese Einheit führt 1 Rückzugsaktion durch. 
Falls diese Karte Robb Starks Einheit zum Ziel hat, wird jeder Feind, aus dessen Nahkampf sie sich löst, **Geschwächt**.",2021-S03
40211,Großjon Umber,Berserkertaktik,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, nachdem die Angriffswürfel geworfen worden sind:**

Falls diese Karte eine Haus-Umber-Einheit zum Ziel hat, wird der Verteidiger **Panisch**.

Diese Einheit darf bis zu 3 **Wunden** erleiden. Falls sie mindestens 1 **Wunde** erlitten hat, fügt dieser Angriff 1 **Wunde** zu, +1 zusätzliche **Wunde** für jede erlittene **Wunde** zu.",2021-S01
40212,Großjon Umber,Peitschenhieb,"**Nachdem ein Feind einen Nahkampfangriff abgeschlossen hat:**

Falls der Verteidiger nicht vernichtet wurde, erleidet der Angreifer 2 **Wunden** für jede vernichtete Schlachtreihe des Verteidigers. Falls der Verteidiger eine Haus-Umber-Einheit ist, wird der Angreifer zudem **Panisch**.",2021
40213,Großjon Umber,Letztes Gefecht,"**Sobald eine befreundete Einheit vernichtet wird:**

Bevor jene Einheit entfernt wird, darf sie 1 Nahkampfangriffsaktion durchführen und dabei ihren höchsten Angriffswürfelwert verwenden. Falls diese Karte eine Haus-Umber-Einheit zum Ziel hat, darf sie beliebig viele Angriffswürfel neu werfen.",2021
40214,Brynden Tully,Speerwall,"**Sobald auf eine befreundete Einheit ein erfolgreicher Ansturm durchgeführt wird, bevor der Angreifer seinen Nahkampfangriff durchführt:**

Falls jene befreundete Einheit nicht mit einem anderen Feind im Nahkampf ist und der Ansturm auf die Front oder in die Flanke durchgeführt worden ist, führt sie 1 Nahkampfangriffsaktion auf den Angreifer durch, bevor der Angreifer seinen Nahkampfangriff abhandelt.",2021
40215,Brynden Tully,Niemals aufgeben,"**Nachdem eine befreundete Einheit eine Panikprobe bestanden hat:**

Alle Feinde, die mit jener Einheit im Nahkampf sind, werden **Verwundbar**. Lege diese Karte an jene Einheit an, bis sie an einer Panikprobe scheitert.

Solange diese Karte an dieser Einheit anliegt, immer wenn diese Einheit eine Panikprobe besteht, werden alle Einheiten, die mit jener Einheit im Nahkampf sind, **Verwundbar**. Falls diese Karte an einer Haus-Tully-Einheit anliegt, erhält sie +1 auf das Ergebnis von Panikproben.",2021
40216,Brynden Tully,Schlachtruf,"**Sobald eine befreundete Kampfeinheit aktiviert wird:**

Jene Einheit legt 1 Moralprobe ab.
Bei Bestehen bestimme 1 Feind innerhalb **Langer Reichweite** zum Ziel. Er wird **Panisch** oder **Verwundbar**.
Falls sie Brynden Tullys Einheit ist, wird er bei Bestehen stattdessen **Panisch** und **Verwundbar**.",2021-S03
40217,Eddard Stark,Starrsinn der Nordmänner,"**Sobald eine befreundete Einheit eine Panikprobe ablegt, nachdem die Würfel geworfen worden sind:**

Jene Einheit darf beliebig viele Würfel für diese Probe neu werfen. Falls sie innerhalb **Kurzer Reichweite** zu Eddard Stark ist, besteht sie diese Probe stattdessen.

Falls diese Karte Eddard Starks Einheit zum Ziel hat, bestimme 1 Feind zum Ziel, der mit ihr im Nahkampf ist. Er erleidet 1 **Wunde**, +1 **Wunde** für jede vernichtete Schlachtreihe dieser Einheit.",2021
40218,Eddard Stark,Mit gutem Beispiel voran,"**Nachdem Eddard Starks Einheit einen Angriff abgeschlossen hat:**

Lege diese Karte bis zum Ende der Runde an 1 andere befreundete Einheit innerhalb **Langer Reichweite** an. 

Solange diese Karte an dieser Einheit anliegt, erhält diese Einheit +2 auf das Ergebnis von Moralproben und ihre Nahkampfangriffe erhalten +1 auf den Trefferwurf. /
**Zu Beginn eines befreundeten Zuges:**

Ziehe 1 Taktikkarte.",2021
40219,Eddard Stark,Rache für die Gefallenen,"**Nachdem ein Feind einen Nahkampfangriff abgeschlossen hat:**

Bestimme Eddard Starks Einheit zum Ziel. 

Sie führt 1 Angriffs- oder Ansturmaktion durch. Falls der Verteidiger vernichtet wurde, darf Eddard Starks Einheit beliebig viele Angriffswürfel oder Würfel für die Bewegungsweite des Ansturms neu werfen. /
**Zu Beginn eines befreundeten Zuges:**

Ziehe 1 Taktikkarte.",2021
40220,Rodrik Cassel,Kampfgeschick,"**Sobald ein Feind zum Ziel einer Fähigkeit oder Taktikkarte bestimmt wird:**

Du darfst 1 Zustandsmarker von jenem Feind ausgeben. Falls du das tust, hebe den Effekt jener Fähigkeit oder Taktikkarte auf. /
**Zu Beginn eines befreundeten Zuges:**

Bestimme 1 befreundete Kampfeinheit, die im Nahkampf ist, zum Ziel. Lege 1 Zustandsmarker von jener Einheit ab.",2021
40221,Rodrik Cassel,Militärische Überlegenheit,"**Sobald ein Feind einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**

Der Angreifer erleidet 1 Treffer für jeden Fehlschlag. 
Falls der Verteidiger Rodrik Cassels Einheit ist, erleidet dieser Angriff –1 auf den Trefferwurf.",2021-S03
40222,Rodrik Cassel,Vorteil nutzen,"**Sobald eine befreundete Einheit einen Angriff durchführt, bevor die Angriffswürfel geworfen werden:**

Wähle 1 der folgenden Effekte. Für jeden Zustandsmarker auf dem Verteidiger wähle +1:
• Dieser Angriff verwendet seinen höchsten Angriffswürfelwert.
• Dieser Angriff erhält +1 auf den Trefferwurf.
• Der Verteidiger verliert bis zum Ende des Zuges alle Fähigkeiten und kann nicht zum Ziel von befreundeten Taktikkarten bestimmt werden.",2021-S03
40223,Holand Reet,Fallen der Pfahlbaumänner,"**Sobald eine feindliche Einheit aktiviert wird:**

Falls jener Feind innerhalb **Langer Reichweite** zu einer Pfahlbaumänner-Einheit ist, erleidet er –1 [MOVEMENT] in diesem Zug.
Falls jener Feind eine Manöver-, Marsch- oder Rückzugsaktion deklariert, wird sie so behandelt, als würde er sich durch Gefährliches Gelände bewegen.",2021-S03
40224,Holand Reet,Sumpfteufelüberfall,"**Sobald eine feindliche Einheit aktiviert wird:**

Wähle 1:

• Falls jener Feind innerhalb **Langer Reichweite** zu einer befreundeten Pfahlbaumänner-Einheit ist, wird jener Feind **Geschwächt**.

• Bestimme 1 befreundete, nicht aktivierte Pfahlbaumänner-Einheit innerhalb **Langer Reichweite** zum Ziel. Sie führt 1 Fernkampfangriffsaktion auf jenen Feind durch.",2021
40225,Holand Reet,Die unsichtbare Bedrohung,"**Zu Beginn eines beliebigen Zuges:**

Bestimme 1 feindliche Kampfeinheit zum Ziel.
Falls eine befreundete Kampfeinheit, die nicht im Nahkampf ist, innerhalb **Langer Reichweite** zu ihr ist, wird jener Feind **Panisch** und muss dann 1 Panikprobe ablegen.",2021-S03
40226,Brynden Tully,Berittener Angriff,"**Sobald eine befreundete Kavallerie-Einheit während ihrer Aktivierung ihre Aktion auswählt, bevor jene Aktion abgehandelt wird:**

Als ihre Aktion darf sich jene Einheit drehen und dann 1 Marschaktion durchführen, auch wenn sie im Nahkampf ist. Sie darf sich bei diesem Marsch durch Feinde hindurchbewegen. Feinde, aus deren Nahkampf sie sich löst, dürfen sich nicht drehen.

Nachdem dieser Marsch abgeschlossen worden ist, erleidet 1 Feind, durch den sie sich hindurchbewegt hat, 1 **Wunde**, +1 **Wunde** für jede verbleibende Schlachtreihe jenes Feindes.",2021
40227,Brynden Tully,Reitet sie nieder!,"**Sobald ein Feind eine Manöver-, Marsch- oder Rückzugsaktion beendet:**

Bestimme 1 befreundete Kavallerie-Einheit innerhalb **Langer Reichweite** zum Ziel, die eine Ansturmaktion gegen jenen Einheit durchführen kann.

Sie führt 1 Ansturmaktion gegen jenen Feind durch. Falls sie einen erfolgreichen Ansturm gegen jenen Feind durchführt, führt sie keinen Nahkampfangriff durch, sondern jener Feind wird stattdessen **Panisch** und erleidet 2 Treffer für jede verbleibende Schlachtreihe dieser Einheit.",2021
40228,Brynden Tully,Aufstellen,"**Sobald eine befreundete Kavallerie-Einheit, die nicht im Nahkampf ist, aktiviert wird:**

Ein Mal in diesem Zug, falls jene Einheit eine Manöveraktion durchführen würde, darf sie stattdessen 3 **Wunden** heilen und 1 Zustandsmarker ablegen.",2021
40229,"Rickard Karstark, Lord von Karholt",Spott,"**Sobald eine feindliche Kampfeinheit aktiviert wird:**

Bestimme 1 befreundete Einheit innerhalb **Langer Reichweite** zum Ziel.
Falls jener Feind in diesem Zug einen Angriff oder einen Ansturm auf die zum Ziel bestimmte Einheit durchführen kann und in diesem Zug eine beliebige andere Aktion als einen Angriff oder Ansturm auf die zum Ziel bestimmte Einheit deklariert, wird jener Feind, bevor jene Aktion durchgeführt wird, **Verwundbar** und **Geschwächt**.",2021-S03
40230,"Rickard Karstark, Lord von Karholt",Durst nach Rache,"**Zu Beginn einer beliebigen Runde:**

Bestimme 1 befreundete Kampfeinheit zum Ziel. Jene Einheit führt 1 Angriffsaktion durch.

Falls diese Karte eine Haus-Karstark-Einheit zum Ziel hat, erhält sie +1 auf den Trefferwurf.

Nachdem jener Angriff abgeschlossen worden ist, darf dein Gegner 1 zivile Einheit aktivieren.",2021
40231,"Rickard Karstark, Lord von Karholt",Vergeltung der Karstarks,"**Sobald eine feindliche Einheit einen Angriff durchführt, bevor die Angriffswürfel geworfen werden:**

Falls dieser Angriff eine Haus-Karstark-Einheit zum Ziel hat, lege diese Karte bis zum Ende der Partie an jenen Feind an. Falls nicht, lege diese Karte bis zum Ende der Runde an jenen Feind an.

Solange diese Karte an dieser Einheit anliegt, immer wenn diese Einheit einen Angriff abschließt, wird sie **Verwundbar**. Immer wenn eine Schlachtreihe in dieser Einheit vernichtet wird, heilt 1 Einheit, mit der diese Einheit im Nahkampf ist, 2 **Wunden**.",2021
40232,"Maegen Mormont, Lady der Bäreninsel",Hier stehen wir!,"**Zu Beginn eines befreundeten Zuges:**

Lege diese Karte bis zum Ende der Partie an eine befreundete Einheit an.
Solange diese Karte an dieser Einheit anliegt, sobald diese Einheit vernichtet werden würde, darfst du diese Karte ablegen. 
Falls du das tust, wird diese Einheit nicht vernichtet, sondern verbleibt stattdessen mit 1 geheilten **Wunde** im Spiel.",2021-S03
40233,"Maegen Mormont, Lady der Bäreninsel",Unterstützung von der Bäreninsel,"**Zu Beginn eines befreundeten Zuges:**

Bestimme 1 befreundete Kampfeinheit zum Ziel. Sie erleidet bis zu 3 **Wunden**.

Heile 1+ ebenso viele **Wunden** von 1 anderen befreundeten Einheit innerhalb **Langer Reichweite**.

Falls diese Karte eine Haus-Mormont-Einheit zum Ziel hat, bestimme zudem 1 Feind, der mit jener befreundeten Einheit im Nahkampf ist, zum Ziel. Er wird **Geschwächt**.",2021
40234,"Maegen Mormont, Lady der Bäreninsel",Ausdauernder Angriff,"**Sobald eine befreundete Einheit einen Nahkampfangriff durchführt, bevor die Angriffswürfel geworfen werden:**

Falls diese Einheit den Zug im Nahkampf mit dem Verteidiger begonnen hat, verwendet sie ihren höchsten Angriffswürfelwert.
Falls diese Karte Maegen Mormonts Einheit zum Ziel hat, darf sie beliebig viele Angriffswürfel neu werfen.",2021-S03
