Faction,Deck,Unit,Name,Text,Id,Remove,Version
Lannister,"Tyrion Lannister, Halfman",20105,Cunning Ploy,"**When a friendly Combat
Unit Activates:**

This unit cannot perform Actions this 
Turn. Instead, target 1 other friendly 
Combat Unit. It performs 1 Maneuver, 
March, or Retreat Action.

If either unit is Tyrion's unit, before 
performing this Action, 1 enemy in 
Long Range of Tyrion's unit becomes 
**Vulnerable**.",40118,,2021-S03
Lannister,"Tyrion Lannister, Halfman",20105,"Intercept
Orders","**When an opponent targets a
unit with a Tactics Zone:**

Roll a die. On a 3+, your opponent 
must target a different unit with that 
zone's effect *(if able)*.

If you Control [LETTER], you may 
re-roll this die.

If the newly targeted unit is in 
Long Range of Tyrion's unit, it 
gains a Condition token.",40119,,2021-S03
Lannister,"The High Sparrow, His High Holiness",20125,"Mercy of
The Mother","**When a friendly Combat Unit Activates:**

Remove 1 Condition token from that unit.

They perform 1 Morale Test.

On a success, restore 2 Wounds to that unit, +1 Wound for each of its destroyed ranks. 

On a failure, restore 1 Wound to that unit.",40120,,S05
Lannister,"The High Sparrow, His High Holiness",20125,"Protection of
The Father","**When an enemy is performing a Melee Attack, after rolling Defense Dice:**

The Defender performs 1 Morale Test. 

On a success, they block +3 Hits. 

On a failure, they block +1 Hit.",40121,,S05
Lannister,"The High Sparrow, His High Holiness",20125,"Wrath of
The Warrior","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

That unit performs 1 Morale Test.
On a success, this Attack gains
+1 to Hit and **Sundering**. On a
failure, this Attack deals +1 Hit.",40122,,2021
Lannister,"Joffrey Baratheon, First of his Name",20121,"You Will
Obey Me!","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

This Attack gains +2 Attack 
Dice and **Sundering**.

If this Attack did not destroy at 
least 1 of the Defender's ranks, 
the Attacker becomes 
**Panicked** and **Vulnerable**.",40123,,2021-S03
Lannister,"Joffrey Baratheon, First of his Name",20121,"Traitors!
I Will Have
Their Heads!","**Start of a friendly Turn:**

Target 1 enemy Combat Unit 
and attach this card to them.

While attached, Melee Attacks 
against this unit gain **Vicious**.

At the end of the Round, if this unit 
has not been destroyed, remove this 
card from them, and each unit that 
attacked them this Round becomes 
**Panicked** and **Vulnerable**.",40124,,2021-S03
Lannister,"Joffrey Baratheon, First of his Name",20121,I Am The King!,"**When an enemy is performing
a Melee Attack, after
Defense Dice are rolled:**

Target the Defender. They block
+2 Hits. After this Attack has been
completed, the Defender becomes
**Panicked** and **Weakened**.",40125,,2021
Lannister,"Addam Marbrand, Commander of the City Watch",20129,"Charismatic
Leadership","**When a friendly unit is targeted
by an Enemy Order, NCU, or Tactics
Zone, before resolving that effect:**

That unit performs 1 Morale Test.
On a success, cancel the effect of
that Order, NCU, or Tactics Zone.

If they are in Short Range
of Addam Marbrand's unit,
gain +2 to their Morale Test roll.",40126,,2021
Lannister,"Addam Marbrand, Commander of the City Watch",20129,Lash Out,"**After an enemy completes
a Melee Attack:**

If the Defender was not destroyed,
the Attacker suffers 2 Wounds
for each of the Defender's
destroyed ranks. If the Defender
is Addam Marbrand's unit, the
Attacker also becomes **Panicked**.",40127,,2021
Lannister,"Addam Marbrand, Commander of the City Watch",20129,"Valiant
Example","**After Addam Marbrand's
unit passes a Morale Test:**

All other friendly units in Long Range
restore 1 Wound, +1 Wound for
each destroyed rank in Addam's unit.

Then, restore 2 Wounds
to Addam's unit. /
**Start of any Turn:**

Draw 1 Tactics card.",40128,,2021
Lannister,"Kevan Lannister, Protector of the Realm",20130,"Predictable
Maneuvers","**Start of the first Enemy 
Turn in a Round:**

Target 1 enemy Combat Unit and 1 enemy NCU.
If either unit performs an Action this Turn, before they resolve that Action, 1 friendly Combat Unit performs 1 Attack, Maneuver, or Retreat Action.",40129,,S04
Lannister,"Kevan Lannister, Protector of the Realm",20130,"Seeing Their
Flaws","**After an enemy Combat Unit
completes an Action:**

That enemy becomes
**Vulnerable** and **Panicked**.

Attach this card to that
enemy until the end of the
Round. While attached, while
Kevan Lannister's unit is Attacking
that enemy, that enemy loses all
Abilities and cannot be targeted
by friendly Tactics cards.",40130,,2021
Lannister,"Kevan Lannister, Protector of the Realm",20130,"Wealth
of the Rock","**When an enemy is performing
an Attack, after rolling Attack Dice:**

Target the Defender.

If you Control [CROWN], the Defender
gains +2 to their Panic Test roll.

If you Control [MONEY], the Defender
gains +1 to Defense Dice rolls.

If this targets Kevan Lannister's unit,
you count as Controlling both zones.",40131,,2021
Stark,Stark Basic Deck,,"Winter's
Might","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

This Attack gains **Sundering**.

If this unit has only 1 remaining rank,
it may re-roll any Attack Dice.

If you Control [SWORDS], this Attack rolls
its highest Attack Die Value.",40201,,2021-S01
Stark,Stark Basic Deck,,"Northern
Ferocity","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

This Attack gains **Vicious**.

If this unit has only 1 remaining
rank, and the Defender fails
their Panic Test, they suffer
+2 Wounds. If you Control [SWORDS],
the Defender becomes **Panicked**.",40202,,2021-S01
Stark,Stark Basic Deck,,"Devastating
Impact","**When a friendly unit is performing 
a Charge Action, after rolling Charge 
Distance Dice:**

Enemies Successfully
Charged by this unit become
**Panicked** and **Vulnerable**.

If you Control [HORSE], this unit may
re-roll any Charge Distance Dice.",40203,,2021-S03
Stark,Stark Basic Deck,,"The North
Remembers","**Start of any Turn:**

Target 1 friendly Combat Unit and 
attach this card to them until the end 
of the game. When a friendly Infantry 
or Cavalry unit is destroyed, place 1 
Order token on this card.

While this card has a token, the 
attached unit always Attacks using 
its highest Attack Die Value and, 
while you Control [SWORDS], 
gains +1 to Hit.",40204,,2021-S03
Stark,Stark Basic Deck,,"Winter
Is Coming","**When a friendly unit 
Successfully Charges:**

Choose 1. If you Control [HORSE], 
gain both:

• Enemies Successfully Charged by 
this unit cannot be the target 
of friendly Orders or Tactics 
cards this Turn.

• The Attacker Attacks using its 
highest Attack Die Value.",40205,,2021-S03
Stark,Stark Basic Deck,,"Swift
Reposition","**Start of any Turn:**

Target 1 friendly
Combat Unit. It shifts 2"".

If you Control [HORSE],
that unit performs a 3""
Maneuver Action instead.",40206,,2021
Stark,Stark Basic Deck,,"Assault
Orders","**When a friendly NCU Claims a zone:**

Replace that zone's effect with:

<i>1 friendly Combat Unit performs 1 Melee Attack Action using its lowest Attack Die Value.</i>

<i>If that NCU Claimed [SWORDS], that Combat Unit may perform 1 Charge Action using its lowest Attack Die Value instead.</i>",40207,,S06
Stark,"Robb Stark, The Wolf Lord",20201,"Sudden
Retreat","**After an enemy completes
a Melee Attack:**

Target the Defender.
They perform 1 Retreat Action.

If this targets Robb Stark's
unit, it may re-roll any
Retreat Distance Dice.",40208,,2021
Stark,"Robb Stark, The Wolf Lord",20201,"Superior
Positioning","**When an enemy performs a Charge Action, before resolving that Action:**

If that enemy Charges a unit in the Front, they suffer a Disorderly Charge on Charge Distance rolls of 3 or less. If they suffer a Disorderly Charge, they become <b>Vulnerable</b>.

If the defender is Robb Stark’s unit, they suffer a Disorderly Charge on Charge Distance rolls of 5 or less instead.",40209,,S05
Stark,"Robb Stark, The Wolf Lord",20201,Hit and Run,"**After a friendly unit completes
a Melee Attack:**

That unit performs 1 Retreat Action.

If this targets Robb's unit, any 
enemy it disengages from 
becomes **Weakened**.",40210,,2021-S03
Stark,"Greatjon Umber, Lord of Last Hearth",20202,"Berserker
Tactics","**When a friendly unit is performing a Melee Attack, before rolling Attack Dice:**

Choose 1. This unit may suffer up to 3 wounds, for each wound suffered, choose +1: 

• <b>Critical Blow </b>
• <b>Sundering </b>
• This Attack rolls its highest Attack Die Value. 
• This Attack may re-roll any Attack Dice.",40211,,S06
Stark,"Greatjon Umber, Lord of Last Hearth",20202,Lash Out,"**After an enemy completes
a Melee Attack:**

If the Defender was not destroyed,
the Attacker suffers 2 Wounds
for each of the Defender's
destroyed ranks. If the Defender
is a House Umber unit, the
Attacker also becomes **Panicked**.",40212,,2021
Stark,"Greatjon Umber, Lord of Last Hearth",20202,Last Stand,"**When a friendly unit is destroyed:**

Before removing that unit,
it performs 1 Melee Attack Action
using its highest Attack Die Value.
If this targets a House Umber unit,
it may re-roll any Attack Dice.",40213,,2021
Stark,"Brynden Tully, The Blackfish",20208,"Set for
Charge","**When a friendly unit is Successfully
Charged, before the Attacker
performs their Melee Attack:**

If that friendly unit is not engaged
with another enemy, and was
Charged from the Front or Flank,
it performs 1 Melee Attack Action
on the Attacker before the Attacker
resolves their Melee Attack.",40214,,2021
Stark,"Brynden Tully, The Blackfish",20208,"Refuse
to Yield","**After a friendly unit
passes a Panic Test:**

All enemies engaged with that unit
become **Vulnerable**. Attach this card
to that unit until it fails a Panic Test.

While Attached, each time
this unit passes a Panic Test, all
enemies engaged with that unit
become **Vulnerable**. If this card
is attached to a House Tully unit,
it gains +1 to Panic Test rolls.",40215,,2021
Stark,"Brynden Tully, The Blackfish",20208,War Cry,"**When a friendly Combat Unit Activates:**

That unit performs 1 Morale Test.

On a success, target 1 enemy in Long Range. It becomes <b>Panicked</b> or <b>Vulnerable</b>.

If this is a House Tully unit, on a success, it becomes <b>Panicked</b> and <b>Vulnerable</b> instead.",40216,,S05
Stark,"Eddard Stark, Lord of Winterfell",20210,"Northern
Defiance","**When a friendly unit is performing
a Panic Test, after dice are rolled:**

That unit may re-roll any dice
for this test. If they are in
Short Range of Eddard Stark,
they pass this test instead.

If this targets Eddard Stark's
unit, target 1 enemy they are
engaged with. They suffer 1
Wound, +1 Wound for each
of this unit's destroyed ranks.",40217,,2021
Stark,"Eddard Stark, Lord of Winterfell",20210,"Lead by
Example","**After Eddard Stark's unit
completes an Attack:**

Attach this card to 1 other
friendly unit in Long Range
until the end of the Round.

While attached, this unit gains
+2 to Morale Test rolls and its
Melee Attacks gain +1 to Hit. /
**Start of a friendly Turn:**

Draw 1 Tactics card.",40218,,2021
Stark,"Eddard Stark, Lord of Winterfell",20210,"Fury for
The Fallen","**After an enemy completes
a Melee Attack:**

Target Eddard Stark's unit.
It performs 1 Attack or Charge
Action. If the Defender was
destroyed, Eddard's unit
may re-roll any Attack and
Charge Distance Dice. /
**Start of a friendly Turn:**

Draw 1 Tactics card.",40219,,2021
Stark,"Rodrik Cassel, Master-at-Arms",20211,"Combat
Prowess","**When an enemy is targeted
by an Ability or Tactics card:**

You may expend 1 Condition
token from that enemy. If you
do, cancel the effect of that
Ability or Tactics card. /
**Start of a friendly Turn:**

Target 1 engaged friendly Combat
Unit. Remove 1 Condition
token from that unit.",40220,,2021
Stark,"Rodrik Cassel, Master-at-Arms",20211,"Martial
Superiority","**When an enemy is performing
a Melee Attack, before
rolling Attack Dice:**

The Attacker suffers 
1 Hit for each Miss.

If the Defender is Rodrik's unit, 
this Attack also suffers -1 to Hit.",40221,,2021-S03
Stark,"Rodrik Cassel, Master-at-Arms",20211,"Press The
Advantage","**When a friendly unit is
performing a Melee Attack, before
rolling Attack Dice:**

Choose 1. For each Condition token 
on the Defender, choose +1:

•This Attack rolls its highest 
Attack Die Value.

•This Attack gains +1 to Hit.

•The Defender loses all Abilities 
and cannot be the target of 
friendly Tactics cards until 
the end of the Turn.",40222,,2021-S03
Stark,"Howland Reed, Lord of the Crannogs",20225,"Crannog
Traps","**When an enemy performs a Maneuver, March, or Retreat Action, before resolving that Action:**

It suffers -1[MOVEMENT] this Turn.
If that enemy is in Long Range of a friendly Crannogman unit, it is treated as moving through Dangerous terrain this Turn.",40223,,S05
Stark,"Howland Reed, Lord of the Crannogs",20225,"Bog Devil
Ambush","**When an enemy unit Activates:**

Choose 1:

• If that enemy is in Long Range
of a friendly Crannogman unit,
that enemy becomes **Weakened**.

• Target 1 friendly unactivated
Crannogman unit in Long Range.
It performs 1 Ranged Attack
Action on that enemy.",40224,,2021
Stark,"Howland Reed, Lord of the Crannogs",20225,"The Threat
Unseen","**Start of any Turn:**

Target 1 enemy Combat Unit.

If there is an unengaged friendly 
Crannogman unit in Long Range of 
it, that enemy becomes **Panicked**, 
then suffers 1 Panic Test.",40225,,2021-S03
Stark,"Brynden Tully, Outrider Commander",20215,"Ride-by
Attack","**When a friendly Cavalry unit selects
its Action during its Activation,
before resolving that Action:**

As its Action, that unit may pivot
then perform 1 March Action, even
if engaged. It may move through
enemies during this March. Enemies
it disengages from may not pivot.

After completing this March,
1 enemy it moved through suffers
1 Wound, +1 Wound for each of
that enemy's remaining ranks.",40226,,2021
Stark,"Brynden Tully, Outrider Commander",20215,"Ride Them
Down!","**When an enemy ends a Maneuver,
March, or Retreat Action:**

Target 1 friendly Cavalry Unit in Long
Range that can Charge that enemy.

It performs 1 Charge Action on
that enemy. If it Successfully Charges
that enemy, instead of performing
a Melee Attack, that enemy
becomes **Panicked** and suffers 2 Hits
for each remaining rank in this unit.",40227,,2021
Stark,"Brynden Tully, Outrider Commander",20215,Marshal,"**When an unengaged friendly
Cavalry Unit Activates:**

Once this Turn, if that unit would
perform a Maneuver Action,
instead of performing that Action,
it may restore 3 Wounds and
remove 1 Condition token.",40228,,2021
Stark,"Rickard Karstark, Lord of Karhold",20228,Taunt,"**When an enemy
Combat Unit Activates:**

Target 1 friendly unit in Long Range.

If that enemy could Attack or Charge 
the targeted unit, and declares any 
Action other than an Attack or Charge 
on the targeted unit this Turn, before 
performing that Action, that enemy 
becomes **Vulnerable** and **Weakened**.",40229,,2021-S03
Stark,"Rickard Karstark, Lord of Karhold",20228,"A Need for
Vengeance","**Start of any Round:**

Target 1 friendly Combat Unit.
That unit performs 1 Attack Action.

If this targets a House Karstark
unit, it gains +1 to Hit.

After completing that Attack,
your opponent may Activate 1 NCU.",40230,,2021
Stark,"Rickard Karstark, Lord of Karhold",20228,"Karstark
Retribution","**When an enemy unit
is performing an Attack,
before rolling Attack Dice:**

If this Attack targeted a House
Karstark unit, attach this card to that
enemy until the end of the game.
Otherwise, attach this card to that
enemy until the end of the Round.

While attached, each time this unit
completes an Attack, they become
**Vulnerable**. Each time a rank in this
unit is destroyed, 1 unit engaged
with it restores 2 Wounds.",40231,,2021
Stark,"Maege Mormont, Lady of Bear Island",20229,"Here We
Stand!","**Start of a friendly Turn:**

Attach this card to a friendly Combat 
Unit until the end of the game.

While attached, when this unit 
would be destroyed, you may 
discard this card. If you do, this 
unit is not destroyed, but instead 
remains in play with 1 Wound.",40232,,2021-S03
Stark,"Maege Mormont, Lady of Bear Island",20229,"Support of
Bear Island","**Start of a friendly Turn:**

Target 1 friendly Combat Unit.
It suffers up to 3 Wounds.

Restore 1+ that many Wounds to
1 other friendly unit in Long Range.

If this targeted a House Mormont
unit, also target 1 enemy
engaged with that friendly unit.
They become **Weakened**.",40233,,2021
Stark,"Maege Mormont, Lady of Bear Island",20229,"Sustained
Assault","**When a friendly unit is performing a Melee Attack, before rolling Attack Dice:**

If this unit began the Turn engaged with the Defender, it rolls its highest Attack Die Value and may re-roll any Attack Dice. 

If this targets a House Mormont unit, the Defender also becomes <b>Vulnerable</b>.",40234,,S06
Free Folk,Free Folk Basic Deck,,"Regroup
and Reform","**Start of a friendly Turn:**

Target 2 friendly Infantry units in Long Range of each other. Remove up to 4 models from 1 of these units. Restore that many Wounds to the other.

You may then move 1 Attachment from 1 of these units to the other <i>(replacing 1 model as usual, and keeping usual Attachment restrictions)</i>, or switch 2 friendly Attachments in those units.",40301,,S05
Free Folk,Free Folk Basic Deck,,"Coordination
Tactics","**Start of any Turn:**

Target 2 friendly Infantry units
in Short Range of each other.

Until the end of the Turn,
both units gain any non-Innate
Abilities on the other unit.

You may immediately trigger
1 unused ""Start of Turn"" Order
on either of those units.",40302,,2021-S02
Free Folk,Free Folk Basic Deck,,"There's Too
Many!","**When an enemy is performing
a Panic Test, before dice are rolled:**

That enemy suffers -1 to
their roll for each of your friendly
units in Short Range, up to 3.",40303,,2021-S02
Free Folk,Free Folk Basic Deck,,"Diversion
Tactics","**After an enemy completes
a Melee Attack:**

Target 1 other friendly unit in
Long Range of the Defender.
It performs 1 Maneuver Action.",40304,,2021
Free Folk,Free Folk Basic Deck,,"Overwhelming
Assault","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

For each friendly unit engaging
the Defender, choose 1:

• This Attack may re-roll
any Attack Dice.

• This Attack gains **Critical Blow**.

• This Attack gains **Sundering**.",40305,,2021
Free Folk,Free Folk Basic Deck,,"Surrounded and
Exposed","**Start of any Turn:**

Target 1 enemy unit. For each
of your friendly units in Short Range
of that enemy beyond the first, that
enemy gains 1 Condition token.",40306,,2021
Free Folk,Free Folk Basic Deck,,"The Endless
Horde","**Start of any Turn:**

Target 1 friendly Infantry Unit and
attach this card to them until the
end of the game. When this unit is
destroyed, place 1 Free Folk Raiders
unit with 1 Raid Leader attached
to it fully within Long Range of a
friendly table edge, unactivated.",40307,,2021-S02
Free Folk,"Tormund Giantsbane, Thunderfist",20301,"Rush of
Aggression","**When a friendly unit is performing
a Charge Action, before rolling
Charge Distance Dice:**

This unit automatically counts
as rolling a 6 on all Charge
Distance Dice and their Melee
Attack gains **Critical Blow**.

After this Attack has been
completed, unless the
Attacker is Tormund's unit,
they become **Vulnerable**.",40308,,2021
Free Folk,"Tormund Giantsbane, Thunderfist",20301,"Counter
Assault","**After an enemy completes
a Melee Attack:**

Target 1 friendly Combat Unit
other than the Defender. They
perform 1 Attack or Charge
Action on the Attacker.

If this targets Tormund's unit, they
may re-roll any Attack and Charge
Distance Dice for this Action.",40309,,2021
Free Folk,"Tormund Giantsbane, Thunderfist",20301,"Devastating
Impact","**When a friendly unit is performing 
a Charge Action, after rolling Charge 
Distance Dice:**

Enemies Successfully
Charged by this unit become
**Panicked** and **Vulnerable**.

If this targets Tormund's unit,
this unit may re-roll any
Charge Distance Dice.",40310,,2021-S03
Free Folk,"Mance Rayder, King Beyond the Wall",20303,"Wildling
Diplomacy","**When an enemy NCU Activates:**

If that NCU Claims a zone this Turn,
before or after resolving that zone's
effect, target 1 enemy Combat
Unit. It gains 1 Condition token.
Then target 1 enemy Combat
Unit. It suffers D3+1 Wounds.",40311,,2021
Free Folk,"Mance Rayder, King Beyond the Wall",20303,"Predictable
Maneuvers","**Start of the first Enemy 
Turn in a Round:**

Target 1 enemy Combat Unit and 1 enemy NCU.
If either unit performs an Action this Turn, before they resolve that Action, 1 friendly Combat Unit performs 1 Attack, Maneuver, or Retreat Action.",40312,,S04
Free Folk,"Mance Rayder, King Beyond the Wall",20303,The Long Plan,"**End of any Turn,
if an opponent Controls [LETTER]:**

Search your Tactics Deck for any
1 card and add it to your hand.
Shuffle your Tactics deck. /
**End of the Round:**

Search your Tactics Deck for any
1 card and add it to your hand.
Shuffle your Tactics deck. /
**End of any Turn:**

Draw 1 Tactics card.",40313,,2021
Free Folk,"Rattleshirt, The Lord Of Bones",20315,"Bloody
Trophies","**After a friendly unit completes a Melee Attack, if the Defender suffered any Wounds:**

All enemies engaged with the Attacker become <b>Panicked</b>. Then, attach this card to 1 friendly Infantry or Cavalry unit in Short Range of the Attacker. 

While attached, when an enemy performs an Action engaged with this unit, before resolving that Action, that enemy becomes <b>Panicked</b>.

Once per Turn, after attaching a Rattleshirt’s Commander Tactics card, you also may play 1 Rattleshirt’s Commander Tactics card from your hand, ignoring its usual trigger.",40314,,S06
Free Folk,"Rattleshirt, The Lord Of Bones",20315,"Weapon
Trophies","**After a friendly unit completes a Melee Attack, if the Defender suffered any Wounds:**

Attach this card to 1 friendly Infantry or Cavalry unit in Short Range of the Attacker. 

While attached, their Melee Attacks gain +1 to Hit. 

Once per Turn, after attaching a Rattleshirt’s Commander Tactics card, you also may play 1 Rattleshirt’s Commander Tactics card from your hand, ignoring its usual trigger.",40315,,S06
Free Folk,"Rattleshirt, The Lord Of Bones",20315,"Armor
Trophies","**After a friendly unit completes a Melee Attack, if the Defender suffered any Wounds:**

Attach this card to 1 friendly Infantry or Cavalry unit in Short Range of the Attacker. 

While attached, they gain +1 to Defense Dice rolls and opponents cannot expend <b>Vulnerable</b> tokens on this unit. 

Once per Turn, after attaching a Rattleshirt’s Commander Tactics card, you also may play 1 Rattleshirt’s Commander Tactics card from your hand, ignoring its usual trigger.",40316,,S06
Free Folk,"Harma, Vanguard Commander",20317,Hit and Run,"**After a friendly unit completes
a Melee Attack:**

That unit performs 1 Retreat Action.

If this targets Harma's unit, 
any enemy it disengages from 
becomes **Weakened**.",40317,,2021-S03
Free Folk,"Harma, Vanguard Commander",20317,"Feinting
Maneuver","**When a friendly unit
Successfully Charges:**

If they contacted the Front of the
enemy, instead, align this unit's
tray to any Flank of that enemy.

If they contacted a Flank of the
enemy, instead, align this unit's
tray to the Rear of that enemy.",40318,,2021
Free Folk,"Harma, Vanguard Commander",20317,"Swift
Reposition","**Start of any Turn:**

Target 1 friendly Combat
Unit. It shifts 2"".

If this targets Harma's unit,
they perform a 3"" Maneuver
Action instead.",40319,,2021
Free Folk,"The Weeper, Horrific Butcher",20320,"Cruel
Methods","**Start of any Turn:**

Target 1 enemy Combat Unit.You
may expend 1 Panic token from
that unit. If you do, choose 2:

• 1 friendly Infantry unit in
Long Range restores 2 Wounds
*(This may be selected multiple times)*.

• That enemy becomes **Vulnerable**.

• That enemy becomes **Weakened**.",40320,,2021
Free Folk,"The Weeper, Horrific Butcher",20320,"Price of
Failure","**When a friendly unit is
performing a Melee Attack,
before rolling Attack Dice:**

All Attack Dice rolls automatically
Hit for this Attack. 

After this attack is completed, if the
Defender was not destroyed, the
Attacker becomes **Panicked**
and **Vulnerable**.",40321,,2021-S03
Free Folk,"The Weeper, Horrific Butcher",20320,Bloody Beheadings,"**After a friendly unit completes a Melee Attack:**

If this Attack destroyed an enemy rank, each enemy in Long Range becomes <b>Panicked</b>. If they were already <b>Panicked</b>, they suffer 1 Panic Test.

If this Attack destroyed the enemy instead, each enemy in Long Range becomes <b>Panicked</b> and they suffer 1 Panic Test.",40322,,S06
Free Folk,"Styr, Magnar of Thenn",20313,Bitter Demise,"**When a friendly Infantry or Cavalry unit is destroyed:**

Before removing that unit, it performs 1 Melee Attack Action using its highest Attack Die Value.

If this targets Styr's unit, it may re-roll any Attack Dice.",40323,,S05
Free Folk,"Styr, Magnar Of Thenn",20313,"Thenn
Defiance","**When a friendly unit is performing
a Panic Test, after dice are rolled:**

That unit may re-roll any dice for
this Test. If they are in Short Range
of Styr, they pass this test instead.

If this targets Styr's unit, target
1 enemy they are engaged with.
They suffer 1 Wound, +1 Wound for
each of this unit's destroyed ranks.",40324,,2021
