Name,Description,Icons,Version
Chieftain's Fury,"• **Vicious**
• Defenders do not roll Defense Dice.
• When Mag is destroyed, before being removed, he performs 1 Chieftain’s Fury Attack.","M,W",
Claims to The Kingdom,Each time this unit is targeted by friendly Abilities or Tactics cards you count as Controlling [CROWN] and [LETTER] for that effect.,,
Claw & Blade,• **Vicious**,M,
Cleaving Blows,"• When Charging, gains **Critical Blow**.
• Defenders do not roll Defense Dice.",M,
Combat Mastery: Defense,"While your opponent does not Control [SWORDS], enemies engaged with this unit suffer -1 to Hit.",,
Combat Mastery: Resolve,"While your opponent does not Control [SWORDS], each time this unit passes a Morale Test, it restores 1 Wound.",,
Commander's Vassal,This model counts as having your Commander's name for all abilities and effects.,W,2021-S02
Coordinated Assault,"When Charging, deals +1 Hit for each remaining rank in this unit.",M,
Counterstrike,"Each time this unit is Attacked with a Melee Attack, for each Miss, the Attacker suffers 1 Hit.",,
Crossbow,"• **Sundering**
• May re-roll Attack Dice when Attacking enemies in Short Range.",R,
Dauntless,"Each time this unit passes a Morale Test, it restores 1 Wound.",,
Davos' Vassal,This model counts as Davos Seaworth for all abilities and effects.,W,2021-S02
Deadly Bloom,"Each time this unit restores Wounds, target 1 enemy it is engaged with. They suffer 1 Wound.",,
Deadly Impact,"When Charging, gains **Sundering**, **Vicious**, and deals +1 Hit for each of the Defender’s remaining ranks.",M,
Dervish Blades,"• **Precision**
• When Attacking enemies that have not Activated this Round, this Attack gains **Critical Blow**.",M,
Desert Marksmen,"When Attacking enemies that have not Activated this Round, may re-roll Attack Dice and the Defender becomes **Vulnerable**.",R,
Direwolf,"• This unit has 4 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,
Disorganized,This unit suffers +1 Wound from failing Panic Tests.,,
Disrupt,Enemies engaged with this unit suffer -1 to Hit.,,
Distract,"During your Turn, enemies this unit is engaging in the Flank or Rear lose all Abilities and cannot be the target of friendly Tactics Cards.",,
Divide The Spoils,"After completing an Attack, for each enemy rank that was destroyed, 1 friendly unit with Pillage in Long Range of that enemy gains 1 Pillage token.","R,M",
Divine Sacrifices,"Each time this unit performs a Melee Attack, before rolling Attack Dice, it may suffer 1 Wound. If it does, this Attack gains +1 to Hit and the Defender becomes <b>Panicked</b> or <b>Vulnerable</b>.",M,S06
Dominance Of The Crown,"If you Control [CROWN] when this unit is performing a Melee Attack, this Attack gains +1 to Hit and **Sundering**.",M,
Domineering Pride,"While engaged by an enemy with the same or fewer remaining ranks, this unit automatically passes all Panic Tests.",,S06
Dornish Conviction,"While you Control [CROWN], this unit Attacks using its highest Attack Die Value.","R,M",
Dornish Vengeance,"After this unit is Attacked with a Melee Attack, if you Control [SWORDS], the Attacker suffers 2 Wounds, +1 Wound for each of this unit's destroyed ranks.",,
Double Hammers,• **Sundering**,M,
Drogo's Bloodriders,"• This unit cannot become **Weakened**.
• Each model in this unit has 3 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,S04
Drowned God's Fanatics,"• This unit has 3 Wounds.
• This unit can only suffer a maximum of 1 Wound from failing Panic Tests.
• This unit only suffers 1 Wound for every 2 unblocked Hits from any Attack or effect.",W,S04
Dual Weapons,• **Precision**,M,2021-S03
Dutiful Commander,"If this is a Night's Watch unit, after Deployment, you may search your deck for 1 <b>Tempered by Duty</b> Tactics card and attach it to this unit. Shuffle your Tactics deck.",,
Duty to The Crown,"Each time this unit passes a Morale Test, it restores 1 Wound. If you Control [CROWN], restore +1 Wound.",,
Elusive Escape,This unit may re-roll any Retreat Distance Dice. Enemies this unit disengages from may not pivot and become <b>Weakened</b>.,,
Embolden,Friendly units in Short Range gain +1 to Morale Test rolls.,,
Enhanced Mobility,This unit gains +1 [MOVEMENT] and may pivot before Marching.,,
Executioner’s Axe,"• <b>Sundering</b>
• If this unit has fewer remaining ranks than the Defender, this Attack gains <b>Vicious</b> and the Defender becomes <b>Panicked</b>.",M,
Executioner's Fury,"**• Vicious**
• Only Defense Die rolls of 6 may block Hits from this attack.
• If this unit has only 1 remaining rank, after this Attack is completed, the Defender become **Weakened**.",M,S04
Experiment Enhancements,This unit's Melee Attacks gain +1 to Hit and <b>Vicious</b>. Opponents cannot expend Weakened tokens on this unit while it is Attacking.,"W,M",
Expert Duelist,"Each time this unit performs a Melee Attack, before rolling Attack Dice, choose 1:
• This Attack deals +1 Wound.
• Target 1 Infantry Attachment in the Defender's unit and roll a die. On a 5+, destroy that Attachment.",M,2021-S02
Eye Of The Crow,"• This unit has 4 Wounds.
• At the start of this unit's Activation, it may perform 1 Maneuver or Retreat Action.
• The first time this unit is destroyed, at the start of the next Round, you may redeploy it fully within Short Range of any Flank table edge.",W,S04
Fanatical Zeal,"This unit begins the game with 1 **Faith token**. Each time this unit passes a Morale Test, it gains 1 Faith token. Each time this unit is performing a Melee Attack, before rolling Attack Dice, it may expend 1 Faith token. If it does, this Attack gains **Precision** and may re-roll any Attack Dice.",F,
Fearless Avarice,"While you Control [MONEY], this unit suffers -1 Wound from failed Panic Tests.",,
Ferocious Assault,Enemies Successfully Charged by this unit become <b>Panicked</b>.,M,S04
Fighter's Armaments,• **Precision**,M,
Fire Arrows,"• **Vicious**
• If the Defender fails their Panic Test, target 1 other enemy in Short Range of that unit. They suffer 1 Panic Test with -2 to their roll.",R,
First Claim,"Each time a friendly NCU Claims [MONEY], 1 Blacktyde Chosen unit gains 1 Pillage token.
While this unit has 2 Pillage tokens, all friendly units in Short Range gain +1 to Morale Test rolls and suffer -1 Wound from failing Panic Tests.",,S04
First of The King's Men,"• You count as Controlling the [CROWN] **and** [LETTER] zones for Tactics cards that target this unit.
• While your opponent does not Control [CROWN] or [LETTER], this unit may re-roll any Morale Test Dice.",,S05
Flail,• **Vicious**,M,S04
Frenzied Swings,"• **Sundering**
• Gains +1 to Hit for each of this unit’s destroyed ranks.",M,2021-S02
Fueled By Slaughter,"After this unit completes a Melee Attack, if the Defender suffered any Wounds, this unit restores 1 Wound, +1 additional Wound for each of the Defender's destroyed ranks.",M,
Furious Charge,Enemies Successfully Charged by this unit become <b>Vulnerable</b>.,M,
Furious Swing,"• **Vicious**
• Gains +1 Attack Die for each Wound this unit has suffered.
• Defenders do not roll Defense Dice. 
• Enemies Successfully Charged by this unit become **Panicked**.","W,M",S05
Gallows Humor,"Each time this unit loses a rank, place 1 Order token on Eddison. This unit gains the following based on the number of tokens:
<b>1+</b>: This unit may never be targeted by enemy Orders, Tactics cards, or be Influenced by enemy NCUs.
<b>2+</b>: This unit Melee Attacks gain +1 to Hit.",W,S06
Gang-Up,All friendly unit's Melee Attacks gain +1 to Hit and +1 Attack Die on enemies that are engaged with this unit and at least 1 other friendly unit.,,
Giant,"• This unit has 6 Wounds.
• This unit only suffers 1 Wound for every 2 unblocked Hits from any Attack or effect.
• This unit can only suffer a maximum of 2 Wounds from failing Panic Tests.",W,
Giant's Spear," **• Vicious
• Sundering
• **If the Defender is Cavalry, Monster or War Machine, this Attack deals 2 Hits for each success.
**• Ranged Only:** Defenders do not roll Defense Dice. May also suffer -3 to Hit to ignore Line of Sight and gain **Unlimited Range.**","W, R, M",S04
Gifts of Silver and Bronze,"Each time a friendly NCU Claims [MONEY], if this unit is a House Greyjoy unit, it gains 1 Pillage token.",,2021-S03
Go Down Fighting,"Each time a rank in this unit is destroyed, 1 enemy they are engaged with suffers 1 Wound.",,
Golden Fire,"• **Vicious**
• Hits from this Attack cannot be blocked. If this Attack generates **any** Hits, instead of rolling Defense Dice, the Defender suffers D3 Wounds, +1 Wound for each of its remaining ranks, and 1 enemy in Short Range of the Defender becomes **Vulnerable**.","W,M",2021-S01
Gore and Feed,"• **Sundering**
• After completing this Attack, if it dealt any Wounds, this unit restores 1 Wound.",M,
Great Axe,"• **Sundering**
• If this unit has 2 Pillage tokens, enemies suffer an additional -1 to Defense Dice rolls.",M,2021-S03
Great Hammer,"• **Critical Blow**
• If the Defender rolls a 1 on any Defense Dice, after this Attack is completed, they become **Weakened**.",M,
Greatsword,• **Sundering**,M,
Halberd,• **Sundering**,M,
Hardened,"Each time an enemy is performing an Attack on this unit, after rolling Defense Dice, this unit blocks 1 Hit for each of its destroyed ranks.",,2021-S02
Harma's Vassal,This model counts as Harma for all abilities and effects.,W,2021-S02
Harpoon,"• After completing this Attack, the Defender becomes **Weakened**.
• If the Defender suffers any Wounds from this attack, until the end of the Round, they suffer -1 [MOVEMENT] and, if they Charge, they suffer a Disorderly Charge.","M,R",S04
Heart of Fire,"This unit begins the game with 1 **Faith token**. Each time it passes a Morale Test, it gains 1 Faith token. Faith tokens may be expended to do the following:
**• When this unit performs a Melee Attack, before rolling Attack Dice:** This Attack gains +1 to Hit and **Vicious**.
**• After this unit completes a Melee Attack: **This unit restores 1 Wound, +1 Wound for each of the Defender’s destroyed ranks.
**• When this unit performs a Charge Action, before resolving that action:** This unit may re-roll any Charge Distance Dice, and any enemies they successfully charge become **Panicked**.",Fire,S04
Heir of House Targaryen,"When Daenerys is destroyed, your opponent gains 2 Victory Points.",W,
Hidden Shot,"• Ignores units and terrain when determining Line of Sight.
• When Attacking enemies in the Flank or Rear, this attack gains **Precision** and **Vicious**.",R,
Highgarden Lance,"• **Sundering**
• When Charging, gains +1 to Hit.
• When Charging, rolls +2 Attack Dice for each remaining rank in this unit.",M,S05
Hodor!,This unit's Melee Attacks deal +1 Wound.,M,
Hodor!!!,"When this unit is performing a Retreat Action, after rolling Retreat Distance Dice, you may have all dice count as rolling a 6. If you do, this Attachment loses all Abilities until the end of the game. Enemies this unit disengages from may not pivot.",,S06
Horrific Visage,"Each time an enemy performs a Melee Attack on this unit, before resolving that Attack, target the Attacker. They suffer 1 Panic Test with -1 to their roll for each remaining rank in this unit.",,
Hot Pies!,"Each time this unit Activates, it removes 1 Condition Token. If you Control [CROWN], this unit may restore 1 Wound.",,
Hrakkars & Tamers,"• This unit has 6 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.",W,
Impaling Spear,"After completing this Attack, if this Attack destroyed an enemy rank, all enemies in Short Range of the Attacker become **Panicked**, if they were already **Panicked**, they instead become **Weakened**.",M,S05
Improved Armaments,"While you Control [MONEY], this unit's Melee Attacks gain <b>Sundering</b> and roll their highest Attack Die Value.",M,
Improved Defenses,"While you Control [MONEY], this unit gains +1 to Defense Dice rolls.",,
Improved Defenses (BwB),"While you Control [CROWN], this unit gains +1 to Defense Dice rolls.",,
Improved Defenses (Stark),"While you Control [HORSE], this unit gains +1 to Defense Dice Rolls.",,
Indomitable,This unit cannot become <b>Weakened</b>.,W,2021-S03
Insignificant,This unit cannot grant Victory Points from **Victory Through Combat**.,,
Inspiring Presence,This unit's Morale Stat becomes 5+.,Morale5,
Interrogate,"Each time this unit destroys an enemy with a Melee Attack, you may look at your opponent's hand of Tactics cards and discard 1 card.",M,
Intimidating Presence,Enemies engaged with this unit suffer -1 to Morale Test rolls and +1 Wound from failing Panic Tests.,,
Intimidation Of The Crown,"If you Control [CROWN], when this unit is performing a Melee Attack, before rolling Attack Dice, the Defender becomes **Panicked** and **Weakened**.",,
Iron Credit,"Each time a friendly unit in Short Range gains a Pillage token, place  1 Order token on this card. Before this unit performs a Melee Attack, you may discard up to  2 Order tokens from this card to gain the following effects *(effects are cumulative)*:
• **1+:** You may remove 1 Condition token from this unit.
• **2:** This unit rolls its highest Attack Die Value.",M,
Iron Resolve,This unit gains +1 to Panic Test rolls and suffers -1 Wounds from failing Panic Tests.,,
Ironborn Arrows,May re-roll Attack Dice when Attacking enemies in the Flank or Rear.,R,
Jade Fire,"• **Vicious**
• Hits from this Attack cannot be blocked. If this Attack generates **any** Hits, instead of rolling Defense Dice, the Defender suffers D3 Wounds, +1 Wound for each of its remaining ranks, and 1 enemy in Short Range of the Defender becomes **Weakened**.","W,M",2021-S01
Jagged Weapons,• **Vicious**,M,
Jaime's Protector,"After Jaime Lannister's unit is Attacked, this unit performs 1 Attack or Charge Action on the Attacker.",,
Jaime's Vassal,This model counts as Jaime Lannister for all abilities and effects.,W,2021-S02
Joffrey's Retinue,"This unit has 8 models *(including Joffrey)*, 8 Wounds, and 2 ranks.",W,
Jojen's Greensight,"Jojen begins the game with 2 Order tokens on him.
Each time this unit attacks or is attacked, after rolling Attack Dice or Defense Dice, you may remove 1 Order token from Jojen. If you do, choose 1:
• This unit may re-roll any Attack Dice.
• This unit may re-roll any Defense Dice.",W,S06
Jokin's Protector,"After Jokin's unit is Attacked, this unit performs 1 Attack or Charge Action on the Attacker.",,
Jokin's Vassal,This model count as Jokin for all abilities and effects.,W,
Juvenile Dragon,"• This unit has 8 Wounds.
• This unit ignores units and terrain when Maneuvering and Marching.
• At the start of its Activation, this unit may perform 1 Maneuver Action.",W,
King's Blade,"**• Sundering**
• While your opponent does not Control [CROWN], this Attack gains **Critical Blow** and may re-roll any Attack Dice.",M,S04
Knight’s Blade,"• **Sundering**
• If you Control [SWORDS], before rolling Attack Dice, the Defender becomes **Vulnerable**.",M,
Knightly Armaments,"• **Sundering**
• If your opponent does not Control [CROWN], this Attack may re-roll any Attack Dice.",M,
Knightly Vow,"• After deployment target 1 enemy unit. When Charging that enemy, this unit may re-roll any Charge Distance dice.
• While your opponent does not Control [SWORDS], this unit's melee attacks gain +1 to Hit.",M,S06
Lance,"• **Sundering**
• When Charging, rolls +2 Attack Dice for each remaining rank in this unit.",M,2021-S01
Lannister Justice,"While you Control [CROWN], each time this unit performs an Action, before resolving that Action, 1 enemy in Long Range suffers 1 Panic Test with -1 to their roll for each remaining rank in this unit.",,
Lannister Oppression,"Each time this unit performs a Melee Attack, before rolling Attack Dice choose 1, for each Condition token on the Defender, choose +1:
• **Vicious**
• **Sundering**
• Until the end of the Turn, Defender loses all Abilities.
• This unit may re-roll any Attack Dice.",M,S05
Leadership Follower,This unit gains +1 to Morale Test rolls while in Long Range of the Commander’s unit.,,S06
Lightbringer,"Beric begins the game with 1 Faith token. Each time his unit passes a Morale Test, it gains 1 Faith token. Faith tokens may be expended to do the following:
**•When this unit performs a Melee Attack, before resolving that Attack:**
This Attack gains +2 Attack Dice.
**•When this unit would be destroyed by a Melee Attack:**
Before being removed, this unit performs 1 Melee Attack using its lowest Attack Die Value. If this Attack destroys the Defender, this unit is not destroyed but remains in play with 1 Wound.",F,
Loyalty through Coin,"While you Control [MONEY], this unit gains +1 to Defense Dice rolls and +1 to Morale Test rolls.",,
Loyalty: Renly Baratheon,Your army may never contain Units or Attachments with different Loyalties.,,
Loyalty: Stannis Baratheon,Your army may never contain Units or Attachments with different Loyalties.,,
Mace & Spike,"Before rolling Attack Dice, choose 1. For each of this unit’s destroyed ranks, choose +1:
• **Critical Blow**
• **Precision**
• Re-roll any Attack Dice.",M,
Maegi's Healing,"Each time this unit Activates, roll a D3. On a 1, choose 1. On a 2, choose 2 *(the same effect may be chosen multiple times)*. On a 3, nothing happens:
• Restore 1 Wound to this unit.
• Remove 1 Condition token from this unit.",,S06
Mammoth,"• This unit has 8 Wounds.
• This unit cannot Control Objectives.
• This unit can only suffer a maximum of 2 Wounds from failing Panic Tests.
• When this unit is destroyed, before being removed, target 1 enemy it is engaged with. They suffer D3 Wounds.",W,2021-S01
Manticore Venom,"Once per game, after this unit completes a Melee Attack, attach the **Manticore Venom** Poison card to the Defender until they are destroyed.","V,M",
Marauder’s Blades,"• **Vicious**
• Gains +1 to Hit and **Critical Blow** when Attacking enemies with the same or fewer remaining ranks.",M,2021-S03
Marshal,"• This unit has 3 Wounds.
• At the start of this unit's Activation, it may perform 1 Maneuver or Retreat Action.
• Other friendly units in Short Range gain +1 Attack Die on Melee Attacks and suffer -1 Wound from failing Panic Tests.",W,S04
Master Skinchanger,"• This unit has 4 Wounds.
• At the start of this unit’s Activation, it may perform 1 Maneuver Action.
• Gain **Varamyr’s Eagle**. See that unit’s card for additional effects.",W,
Mastercraft Longsword,May always re-roll Attack Dice,M,2021-S03
Mastercraft Warhammer,"• May always re-roll Attack Dice.
• If the Defender rolls a 1 on any Defense Dice, after this Attack is completed, they become **Weakened**.",M,S04
Mercenary's Longbow,"• While you Control [MONEY], gains **Sundering**.
• While you Control [LETTER], before rolling Attack Dice, the Defender becomes **Vulnerable**.
• While you Control [SWORDS], may re-roll any Attack Dice.",R,
Might Of The Throne,"While your opponent does not Control [CROWN], each time this unit Attacks, it gains +1 Attack Die to Melee Attacks and counts as rolling a 6 for all Charge Distance Dice.",M,S06
Mother of Dragons,"Once per game, at the start of any Turn, you may search your Tactics Deck or discard pile for 1 of Daenerys' Commander cards and add it to your hand. Shuffle your Tactics Deck.",W,
Motivated By Coin,"While your opponent does not Control [MONEY], when performing a Melee Attack, this unit may re-roll Melee Attack Dice and, when this unit activates, it may restore 1 Wound.",,S06
Motley Armaments,"When Attacking, choose 1. If Attacking in the Flank or Rear, gain both:
• +1 Attack Die and **Critical blow**.
• Defender loses all Abilities this Turn.",M,2021-S03
Mummer's Blade,"If Attacking an enemy that has not Activated this Round, before rolling Attack Dice, the Defender becomes **Weakened**.",M,
Names On The List,"Each time a friendly unit in long Range loses a Rank, place 1 Order token on this card. Each time this unit performs a Melee Attack, before rolling Attack Dice, you may remove 1 Order token from this card. If you did, after the Attack is complete, destroy 1 Infantry Attachment from the Defender.",,
Noble’s Wrath,"• **Sundering**
• Deals +2 Hits for each Wound this unit has suffered.",M,
Oppressive Peacekeeping,"While you Control [CROWN], enemies in Short Range of this unit suffer -1 to Morale Test rolls.",,
Order: Adaptive Planning,"**Start of any Turn:**
Target 1 Combat Unit in Long Range. Replace 1 Condition token on that unit with any other Condition token.",,
Order: Adaptive Style,"**When this unit Attacks or is Attacked, before rolling Attack Dice:**
Choose 1:
• This unit gains +1 to Defense Dice rolls and +2 to Panic Test rolls against this Attack.
• This Attack gains <b>Critical Blow</b> and <b>Sundering</b>.",,S04
Order: Battle Plan,"**Start of any Turn:**
Discard 2 Tactics cards to search your Tactics Deck for any 1 card and add it to your hand. Shuffle your Tactics Deck.",,
Order: Charging Volley,"**After this unit completes a Ranged Attack:**
This unit performs 1 Charge Action on the Defender.",,
Order: Counterstrategy,"**When an enemy in Short Range uses an Order or is targeted by a Tactics card:**
Roll a die. On a 3+, cancel the effect of that Order/Tactics card.",,
Order: Deceitful Reposition,"**At the Start of an enemy Turn, if no enemies are within Short Range:**
This unit performs a 3” Maneuver Action.",,
Order: Divide The Spoils,"**Start of any Turn:**
Target 1 friendly House Greyjoy unit in Long Range.
You may remove 1 Pillage token from that unit and then place 1 Pillage token on 1 other friendly House Greyjoy unit in Long Range of them.",,S06
Order: Drowned God's Blessing,"**Start of any Turn:**
Target 1 friendly Greyjoy Infantry unit in Short Range and choose 1:
• That unit restores 2 Wounds.
• That unit may re-roll any Attack Dice this Turn.
• Enemies that Attack that unit this Turn become **Vulnerable**.",,
Order: Grisly Example,"**Start of any Turn:**
This unit suffers 1 Hit. Target all enemies in Short Range. They become <b>Panicked</b>.",,S06
Order: Hidden Traps,"**When an unengaged enemy in Long Range performs any Action, before resolving that Action:**
Choose 1:
• That enemy suffers 1 Hit for each of its remaining ranks.
• That enemy suffers -1[MOVEMENT] until the end of the Turn.",,S05
Order: Hold The Line!,"**When this unit Activates:**
Target 1 enemy engaged with this unit. It suffers 2 Hits, +1 Hit for each of this unit’s remaining ranks.",,2021-S01
Order: Incite,"**When this unit is performing a Melee Attack, before rolling Attack Dice:**
This Attack gains <b>Vicious</b> and rolls its highest Attack Die Value.",,
Order: Just Shares,"**Start of any Turn:**
Target 1 friendly Combat Unit in Long Range. Move 1 Pillage token from that unit to 1 other friendly unit with Pillage in Short Range of that unit.",,
Order: King’s Blade,"**After this unit is Attacked:**
Search your Tactics Deck or discard pile for 1 **Ours is The Fury!** and add it to your hand. Shuffle your Tactics Deck.",,
Order: Lannister Supremacy,"**After an enemy completes an Attack on this unit:**
Target the Attacker. They suffer 1 Panic Test with -1 to their roll and +1 Wounds on failure for each remaining rank in this unit.",,
Order: Laws of the Realm,"**When an enemy in Short Range Attacks, before rolling Attack Dice:**
That enemy is treated as having -1 rank for Attack Dice. If it has only 1 remaining rank, it becomes **Vulnerable**.",,
Order: Mark Target,"**Start of a friendly Turn:**
Target 1 enemy in Line of Sight and Long Range. They become <b>Vulnerable</b>.",,
Order: Martial Training,"**When this unit is performing a Melee Attack, before rolling Attack Dice:**
This Attack may re-roll any Attack Dice and the Defender becomes <b>Vulnerable</b>.",,
Order: Noble's Bolster,"**When a friendly Combat Unit in Long Range would gain a Condition token:**
It does not gain that token.",,S04
Order: Overrun,"**When this unit Surges forth:**
Instead of Surging Forth, this unit performs 1 Charge or March Action.",,S04
Order: Overwatch,"**After an enemy ends a March or Maneuver Action in Long Range and Line of Sight of this unit:**
This unit performs 1 Ranged Attack Action on that enemy.",,
