Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10111,Rotröcke,Langschwert,,,,"Die Rotröcke der Lennisters sind Elitewachen und dienen als ausführender Arm des Hauses Lennisters in Königsmund und auf Casterlystein. Ihre Aufgabe ist es, die Bevölkerung durch Einschüchterung, Angst und mit scharfen Klingen im Zaum zu halten. Sie sind nicht nur bekannt für ihre karmesinroten Mäntel, sondern auch für ihre Halbharnische, die so stabil sind, wie für massengefertigte Rüstungen nur möglich. Sie sind eine zuverlässige mittlere Infanterie und gehören zu den bestbezahlten Truppen auf der Gehaltsliste der Lennisters.",2021-S01
10112,Briganten von Haus Clegane,Brutale Bewaffnung,,,,"Die meisten Kavallerieangriffe sind schon grausam genug, aber Gregor Cleganes Meute von berittenen Briganten stellt mit ihrer Brutalität alles andere in den Schatten. Briganten geben sich nicht damit zufrieden, die feindlichen Reihen von den Flanken oder von hinten zu zerfetzen. Für die Art Mann, die man in Cleganes Reihen findet, ist eine Waffe, die einen Feind verkrüppelt und zerschmettert zurücklässt, genauso gut wie eine, die schnell und effizient tötet. Briganten sind sich ihres furchteinflößenden Rufs gewahr. Es dürstet sie nicht nach fairen Kämpfen.",2021-S02
10113,Stadtwache von Lennishort,Speer,,,,"Die Stadtwache von Lennishort ist als Beschützer des Machtzentrums der Lennisters genauso gut bewaffnet und gepanzert (wenn nicht sogar besser) wie viele Fronttruppen im Krieg der Fünf Könige. Dennoch sind sie keine regulären Soldaten und man sollte sich nicht darauf verlassen, dass sie die Vorhut halten oder einem wütenden Kavallerieangriff standhalten. Dennoch sind sie in großer Zahl und mit dem richtigen Beistand effektiv und gefährlich, und somit eine wirklich ausgezeichnete Unterstützungseinheit.",2021-S03
10114,Ehrengarde von Casterlystein,Unterdrückung der Lennisters,,,,"Die gewaltige Festung von Casterlystein dient sowohl als Symbolder Überlegenheit der Lennisters alsauch als uneinnehmbare Burg mitBlick auf Lennishort. Als ihre Wächterdient die Ehrengarde von Casterlysteinauch als Symbol der unverwüstlichenMacht der Lennisters. Sie sind mit denfeinsten Plattenrüstungenausgestattet, die man für Geld kaufenkann, und als schwere Eingreiftruppeausgebildet, um örtliche Bedrohungenzu eliminieren. Die Ehrengarde hält dieFrontlinie und nutzt jede gegnerischeVerwundbarkeit sofort aus.",2021-S03
10115,Goldröcke,Knüppel,,,,"Königsmund gilt im Allgemeinen
als sicherer Wohnort, denn die
Truppen mit dem sehr treffenden
Namen Goldröcke patrouillieren
durch die Straßen und Gassen.
Sie sorgen stets und überall für
Gerechtigkeit, wer auch immer
gerade Gerechtigkeit definiert.
Aber in Königsmund herrschen
die Lennisters und die Goldröcke
unterstehen dem Eisernen Thron.
Man sollte sich also lieber zwei
Mal überlegen, in ihrer Nähe
schlecht über den König zu reden.",2021
10201,Geschworene Schwerter von Haus Stark,Schärfe des Winters,,,,"Die Geschworenen Schwerter sind die Grundfeste, auf der alle Strategien der Heerführer von Haus Stark errichtet sind. Tapfer, versiert und dem Wolfsbanner treu ergeben, würden die Geschworenen Schwerter eher sterben, als ihre Waffenbrüder im Stich zu lassen. Es mag sein, dass ihre Ausrüstung mit den Waffen und Panzerhemden der reicheren Häuser nicht mithalten kann, doch sie wissen, dass Gold allein keinen Mann zum Krieger macht.",2021-S01
10202,Vorreiter von Haus Stark,Klinge des Vorreiters,,,,"Ein langer Schlagabtausch ist nicht die Spezialität der Vorreiter von Haus Stark. Glücklicherweise landen sie auch selten im Schlachtgetümmel. Was sie auszeichnet, ist ihre uneingeschränkte Mobilität, die durch leichtgerüstete Reiter auf ungepanzerten Rössern mit flinken Hufen und ruhigen Gemütern zustande kommt. Wie alle leichten Truppen sind sie Verwundbar gegen Pfeile. Gleichzeitig betrachten sie Schützen als ihre natürliche Beute und können unverteidigte Fernkämpfer mit Leichtigkeit vernichten.",2021-S01
10203,Berserker von Haus Umber,Berserkeräxte,,,,"Berserker eignen sich für geschickte Flankenmanöver, vernichtende Sturmangriffe und die Verfolgung aufgeriebener Truppen. Ein kluger Feldherr sollte stets darauf achten, dass sie sich nicht blindlings in Gefahr stürzen. Dennoch sind die Berserker kampferprobte Soldaten, die sich zwar gerne dem Blutrausch hingeben, aber nur selten von ihm übermannt werden. Lass deinen Feind den kalten Stahl und den Zorn der Nordmänner spüren!",2021
10204,Grauwind,Zähne & Klauen,,"*Darf nur in einer Armee aufgestelltwerden, die Robb Stark enthält.*",,"Ein gewöhnlicher Wolf mag schon einschüchternd sein, doch der Schattenwolf Grauwind ist wahrhaft furchterregend. Schneller als jeder Mann zu Fuß und beinahe so flink wie ein Reiter, lässt sich Grauwind von seinen Instinkten über das Schlachtfeld leiten. Er ist nicht nur ein beeindruckender Kämpfer, sondern auch von enormem taktischem Wert, da er seine Feinde in nackte Panik versetzt.",2021
10205,Bogenschützen von Haus Stark,Pfeilhagel,Kurzschwert,,,"Die Jäger, Holzfäller und Überlebenskünstler des rauen Nordens dienen ihren Lords auch im Verteidigungsfall. Wenn der Schattenwolf in den Krieg zieht, folgen ihm mehr fähige Bogenschützen als den meisten anderen Häusern. Auf kurze Distanz schwindet ihre Effizienz, und im Schlachtgetümmel oder bei heranstürmender Reiterei sind sie äußerst Verwundbar. Doch auf weite Entfernung können die Bogenschützen von Haus Stark den Feind regelrecht zunichtemachen.",2021-S03
10206,Geschworene Schilde von Haus Tully,Langschwert,,,,"Mit schweren Rüstungen und starken Verteidigungsmanövern marschieren die Geschworenen Schilde von Haus Tully unter dem Banner der Starks in die Schlacht. Sie vermögen so gut wie jedem Angriff standzuhalten und ihr erstaunliches Durchhaltevermögen hat schon so manche Schlacht entschieden. Wenngleich sie mit der Schnelligkeit offensiver Einheiten nicht mithalten können, so bilden sie doch die Front, hinter der die Stoßtrupps nach ihren Angriffsschlägen Deckung finden.",2021
10207,Sommer,Zähne & Klauen,,"*Darf nur in einer Armee aufgestelltwerden, die Bran Stark enthält.*",,"Alles begann, als Bran Stark in Winterfell von einem Turm stürzte und gelähmt blieb. Während seiner Genesung beschützte Sommer ihn vor einem Meuchelmord und bekräftigte so das Freundschaftsband zwischen den Stark-Kindern und ihren Schattenwölfen. Hodor, ein hünenhafter Mann von enormer Stärke, aber getrübtem Verstand, stellte Bran seine Beine zur Verfügung, damit der junge Stark das Bett verlassen konnte. Mit der Zeit wuchsen die drei wie zu einem Wesen zusammen, einem Geschöpf aus Treue, Ehrgefühl und Klugheit.",2021
10208,Großäxte von Haus Umber,Zorn des Henkers,,,,"Die Großäxte der Umbers verbinden Beweglichkeit und Verteidigung mit einem furchterregenden Waffenarsenal, um eine Einheit mit überragender Flexibilität ins Feld zu führen. Die Großäxte können schwerfälligere Gegner jagen, einem Ansturm standhalten und einen vernichtenden Angriff mit ihren markanten Waffen ausführen. Da sie sich keiner speziellen Kampfweise verschrieben haben, kann ein erfahrener Heerführer sie nach Belieben einsetzen, um Löcher in der Verteidigung zu stopfen oder das schlechte Urteilsvermögen eines Gegners auszunutzen.",2021-S01
10209,Fährtenleser der Pfahlbaumänner,Bogen des Pfahlbaumannes,Klinge des Fährtenlesers,,,"Die Fährtenleser der Pfahlbaumänner sind keine Einheit, die man in der vordersten Schlachtreihe einsetzen würde. Die nur mit leichter Rüstung und Waffen ausgestatteten Fährtenleser hätten in einem Gefecht Mann gegen Mann keine Chance. Was ihnen an Durchschlagskraft fehlt, machen sie mit ihrer Fähigkeit wett, die feindlichen Formationen zu stören und zu verwirren. Sie nutzen ihre Schnelligkeit und Beweglichkeit für tödliche Überraschungsangriffe. So schnell sie auch auftauchen, umso schneller ziehen sie sich wieder aus dem Kampf zurück, um ein direktes Aufeinandertreffen zu vermeiden.",2021-S03
10210,Struppel,Grausames Zerfleischen,,"Charakter: *Darf nur in einer Armee aufgestellt werden, die Rickon Stark enthält.*",,"Von den Schattenwölfen der Stark Geschwister erwies sich Struppel als der wildeste. Er ging sofort auf jeden los, der seinen Herrn, den jungen Rickon Stark, verärgerte. Rickons kindliche Wutausbrüche und Wutanfälle übertrugen sich auf Struppel. Es kam so zu Gefährlichen Situationen, da selbst junge Schattenwölfe eine tödliche Gefahr darstellen. In bewaffneten Konflikten waren der furchterregende Schutzinstinkt und die Wildheit Struppels allerdings genau richtig am Platz. Niemand wagte es, Rickon zu bedrohen, ohne Gefahr zu laufen, sich mit Zähnen und Zorn auseinandersetzen zu müssen.",2021-S03
10212,Eddards Ehrengarde,Schärfe des Winters,,"Charakter: *Darf nur in einer Armee aufgestellt werden, die Eddard Stark, Lord von Winterfell, enthält. Eddard muss diese Einheit verstärken.*",,"Lord Eddards Ehrengarde besteht aus ausgewählten Kriegern des Hauses Stark, die sich durch äußerste Redlichkeit hervorgetan haben. Sie sind bereit, jeder Übermacht zu trotzen, und können ebenso gut austeilen, wie sie einstecken können. Jeder von ihnen würde ohne zu zögern sein Leben für seinen Lord geben, zumal Lord Eddard Stark dasselbe für sie tun würde. Auf eines ist Verlass: Die Ehrengarde ist eine überaus fähige Vorhut für jede Stark-Armee.",2021-S03
10213,Ritter von Haus Tully,Lanze,,,,"Schwer bewaffnet und schwer gepanzert sind die Ritter von Haus Tully für ihre schnellen vernichtenden Sturmangriffe berüchtigt, die selbst die härtesten feindlichen Linien zerschmettern können. Allein die Gefahr eines solchen unmittelbar bevorstehenden Angriffs zwingt einen feindlichen Heerführer zum Handeln, sodass die Ritter die feindlichen Linien bereits aufreiben können, ohne auch nur wirklich anzugreifen. Ein weiser Feldherr hat für diesen Fall bereits Truppen bereitstehen, um das unausweichlich entstehende Chaos zu seinem Vorteil zu nutzen.",2021-S03
10214,Bärinnen von Haus Mormont,Entschlossener Schlag,,,,"Die Bärinnen von Haus Mormont gestalten ihre Ausrüstung und Taktiken nach dem Vorbild von Lady Alysane Mormont. Die Bärinnen sind mächtige Frauen, die bekannt für ihre Stärke sind und sich in dickes Leder und Platten kleiden. Als Waffen dienen ihnen zweihändige Keulen, die einen schweren Helm oder einen Brustpanzer mit einem Schlag zertrümmern können. Die Bärinnen sind der Sache der Mormonts blind ergeben. Ihre starke Rüstung und ihre Entschlossenheit erlaubt es ihnen, dort zu bestehen und zu kämpfen, wo andere Einheiten fallen würden.",2021-S02
10215,Speerträger von Haus Karstark,Speer,,,,"Es gibt nur wenige Dinge, die für eine angreifende Kavallerie furchteinflößender sind als eine Reihe erfahrener Speerträger, die in einer geschlossenen Schildformation mit erhobenen Speeren warten, vor allem, wenn diese Soldaten unter dem Banner der weißen Sonne marschieren. Die Speerträger von Haus Karstark sind die perfekte Deckung für die verwundbaren Flanken einer Schlachtreihe, wo die Kavallerie den verheerendsten Schaden anrichten kann. Ausgerüstet mit Ketten und Leder können sie einen gewissen Teil der Treffer abfangen, sind aber nicht als eigenständige Vorhut geeignet.",2021-S02
10216,Schläger von Haus Mormont,Knüppel & Dornen,,,,"Die Schläger von Haus Mormont machen dem Bären auf ihrem Wappen alle Ehre: Sie schlagen hart zu und gehen kämpfend unter. Ihre leichte Rüstung besteht größtenteils aus gepolstertem Leder sowie leichten Ketten und schränkt ihre Beweglichkeit kaum ein. Viele Gegner fürchten sich, wenn diese Truppen in der Flanke eingesetzt werden. Wenn sie Verluste erleiden, werden die Schläger nur noch gefährlicher, schwören Blut gegen Blut und nehmen ihre Feinde mit in den Tod.",2021-S02
10217,Loyalisten von Haus Karstark,Flegel,,,,"Die Mitglieder des Hauses Karstarkvon Karholt sind die treuesten Vasallenvon Haus Stark. Wenn die Starksdie Loyalisten zu Hilfe rufen, werdenderen Streitkräfte als Erstes aufgestelltund in die Schlacht geschickt. Siesind hauptsächlich mit Flegeln undSchilden bewaffnet. Ihre Hauptwaffezeigt den unerschütterlichen Glaubenan die Sache. Wunden, die einengewöhnlichen Mann niederschlagenwürden, kümmern sie nicht. Sie sindnicht kleinzukriegen und rennen gegenFeinde an, denen sie zahlenmäßigüberlegen sind.",2021
10218,Sumpfteufel der Pfahlbaumänner,Vergifteter Dreizack,,,,"Wenn man auf dem Schlachtfeld in
einen Hinterhalt gerät, kann man
nur hoffen, dass man es nicht mit den
Sumpfteufeln der Pfahlbaumänner
zu tun hat. Als Vasallen dienen
sie der Familie Reet und sind sehr
geschickt darin, sich durch sumpfiges
Gelände zu bewegen. Ihre leichte
Rüstung verhindert, dass sie in ihrem
bevorzugten Terrain versinken,
während ihre vergifteten Dreizacke
ihren Feinden einen qualvollen Tod
bereiten. Nach einem Angriff ziehen
sich die Sumpfteufel einfach wieder ins
Unterholz zurück und lassen nichts als
Tote und Sterbende zurück.",2021
10301,Wilder Riese,Wütender Schwinger,,,,"Für die meisten Lords aus dem südlichen Westeros sind die Wilden Riesen nichts weiter als ein Mythos. Jenseits der Mauer sind sie jedoch sehr real, wie die Nachtwache bestätigen wird. Diese riesigen Kreaturen tragen keine Rüstungen. Ihre Waffen sind nichts anderes als grob bearbeitete Mammutknochen oder Baumstämme. Mehr brauchen sie aber auch gar nicht. Ein einziger Riese kann die schwerste Infanterie in Grund und Boden stampfen und bleibt von einer Schlachtreihe anstürmender Ritter völlig unbeeindruckt. Nur mit schierer Masse oder mächtigen Belagerungswaffen kann ein Riese zu Fall gebracht werden.",2021-S01
10302,Fallensteller des Freien Volkes,Wildlingsbogen,Primitive Waffen,,,"Was dem Freien Volk an Ausrüstung fehlt, macht es mit seiner Gerissenheit wett. Die Fallensteller des Freien Volkes versehen das Schlachtfeld vorab mit behindernden Schlingfallen und geschickt getarnten Fallgruben. Solche Taktiken halten den Gegner aber eher auf, als ihn zu töten. Feindliche Kavallerie muss auf ihre Reittiere Acht geben und Infanterie-Einheiten kommen nur langsam voran. In der Zwischenzeit lassen die Fallensteller Pfeile auf die durch ihre Fallen angeschlagenen Formationen regnen.",2021-S01
10303,Räuber des Freien Volkes,Primitive Waffen,,Anpassungsfähig: *Senke die Kosten von 1 Verstärkung dieser Einheit um 1.*,,"Mit nur wenig Kampfausbildung und einfachen Waffen aus Knochen oder geplündertem Eisen und Stahl haben die Räuber des Freien Volkes nur Eines, was sie den fortschrittlichen Waffen und Rüstungen der Westerosi entgegensetzen können: ihre schiere Masse. Einzelne Begegnungen mit plündernden Kriegstrupps südlich der Mauer lassen die meisten Heerführer aus Westeros über ihre tatsächliche Anzahl im Norden ratlos zurück. In kleinen Gruppen sind sie nicht mehr als ein Haufen bewaffneter Bauern, sammeln sie sich aber unter dem Banner des Freien Volkes, sind sie eine Armee.",2021-S03
10304,Speerfrauen,Speerwurf,Speer,,,"Im Süden ist die Kriegsführung gewöhnlich Männersache. Die Frauen des Freien Volkes dagegen sind in der Lage, Seite an Seite mit den Männern in die Schlacht zu ziehen. Für die Vorhut eher ungeeignet sind die Speerfrauen aber hervorragende Flankenkämpfer, die sowohl im Angriff als auch in der Verteidigung gegen anstürmende Feinde eingesetzt werden können. Ihre Waffen mögen primitiv sein, sind jedoch zahlreich, und sie werden von den Speerfrauen mit tödlicher Präzision geworfen. Versierte Heerführer schaffen es, ihr ganzes Potenzial auszuschöpfen.",2021-S01
10305,Wilde Höhlenbewohner,Rasender Schwinger,,,,"Obwohl sie kaum mehr als Felle, Lendenschürze und primitive Waffen tragen, hat es schon manch eine unachtsame Patrouille mit ihrem Leben bezahlt, den schieren Blutdurst der wilden Höhlenbewohner zu unterschätzen. Die Höhlenbewohner überleben zwar nicht lange als Vorhut, doch sie übertreffen jeden, wenn es darum geht, Lücken in die gegnerische Schlachtreihe zu schlagen oder als Flankenkämpfer ungeschützte Bogenschützen zu vernichten. Sobald das Blut erst einmal fließt, sucht ihre gnadenlose Brutalität ihresgleichen.",2021-S02
10306,Wun Wun,Trommelnde Fäuste,,,,"Wun Wun ist sogar noch größer als sein Häuptling Mag der Mächtige. Die gewaltige Stärke und die dicht behaarte Haut hat er mit den anderen Riesen gemein. Zusätzlich ist er nahezu unverwundbar und trägt einen ungewöhnlichen Kämpfergeist in sich. Wun Wun kann die stärkste Feindeslinie mit Leichtigkeit brechen, obwohl die Heerführer des freien Volks darauf achten sollten, seine zerschmetternden Vormärsche zu unterstützen. Ansonsten könnte er umrundet und mit tausenden Schnitten getötet werden.",2021-S02
10307,Knochenmänner,Gezackte Waffen,,,,"Obwohl sie nicht zu einer bestimmten Fraktion des Freien Volkes gehören, unterstützen die Knochenmänner den Herrn der Knochen in seinen kriegerischen Bestrebungen. Man würde glauben, dass Waffen und Rüstungen aus Knochen in der Schlacht ineffektiv gegen Stahl sind, doch der Kiefer eines Auerochsen an einem schweren Holzschaft kann selbst Plattenrüstungen enormen Schaden zufügen. Das Unbehagen, das diese Wilden unter feindlichen Truppen auslösen, ist von großem Wert für jeden gerissenen Heerführer.",2021-S03
10308,Thenn-Krieger,Bronzewaffen,,,,"Thenn-Krieger sind die schwersten gängigen Truppen, die für das Freie Volk in die Schlacht ziehen. Ihre bronzene Ausrüstung wurde von ihnen selbst geschmiedet und nicht von der Nachtwache gestohlen oder auf dem Schlachtfeld geplündert. Die recht fortschrittlichen Waffen der Krieger aus dem Norden können nicht lange gegen den gehärteten Stahl aus dem Süden bestehen, was die Heerführer des Freien Volkes immer im Blick behalten müssen. Allerdings stechen die Thenn-Krieger als Flankenkämpfer und Nachhut hervor.",2021-S03
10309,Streitwagen der Eisigen Küste,Tödlicher Zusammenstoß,,,,"Normalerweise verbindet man die Wildlinge nicht mit Kriegsmaschinen, doch die Streitwagen der Eisigen Küste sind erstaunlich effektiv. Sie sind aus Holz und Knochen gefertigt und werden von riesigen Wolfshund-Mischlingen gezogen, die für ihre Stärke und Grausamkeit gezüchtet werden. Ein Streitwagen ist für zwei Männer und eine Auswahl an Waffen gemacht und gelangt nicht nur schnell beim Feind an, sondern bricht oft mitten durch die Schlachtreihen. Er sollte mit Bedacht verwendet werden, denn die größte Schwachstelle eines Streitwagens liegt darin, steckenzubleiben.",2021-S02
10310,Bär,Wildes Zerfleischen,,*Diese Figur kann nur durch die Fähigkeit „Gebundener Leibwechsler“ einer Armee hinzugefügt werden.*,,"Leibwechsler sind Männer und Frauen, die in den Geist von Tieren eindringen können und so ihr Handeln unterschwellig oder auch unverhohlen manipulieren. Im Krieg nimmt man den Leibwechsler nicht durch seine menschliche Gestalt wahr, sondern durch das Tier, das er kontrolliert. Dazu gehören riesige Bären aus dem Norden, Schattenwölfe, Schattenkatzen, Eulen und Adler. Während ihre Tiere getötet werden können, kann der Mensch dahinter kaum besiegt werden, da im Norden kein Mangel an wilden und starken Kreaturen herrscht.",2021
10311,Auserkorene des Herrn der Knochen,Gezackte Waffen,,"Charakter: *Darf nur in einer Armee aufgestellt werden, die Rasselhemd enthält. Rasselhemd muss diese Einheit verstärken.*",,"Die Auserkorenen des Herrn der Knochen sind die stärksten und wildesten seiner Anhänger. Jeder Auserkorene muss seinen Vorgänger in einem rituellen Kampf töten. Die Rüstung des neuen Auserkorenen verwendet die Knochen seines Vorgängers, zusammen mit Tierknochen, um sie stärker zu machen. Die Auserkorenen wirken zwar wie bloße Wilde, doch die Veteranen der Nachtwache warnen ihre Brüder vor ihrer außerordentlichen Gerissenheit und ihrem Kampfgeschick.",2021-S03
10312,Kriegsmammut,Wüten,,Begrenzt: *Deine Armee darf maximal 2 Kriegsmammuts enthalten.*,,"Auf dem Schlachtfeld ist das Kriegsmammut eine furchterregende Erscheinung, die dem Feind zu Leibe rückt. Seine unglaubliche Stärke und seine dicke Haut erschweren das Töten ungemein. Früher sind Riesen auf Mammuts in den Krieg gezogen, heute gibt es auf der ganzen Welt nicht mehr genügend Mammuts für ein komplettes Kavalleriekorps. Aber jedes Mammut, das für seinen Reiter in die Schlacht zieht, ist gut ausgebildet. Es passiert zwar nur selten, aber ein Panisches Mammut auf dem Schlachtfeld wird allen zum Verhängnis.",2021-S01
10313,Mag der Mächtige,Zorn des Häuptlings,,,,"Der Titel „der Mächtige“ ist eine gewaltige Untertreibung für Mag, den Häuptling der Riesen. Mit seiner furchterregenden Stärke hat er sein Volk wieder und wieder zum Sieg geführt. Selbst die am schwersten gepanzerten Truppen sind seiner gewaltigen Kraft in keinster Weise gewachsen. Seine erfahrene Führung (wie sie Riesen eben besitzen) ist in der Hitze des Gefechts eine Inspiration für sein Gefolge. Mag kann zwar mühelos in die Schlacht eingreifen, sollte sich dabei aber auch in Acht nehmen. Es ist schwierig, einen Riesen zu erlegen, aber Stahl ist ihre große Schwäche.",2021-S02
10314,Mag der Mächtige,Zorn des Häuptlings,,,,"Der Titel „der Mächtige“ ist eine gewaltige Untertreibung für Mag, den Häuptling der Riesen. Mit seiner furchterregenden Stärke hat er sein Volk wieder und wieder zum Sieg geführt. Selbst die am schwersten gepanzerten Truppen sind seiner gewaltigen Kraft in keinster Weise gewachsen. Seine erfahrene Führung (wie sie Riesen eben besitzen) ist in der Hitze des Gefechts eine Inspiration für sein Gefolge. Mag kann zwar mühelos in die Schlacht eingreifen, sollte sich dabei aber auch in Acht nehmen. Es ist schwierig, einen Riesen zu erlegen, aber Stahl ist ihre große Schwäche.",2021
10315,Bärenreiter der Eisigen Küste,Speerwurf,Durchbohren und Zerfleischen,,,"Die weißen Bären aus dem Land jenseits der Mauer sind selbst für Bären massig, oft so groß wie zwei Mann und problemlos in der Lage, Fels und Stahl zu zerfetzen. Nur die Wildlinge würden auf die Idee kommen, solche Biester zu zähmen und damit in die Schlacht zu reiten. Als „Kavallerie“ sind die Bärenreiter der Eisigen Küste zwar langsam und schwerfällig, aber wo ein gewöhnliches Pferd einen Feind nur zertrampeln kann, können Schneebären beißen, zerfetzen und zerfleischen. Selbst ein Mann in voller Plattenrüstung ist einem Bären nicht gewachsen.",2021-S02
10316,Borroqs Eber,Aufspiessen und Fressen,,"*Darf nur in einer Armee aufgestelltwerden, die Borroq enthält.*",,"Wohin Borroq auch geht, sein Begleiter,der Eber, bleibt an seiner Seite. DiesesMonster in Schweinsgestalt hat wahrhaftiggewaltige Proportionen. Er istso groß wie ein ausgewachsener Bulleund hat Stoßzähne, die so lang sindwie der Arm eines Mannes. Sein dickesFell dient als Verteidigung gegen dieschärfsten Klingen. Im Kampf schütteltder Eber seinen massiven Kopf wild hinund her und spießt seine Feinde auf,bevor er sich sein blutiges Festmahlschmecken lässt. Sollte Borroq dasSchlachtfeld allerdings verlassen, folgtihm sein Eber auf Schritt und Tritt.",2021
